Text:  SHOULD HAVE A DAUGHTER INSTEAD OF MOM SHE'S GOING TO CALL ME 
Conf:  4
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
000409 	0.329 	0.091 	0.125 	0.305 
000410 	0.331 	0.093 	0.126 	0.301 
000411 	0.334 	0.097 	0.126 	0.303 
000412 	0.337 	0.102 	0.123 	0.307 
000413 	0.339 	0.108 	0.122 	0.312 
000414 	0.342 	0.111 	0.118 	0.319 
000415 	0.342 	0.111 	0.118 	0.319 
000416 	0.342 	0.118 	0.116 	0.317 
000417 	0.341 	0.123 	0.118 	0.307 
000418 	0.344 	0.123 	0.117 	0.304 
000419 	0.345 	0.120 	0.117 	0.310 
000420 	0.348 	0.119 	0.116 	0.315 
000421 	0.350 	0.117 	0.113 	0.316 
000422 	0.353 	0.113 	0.112 	0.321 
000423 	0.355 	0.111 	0.109 	0.326 
000424 	0.359 	0.106 	0.108 	0.333 
000425 	0.363 	0.100 	0.108 	0.334 
000426 	0.368 	0.104 	0.106 	0.325 
000427 	0.374 	0.121 	0.105 	0.308 
000428 	0.376 	0.125 	0.110 	0.308 
000429 	0.379 	0.128 	0.110 	0.303 
000430 	0.380 	0.127 	0.113 	0.298 
000431 	0.384 	0.124 	0.114 	0.299 
000432 	0.390 	0.117 	0.110 	0.308 
000433 	0.393 	0.115 	0.112 	0.305 
000434 	0.395 	0.117 	0.118 	0.302 
000435 	0.399 	0.122 	0.113 	0.293 
000436 	0.404 	0.121 	0.112 	0.290 
000437 	0.407 	0.119 	0.114 	0.289 
000438 	0.410 	0.113 	0.117 	0.292 
000439 	0.415 	0.110 	0.115 	0.293 
000440 	0.415 	0.110 	0.115 	0.293 
000441 	0.419 	0.111 	0.115 	0.291 
000442 	0.424 	0.110 	0.115 	0.289 
000443 	0.429 	0.111 	0.113 	0.292 
000444 	0.435 	0.113 	0.110 	0.289 
000445 	0.439 	0.108 	0.114 	0.291 
000446 	0.447 	0.106 	0.112 	0.290 
000447 	0.453 	0.107 	0.111 	0.288 
000448 	0.459 	0.102 	0.110 	0.295 
000449 	0.465 	0.101 	0.110 	0.295 
000450 	0.474 	0.100 	0.106 	0.297 
000451 	0.479 	0.098 	0.109 	0.301 
000452 	0.483 	0.097 	0.106 	0.301 
000453 	0.487 	0.098 	0.106 	0.300 
000454 	0.490 	0.097 	0.108 	0.302 
000455 	0.497 	0.092 	0.107 	0.312 
000456 	0.502 	0.097 	0.108 	0.309 
000457 	0.505 	0.096 	0.105 	0.314 
000458 	0.508 	0.099 	0.107 	0.310 
000459 	0.509 	0.098 	0.108 	0.315 
000460 	0.512 	0.100 	0.107 	0.312 
000461 	0.514 	0.101 	0.107 	0.309 
000462 	0.515 	0.103 	0.109 	0.311 
000463 	0.518 	0.104 	0.110 	0.314 
000464 	0.521 	0.106 	0.109 	0.309 
000465 	0.521 	0.106 	0.109 	0.309 
000466 	0.525 	0.108 	0.107 	0.307 
000467 	0.527 	0.104 	0.108 	0.312 
000468 	0.530 	0.104 	0.107 	0.308 
000469 	0.533 	0.101 	0.108 	0.314 
000470 	0.533 	0.101 	0.111 	0.314 
000471 	0.537 	0.102 	0.111 	0.309 
000472 	0.537 	0.106 	0.111 	0.299 
000473 	0.541 	0.104 	0.109 	0.300 
000474 	0.544 	0.101 	0.114 	0.299 
000475 	0.548 	0.099 	0.114 	0.302 
000476 	0.552 	0.096 	0.114 	0.302 
000477 	0.556 	0.090 	0.113 	0.313 
000478 	0.562 	0.085 	0.111 	0.315 
000479 	0.563 	0.081 	0.114 	0.311 
000480 	0.567 	0.078 	0.115 	0.314 
000481 	0.570 	0.078 	0.115 	0.311 
000482 	0.571 	0.079 	0.118 	0.311 
000483 	0.573 	0.080 	0.114 	0.306 
000484 	0.574 	0.077 	0.113 	0.304 
000485 	0.573 	0.077 	0.115 	0.301 
000486 	0.573 	0.076 	0.116 	0.302 
000487 	0.573 	0.078 	0.115 	0.300 
000488 	0.574 	0.081 	0.114 	0.300 
000489 	0.573 	0.083 	0.113 	0.300 
000490 	0.573 	0.083 	0.113 	0.300 
000491 	0.573 	0.080 	0.114 	0.310 
000492 	0.573 	0.077 	0.113 	0.316 
000493 	0.575 	0.070 	0.116 	0.327 
000494 	0.576 	0.061 	0.118 	0.340 
000495 	0.578 	0.058 	0.116 	0.344 
000496 	0.582 	0.061 	0.116 	0.336 
000497 	0.583 	0.067 	0.117 	0.333 
000498 	0.589 	0.064 	0.115 	0.338 
000499 	0.592 	0.075 	0.119 	0.322 
000500 	0.594 	0.079 	0.121 	0.316 
000501 	0.594 	0.086 	0.124 	0.307 
000502 	0.598 	0.092 	0.124 	0.306 
000503 	0.601 	0.098 	0.127 	0.303 
000504 	0.604 	0.107 	0.130 	0.298 
000505 	0.606 	0.109 	0.130 	0.299 
000506 	0.608 	0.110 	0.129 	0.300 
000507 	0.610 	0.112 	0.128 	0.295 
000508 	0.610 	0.114 	0.128 	0.294 
000509 	0.610 	0.117 	0.128 	0.294 
000510 	0.611 	0.118 	0.127 	0.294 
000511 	0.611 	0.117 	0.128 	0.294 
000512 	0.610 	0.115 	0.129 	0.294 
000513 	0.609 	0.113 	0.128 	0.297 
000514 	0.609 	0.113 	0.127 	0.301 
000515 	0.609 	0.113 	0.127 	0.301 
000516 	0.610 	0.110 	0.124 	0.307 
000517 	0.610 	0.109 	0.124 	0.312 
000518 	0.608 	0.108 	0.123 	0.313 
000519 	0.607 	0.111 	0.126 	0.311 
000520 	0.605 	0.109 	0.123 	0.312 
000521 	0.604 	0.111 	0.125 	0.306 
000522 	0.604 	0.116 	0.122 	0.296 
000523 	0.601 	0.114 	0.120 	0.296 
000524 	0.595 	0.107 	0.125 	0.301 
000525 	0.594 	0.102 	0.122 	0.303 
000526 	0.592 	0.096 	0.124 	0.303 
000527 	0.591 	0.094 	0.123 	0.300 
000528 	0.591 	0.092 	0.121 	0.301 
000529 	0.591 	0.089 	0.119 	0.301 
000530 	0.591 	0.089 	0.118 	0.298 
000531 	0.591 	0.085 	0.118 	0.300 
000532 	0.591 	0.082 	0.115 	0.302 
000533 	0.589 	0.077 	0.115 	0.306 
000534 	0.587 	0.074 	0.116 	0.318 
000535 	0.585 	0.073 	0.116 	0.326 
000536 	0.584 	0.073 	0.115 	0.329 
000537 	0.582 	0.075 	0.114 	0.323 
000538 	0.581 	0.074 	0.115 	0.315 
000539 	0.580 	0.074 	0.117 	0.305 
000540 	0.580 	0.074 	0.117 	0.305 
000541 	0.580 	0.074 	0.118 	0.302 
000542 	0.581 	0.077 	0.120 	0.300 
000543 	0.582 	0.078 	0.120 	0.306 
000544 	0.583 	0.081 	0.120 	0.307 
000545 	0.582 	0.081 	0.120 	0.307 
000546 	0.582 	0.082 	0.120 	0.306 
000547 	0.582 	0.084 	0.118 	0.307 
000548 	0.582 	0.086 	0.117 	0.305 
000549 	0.581 	0.087 	0.118 	0.304 
000550 	0.581 	0.088 	0.118 	0.306 
000551 	0.580 	0.089 	0.119 	0.306 
000552 	0.581 	0.089 	0.119 	0.305 

WORD START END ASDSCORE
SHOULD 0.07 0.23 10.6
HAVE 0.23 0.44 10.0
A 0.44 0.49 7.8
DAUGHTER 0.49 1.09 6.5
INSTEAD 2.50 2.89 4.8
OF 2.89 3.08 5.7
MOM 3.22 3.89 7.8
SHE'S 4.60 4.82 3.7
GOING 4.82 5.02 3.0
TO 5.02 5.11 3.8
CALL 5.11 5.33 5.3
ME 5.33 5.65 4.9
