Text:  TO PAINT SOLAR SYSTEMS ON THE BACKS OF HER HANDS SO SHE HAS TO LEARN THE ENTIRE UNIVERSE BEFORE SHE CAN SAY OH I KNOW THAT LIKE THE BACK OF MY HAND AND SHE'S GOING TO LEARN 
Conf:  1
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
000754 	0.675 	0.117 	0.122 	0.298 
000755 	0.667 	0.114 	0.127 	0.296 
000756 	0.661 	0.113 	0.126 	0.293 
000757 	0.657 	0.115 	0.120 	0.294 
000758 	0.650 	0.111 	0.121 	0.309 
000759 	0.643 	0.118 	0.119 	0.303 
000760 	0.637 	0.123 	0.114 	0.300 
000761 	0.632 	0.130 	0.117 	0.290 
000762 	0.623 	0.129 	0.116 	0.292 
000763 	0.617 	0.133 	0.115 	0.290 
000764 	0.610 	0.140 	0.113 	0.291 
000765 	0.610 	0.140 	0.113 	0.291 
000766 	0.603 	0.151 	0.113 	0.290 
000767 	0.595 	0.168 	0.112 	0.282 
000768 	0.589 	0.183 	0.109 	0.279 
000769 	0.584 	0.193 	0.107 	0.281 
000770 	0.576 	0.203 	0.107 	0.273 
000771 	0.568 	0.193 	0.110 	0.275 
000772 	0.562 	0.188 	0.109 	0.278 
000773 	0.554 	0.184 	0.112 	0.283 
000774 	0.547 	0.187 	0.113 	0.281 
000775 	0.542 	0.196 	0.113 	0.276 
000776 	0.536 	0.199 	0.111 	0.275 
000777 	0.531 	0.194 	0.110 	0.280 
000778 	0.525 	0.186 	0.111 	0.280 
000779 	0.520 	0.179 	0.110 	0.282 
000780 	0.515 	0.176 	0.111 	0.281 
000781 	0.508 	0.171 	0.112 	0.285 
000782 	0.504 	0.167 	0.114 	0.288 
000783 	0.499 	0.163 	0.115 	0.291 
000784 	0.494 	0.162 	0.116 	0.287 
000785 	0.491 	0.163 	0.114 	0.281 
000786 	0.488 	0.160 	0.115 	0.286 
000787 	0.484 	0.158 	0.114 	0.288 
000788 	0.482 	0.157 	0.112 	0.289 
000789 	0.479 	0.151 	0.114 	0.294 
000790 	0.479 	0.151 	0.114 	0.294 
000791 	0.478 	0.144 	0.112 	0.305 
000792 	0.476 	0.137 	0.110 	0.315 
000793 	0.474 	0.130 	0.111 	0.322 
000794 	0.473 	0.121 	0.107 	0.330 
