Text:  WILL HIT YOU HARD IN THE FACE WAIT FOR YOU TO GET BACK UP JUST SO IT CAN KICK YOU IN THE STOMACH BUT GETTING THE WIND KNOCKED OUT OF YOU IS THE ONLY WAY TO REMIND YOUR LUNGS HOW MUCH THEY LIKE THE TASTE OF AIR 
Conf:  2
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
001022 	0.336 	0.123 	0.108 	0.286 
001023 	0.338 	0.120 	0.108 	0.293 
001024 	0.339 	0.120 	0.108 	0.293 
001025 	0.342 	0.124 	0.106 	0.292 
001026 	0.343 	0.137 	0.107 	0.284 
001027 	0.350 	0.158 	0.102 	0.278 
001028 	0.357 	0.188 	0.100 	0.271 
001029 	0.362 	0.210 	0.098 	0.259 
001030 	0.365 	0.208 	0.099 	0.270 
001031 	0.366 	0.197 	0.097 	0.271 
001032 	0.366 	0.174 	0.099 	0.278 
001033 	0.360 	0.158 	0.100 	0.274 
001034 	0.357 	0.143 	0.098 	0.272 
001035 	0.354 	0.129 	0.096 	0.287 
001036 	0.352 	0.128 	0.096 	0.293 
001037 	0.352 	0.137 	0.095 	0.288 
001038 	0.353 	0.144 	0.095 	0.293 
001039 	0.354 	0.146 	0.096 	0.291 
001040 	0.354 	0.146 	0.096 	0.291 
001041 	0.353 	0.145 	0.098 	0.299 
001042 	0.355 	0.146 	0.096 	0.294 
001043 	0.354 	0.147 	0.100 	0.291 
001044 	0.356 	0.145 	0.097 	0.293 
001045 	0.358 	0.143 	0.096 	0.294 
001046 	0.358 	0.131 	0.097 	0.300 
001047 	0.353 	0.123 	0.101 	0.301 
001048 	0.345 	0.119 	0.106 	0.310 
001049 	0.341 	0.127 	0.109 	0.317 
001050 	0.341 	0.144 	0.110 	0.311 
001051 	0.340 	0.150 	0.115 	0.315 
001052 	0.341 	0.150 	0.114 	0.313 
001053 	0.332 	0.138 	0.119 	0.318 
001054 	0.328 	0.124 	0.121 	0.318 
001055 	0.325 	0.116 	0.121 	0.316 
001056 	0.325 	0.114 	0.121 	0.314 
001057 	0.325 	0.122 	0.119 	0.310 
001058 	0.325 	0.128 	0.119 	0.309 
001059 	0.325 	0.134 	0.120 	0.308 
001060 	0.325 	0.133 	0.121 	0.309 
001061 	0.327 	0.129 	0.120 	0.313 
001062 	0.328 	0.130 	0.120 	0.310 
001063 	0.329 	0.133 	0.119 	0.310 
001064 	0.331 	0.138 	0.119 	0.313 
001065 	0.331 	0.138 	0.119 	0.313 
001066 	0.333 	0.150 	0.119 	0.313 
001067 	0.335 	0.157 	0.121 	0.310 
001068 	0.335 	0.157 	0.123 	0.310 
001069 	0.335 	0.152 	0.124 	0.309 
001070 	0.334 	0.149 	0.123 	0.304 
001071 	0.335 	0.140 	0.121 	0.305 
001072 	0.337 	0.136 	0.120 	0.300 
001073 	0.339 	0.137 	0.122 	0.303 
001074 	0.342 	0.147 	0.122 	0.296 
001075 	0.348 	0.168 	0.123 	0.290 
001076 	0.360 	0.176 	0.116 	0.300 
001077 	0.370 	0.196 	0.115 	0.298 
001078 	0.378 	0.208 	0.116 	0.296 
001079 	0.387 	0.214 	0.115 	0.291 
001080 	0.393 	0.212 	0.118 	0.298 
001081 	0.398 	0.213 	0.121 	0.294 
001082 	0.404 	0.215 	0.123 	0.295 
001083 	0.408 	0.218 	0.123 	0.295 
001084 	0.411 	0.222 	0.123 	0.294 
001085 	0.416 	0.223 	0.122 	0.293 
001086 	0.419 	0.222 	0.120 	0.293 
001087 	0.420 	0.213 	0.119 	0.305 
001088 	0.424 	0.209 	0.120 	0.308 
001089 	0.434 	0.208 	0.118 	0.308 
001090 	0.434 	0.208 	0.118 	0.308 
001091 	0.442 	0.204 	0.120 	0.305 
001092 	0.451 	0.205 	0.123 	0.300 
001093 	0.461 	0.216 	0.122 	0.285 
001094 	0.467 	0.223 	0.122 	0.298 
001095 	0.471 	0.234 	0.121 	0.291 
001096 	0.473 	0.243 	0.118 	0.288 
001097 	0.470 	0.242 	0.117 	0.287 
001098 	0.464 	0.235 	0.118 	0.286 
001099 	0.454 	0.225 	0.123 	0.291 
001100 	0.449 	0.221 	0.119 	0.292 
001101 	0.436 	0.212 	0.123 	0.291 
001102 	0.425 	0.204 	0.125 	0.287 
001103 	0.413 	0.196 	0.122 	0.287 
001104 	0.398 	0.182 	0.122 	0.293 
001105 	0.382 	0.176 	0.125 	0.294 
