Text:  FIND THE BOY WHO LIT THE FIRE IN THE FIRST PLACE TO SEE IF YOU CAN CHANGE HIM BUT I KNOW SHE WILL ANYWAY SO INSTEAD I'LL ALWAYS KEEP AN EXTRA SUPPLY OF CHOCOLATE AND RAIN BOOTS NEARBY BECAUSE THERE IS NO HEARTBREAK THAT CHOCOLATE CAN'T FIX 
Conf:  4
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
002215 	0.325 	0.128 	0.184 	0.464 
002216 	0.330 	0.129 	0.185 	0.463 
002217 	0.338 	0.128 	0.181 	0.463 
002218 	0.340 	0.130 	0.184 	0.462 
002219 	0.349 	0.147 	0.179 	0.422 
002220 	0.350 	0.137 	0.176 	0.455 
002221 	0.352 	0.139 	0.173 	0.459 
002222 	0.353 	0.138 	0.172 	0.467 
002223 	0.358 	0.148 	0.170 	0.452 
002224 	0.353 	0.154 	0.172 	0.440 
002225 	0.351 	0.154 	0.172 	0.434 
002226 	0.348 	0.150 	0.169 	0.441 
002227 	0.346 	0.148 	0.169 	0.444 
002228 	0.345 	0.150 	0.172 	0.440 
002229 	0.343 	0.151 	0.171 	0.439 
002230 	0.335 	0.138 	0.174 	0.451 
002231 	0.334 	0.140 	0.174 	0.459 
002232 	0.333 	0.140 	0.174 	0.466 
002233 	0.332 	0.141 	0.173 	0.460 
002234 	0.332 	0.143 	0.172 	0.462 
002235 	0.330 	0.148 	0.172 	0.460 
002236 	0.330 	0.148 	0.173 	0.458 
002237 	0.330 	0.143 	0.174 	0.455 
002238 	0.340 	0.156 	0.170 	0.439 
002239 	0.342 	0.155 	0.169 	0.439 
002240 	0.342 	0.155 	0.169 	0.439 
002241 	0.340 	0.157 	0.170 	0.427 
002242 	0.340 	0.158 	0.169 	0.435 
002243 	0.339 	0.159 	0.170 	0.437 
002244 	0.337 	0.161 	0.172 	0.444 
002245 	0.334 	0.150 	0.171 	0.461 
002246 	0.332 	0.155 	0.171 	0.462 
002247 	0.332 	0.157 	0.170 	0.460 
002248 	0.335 	0.166 	0.169 	0.453 
002249 	0.330 	0.158 	0.171 	0.456 
002250 	0.329 	0.159 	0.170 	0.458 
002251 	0.327 	0.162 	0.172 	0.460 
002252 	0.328 	0.169 	0.173 	0.461 
002253 	0.328 	0.175 	0.174 	0.468 
002254 	0.330 	0.176 	0.174 	0.486 
002255 	0.332 	0.179 	0.173 	0.501 
002256 	0.335 	0.180 	0.172 	0.504 
002257 	0.336 	0.181 	0.173 	0.500 
002258 	0.336 	0.184 	0.174 	0.492 
002259 	0.342 	0.186 	0.170 	0.487 
002260 	0.347 	0.189 	0.166 	0.482 
002261 	0.353 	0.191 	0.162 	0.477 
002262 	0.358 	0.193 	0.162 	0.475 
002263 	0.356 	0.191 	0.174 	0.478 
002264 	0.363 	0.206 	0.176 	0.469 
002265 	0.363 	0.206 	0.176 	0.469 
002266 	0.373 	0.218 	0.177 	0.460 
002267 	0.377 	0.242 	0.177 	0.455 
002268 	0.376 	0.260 	0.182 	0.448 
002269 	0.379 	0.285 	0.190 	0.430 
002270 	0.384 	0.286 	0.186 	0.437 
002271 	0.392 	0.296 	0.183 	0.433 
002272 	0.394 	0.295 	0.181 	0.432 
002273 	0.394 	0.290 	0.178 	0.437 
002274 	0.395 	0.289 	0.179 	0.439 
002275 	0.394 	0.292 	0.181 	0.436 
002276 	0.394 	0.288 	0.180 	0.435 
002277 	0.402 	0.305 	0.159 	0.396 
002278 	0.406 	0.297 	0.156 	0.396 
002279 	0.409 	0.296 	0.155 	0.401 
002280 	0.407 	0.297 	0.160 	0.402 
002281 	0.408 	0.297 	0.162 	0.398 
002282 	0.409 	0.297 	0.161 	0.396 
002283 	0.411 	0.299 	0.164 	0.400 
002284 	0.412 	0.304 	0.164 	0.401 
002285 	0.411 	0.307 	0.166 	0.398 
002286 	0.415 	0.304 	0.165 	0.396 
002287 	0.424 	0.299 	0.165 	0.398 
002288 	0.429 	0.305 	0.159 	0.396 
002289 	0.437 	0.301 	0.154 	0.396 
002290 	0.437 	0.301 	0.154 	0.396 
002291 	0.440 	0.298 	0.151 	0.393 
002292 	0.449 	0.288 	0.148 	0.404 
002293 	0.452 	0.285 	0.149 	0.402 
002294 	0.457 	0.285 	0.149 	0.397 
002295 	0.461 	0.273 	0.151 	0.409 
002296 	0.467 	0.271 	0.149 	0.411 
002297 	0.473 	0.263 	0.144 	0.424 
002298 	0.476 	0.258 	0.144 	0.419 
002299 	0.484 	0.253 	0.143 	0.416 
002300 	0.489 	0.228 	0.144 	0.418 
002301 	0.497 	0.216 	0.146 	0.419 
002302 	0.497 	0.194 	0.146 	0.423 
002303 	0.494 	0.166 	0.150 	0.435 
002304 	0.493 	0.146 	0.145 	0.457 
002305 	0.489 	0.150 	0.144 	0.447 
002306 	0.486 	0.150 	0.145 	0.443 
002307 	0.488 	0.158 	0.142 	0.430 
002308 	0.485 	0.153 	0.147 	0.438 
002309 	0.485 	0.152 	0.147 	0.427 
002310 	0.484 	0.160 	0.149 	0.415 
002311 	0.480 	0.160 	0.151 	0.425 
002312 	0.483 	0.168 	0.149 	0.422 
002313 	0.484 	0.175 	0.151 	0.415 
002314 	0.486 	0.173 	0.151 	0.408 
002315 	0.486 	0.173 	0.151 	0.408 
002316 	0.488 	0.167 	0.151 	0.416 
002317 	0.487 	0.164 	0.151 	0.420 
002318 	0.487 	0.158 	0.151 	0.423 
002319 	0.485 	0.161 	0.153 	0.423 
002320 	0.485 	0.168 	0.155 	0.416 
002321 	0.489 	0.174 	0.155 	0.427 
002322 	0.490 	0.188 	0.155 	0.419 
002323 	0.487 	0.209 	0.153 	0.413 
002324 	0.479 	0.229 	0.157 	0.411 
002325 	0.479 	0.243 	0.157 	0.409 
002326 	0.483 	0.244 	0.154 	0.407 
002327 	0.482 	0.225 	0.156 	0.415 
002328 	0.480 	0.206 	0.156 	0.420 
002329 	0.474 	0.187 	0.160 	0.410 
002330 	0.472 	0.184 	0.162 	0.423 
002331 	0.471 	0.196 	0.158 	0.422 
002332 	0.465 	0.206 	0.160 	0.428 
002333 	0.445 	0.229 	0.172 	0.415 
002334 	0.435 	0.248 	0.172 	0.409 
002335 	0.433 	0.253 	0.171 	0.421 
002336 	0.430 	0.259 	0.170 	0.417 
002337 	0.428 	0.260 	0.172 	0.409 
002338 	0.427 	0.260 	0.174 	0.400 
002339 	0.425 	0.257 	0.174 	0.403 
002340 	0.425 	0.257 	0.174 	0.403 
002341 	0.425 	0.257 	0.175 	0.402 
002342 	0.426 	0.256 	0.175 	0.406 
002343 	0.426 	0.253 	0.175 	0.412 
002344 	0.428 	0.250 	0.174 	0.416 
002345 	0.428 	0.249 	0.173 	0.417 
002346 	0.427 	0.247 	0.171 	0.422 
002347 	0.419 	0.239 	0.177 	0.442 
002348 	0.426 	0.250 	0.171 	0.419 
002349 	0.421 	0.240 	0.179 	0.437 
002350 	0.429 	0.238 	0.172 	0.421 
002351 	0.419 	0.212 	0.181 	0.444 
002352 	0.416 	0.195 	0.181 	0.462 
002353 	0.413 	0.180 	0.176 	0.482 
002354 	0.406 	0.176 	0.179 	0.481 
002355 	0.402 	0.167 	0.178 	0.479 
002356 	0.396 	0.165 	0.179 	0.472 
002357 	0.393 	0.157 	0.180 	0.474 
002358 	0.386 	0.152 	0.179 	0.471 
002359 	0.383 	0.147 	0.180 	0.465 
002360 	0.379 	0.143 	0.182 	0.463 
002361 	0.373 	0.141 	0.183 	0.467 
002362 	0.372 	0.145 	0.183 	0.465 
002363 	0.367 	0.141 	0.184 	0.473 
002364 	0.365 	0.143 	0.182 	0.470 
002365 	0.365 	0.143 	0.182 	0.470 
002366 	0.361 	0.136 	0.184 	0.471 
002367 	0.358 	0.131 	0.186 	0.472 
002368 	0.355 	0.128 	0.187 	0.478 
002369 	0.352 	0.127 	0.184 	0.481 
002370 	0.352 	0.128 	0.185 	0.484 
002371 	0.350 	0.127 	0.185 	0.493 
