Text:  AT THE WORLD THROUGH THE UNDERSIDE OF A GLASS BOTTOM BOAT TO LOOK THROUGH A MICROSCOPE AT THE GALAXIES THAT EXIST ON THE PINPOINT OF A HUMAN MIND BECAUSE THAT'S THE WAY MY MOM TAUGHT ME THAT THERE'LL BE DAYS LIKE THIS {NS} 
Conf:  1
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
002817 	0.331 	0.149 	0.173 	0.475 
002818 	0.334 	0.141 	0.171 	0.472 
002819 	0.333 	0.132 	0.172 	0.476 
002820 	0.328 	0.129 	0.172 	0.479 
002821 	0.328 	0.128 	0.171 	0.482 
002822 	0.328 	0.130 	0.170 	0.483 
002823 	0.329 	0.142 	0.171 	0.474 
002824 	0.329 	0.156 	0.171 	0.470 
002825 	0.332 	0.162 	0.173 	0.473 
002826 	0.331 	0.167 	0.176 	0.473 
002827 	0.331 	0.165 	0.176 	0.474 
002828 	0.331 	0.167 	0.177 	0.471 
002829 	0.331 	0.166 	0.179 	0.471 
002830 	0.332 	0.167 	0.179 	0.470 
002831 	0.341 	0.172 	0.177 	0.479 
002832 	0.343 	0.173 	0.181 	0.490 
002833 	0.353 	0.191 	0.175 	0.484 
002834 	0.362 	0.208 	0.181 	0.474 
002835 	0.370 	0.226 	0.182 	0.452 
002836 	0.380 	0.249 	0.182 	0.446 
002837 	0.392 	0.269 	0.177 	0.446 
002838 	0.407 	0.307 	0.163 	0.408 
002839 	0.415 	0.331 	0.157 	0.407 
002840 	0.415 	0.331 	0.157 	0.407 
002841 	0.419 	0.351 	0.158 	0.407 
002842 	0.422 	0.372 	0.156 	0.422 
002843 	0.424 	0.391 	0.156 	0.427 
002844 	0.428 	0.410 	0.154 	0.425 
002845 	0.430 	0.421 	0.154 	0.433 
002846 	0.429 	0.425 	0.153 	0.439 
002847 	0.432 	0.435 	0.149 	0.425 
002848 	0.430 	0.441 	0.150 	0.425 
002849 	0.427 	0.446 	0.150 	0.424 
002850 	0.424 	0.444 	0.151 	0.425 
002851 	0.423 	0.438 	0.152 	0.430 
002852 	0.420 	0.432 	0.153 	0.425 
002853 	0.419 	0.424 	0.150 	0.419 
002854 	0.415 	0.411 	0.152 	0.413 
002855 	0.411 	0.394 	0.153 	0.423 
002856 	0.407 	0.380 	0.155 	0.425 
002857 	0.406 	0.364 	0.155 	0.434 
002858 	0.404 	0.333 	0.161 	0.455 
002859 	0.402 	0.312 	0.162 	0.468 
002860 	0.404 	0.300 	0.163 	0.466 
002861 	0.409 	0.303 	0.155 	0.452 
002862 	0.409 	0.298 	0.156 	0.446 
002863 	0.408 	0.288 	0.158 	0.440 
002864 	0.406 	0.279 	0.156 	0.438 
002865 	0.406 	0.279 	0.156 	0.438 
002866 	0.396 	0.248 	0.167 	0.459 
002867 	0.380 	0.230 	0.177 	0.455 
002868 	0.373 	0.209 	0.178 	0.455 
002869 	0.370 	0.208 	0.177 	0.447 
002870 	0.364 	0.186 	0.176 	0.465 
002871 	0.361 	0.174 	0.178 	0.467 
002872 	0.359 	0.166 	0.178 	0.466 
002873 	0.358 	0.149 	0.180 	0.475 
002874 	0.357 	0.143 	0.182 	0.465 
002875 	0.355 	0.128 	0.181 	0.476 
002876 	0.350 	0.116 	0.182 	0.479 
002877 	0.345 	0.105 	0.182 	0.469 
002878 	0.344 	0.098 	0.184 	0.454 
002879 	0.342 	0.083 	0.185 	0.465 
002880 	0.337 	0.081 	0.189 	0.466 
002881 	0.336 	0.076 	0.185 	0.471 
002882 	0.329 	0.079 	0.188 	0.464 
002883 	0.327 	0.078 	0.186 	0.464 
002884 	0.329 	0.085 	0.185 	0.472 
002885 	0.329 	0.087 	0.185 	0.478 
002886 	0.330 	0.087 	0.183 	0.482 
002887 	0.329 	0.089 	0.185 	0.473 
002888 	0.328 	0.091 	0.185 	0.466 
002889 	0.332 	0.092 	0.185 	0.464 
002890 	0.332 	0.092 	0.185 	0.464 
002891 	0.339 	0.074 	0.184 	0.489 
002892 	0.340 	0.071 	0.185 	0.494 
002893 	0.344 	0.070 	0.184 	0.491 
002894 	0.346 	0.074 	0.185 	0.491 
002895 	0.353 	0.092 	0.180 	0.464 
002896 	0.358 	0.114 	0.177 	0.472 
002897 	0.363 	0.139 	0.177 	0.466 
002898 	0.369 	0.165 	0.178 	0.443 
002899 	0.378 	0.200 	0.173 	0.414 
002900 	0.372 	0.188 	0.181 	0.444 
002901 	0.374 	0.195 	0.182 	0.443 
002902 	0.376 	0.197 	0.182 	0.447 
002903 	0.378 	0.194 	0.181 	0.456 
002904 	0.378 	0.191 	0.184 	0.458 
002905 	0.380 	0.197 	0.181 	0.455 
002906 	0.382 	0.198 	0.181 	0.455 
002907 	0.382 	0.195 	0.182 	0.450 
002908 	0.389 	0.199 	0.179 	0.443 
002909 	0.395 	0.200 	0.181 	0.437 
002910 	0.403 	0.198 	0.180 	0.435 
002911 	0.418 	0.206 	0.174 	0.407 
002912 	0.432 	0.214 	0.167 	0.415 
002913 	0.441 	0.221 	0.166 	0.424 
002914 	0.452 	0.241 	0.161 	0.402 
002915 	0.452 	0.241 	0.161 	0.402 
002916 	0.459 	0.246 	0.162 	0.413 
002917 	0.464 	0.253 	0.161 	0.410 
002918 	0.468 	0.253 	0.158 	0.409 
002919 	0.474 	0.258 	0.159 	0.406 
002920 	0.472 	0.242 	0.213 	0.422 
002921 	0.478 	0.233 	0.251 	0.499 
002922 	0.475 	0.227 	0.241 	0.495 
002923 	0.474 	0.213 	0.249 	0.521 
002924 	0.466 	0.212 	0.257 	0.531 
002925 	0.457 	0.209 	0.245 	0.544 
002926 	0.448 	0.206 	0.261 	0.512 
002927 	0.438 	0.201 	0.250 	0.478 
002928 	0.436 	0.198 	0.248 	0.509 
002929 	0.424 	0.200 	0.262 	0.485 
002930 	0.422 	0.205 	0.261 	0.476 
002931 	0.420 	0.217 	0.253 	0.462 
002932 	0.419 	0.218 	0.255 	0.463 
002933 	0.418 	0.208 	0.255 	0.463 
002934 	0.418 	0.203 	0.217 	0.453 
002935 	0.415 	0.207 	0.217 	0.452 
002936 	0.415 	0.207 	0.210 	0.468 
002937 	0.409 	0.214 	0.197 	0.448 
002938 	0.402 	0.203 	0.193 	0.443 
002939 	0.381 	0.190 	0.199 	0.439 
002940 	0.381 	0.190 	0.199 	0.439 
002941 	0.369 	0.167 	0.188 	0.458 
002942 	0.361 	0.156 	0.182 	0.451 
002943 	0.356 	0.135 	0.182 	0.454 
002944 	0.347 	0.123 	0.182 	0.464 
002945 	0.343 	0.114 	0.180 	0.467 
002946 	0.342 	0.105 	0.180 	0.468 
002947 	0.333 	0.101 	0.184 	0.464 
002948 	0.332 	0.091 	0.181 	0.475 
002949 	0.333 	0.081 	0.175 	0.496 
002950 	0.335 	0.079 	0.172 	0.503 
002951 	0.332 	0.081 	0.174 	0.496 
002952 	0.328 	0.082 	0.174 	0.484 
002953 	0.324 	0.090 	0.174 	0.467 
002954 	0.321 	0.094 	0.176 	0.458 
002955 	0.318 	0.094 	0.177 	0.455 
002956 	0.317 	0.094 	0.176 	0.458 
002957 	0.316 	0.096 	0.176 	0.452 
002958 	0.314 	0.091 	0.181 	0.460 
002959 	0.316 	0.086 	0.181 	0.463 
002960 	0.320 	0.081 	0.181 	0.464 
002961 	0.323 	0.082 	0.183 	0.455 
002962 	0.323 	0.082 	0.189 	0.460 
002963 	0.327 	0.073 	0.189 	0.464 
002964 	0.335 	0.068 	0.188 	0.478 
002965 	0.335 	0.068 	0.188 	0.478 
002966 	0.340 	0.063 	0.185 	0.485 
002967 	0.348 	0.066 	0.177 	0.477 
002968 	0.356 	0.090 	0.173 	0.445 
002969 	0.361 	0.094 	0.168 	0.442 
002970 	0.364 	0.093 	0.163 	0.433 
002971 	0.364 	0.094 	0.163 	0.425 
002972 	0.365 	0.096 	0.159 	0.418 
002973 	0.368 	0.096 	0.153 	0.421 
002974 	0.367 	0.095 	0.153 	0.428 
002975 	0.367 	0.095 	0.150 	0.430 
002976 	0.364 	0.089 	0.149 	0.429 
002977 	0.361 	0.089 	0.152 	0.435 
002978 	0.358 	0.091 	0.152 	0.433 
002979 	0.352 	0.089 	0.157 	0.442 
002980 	0.346 	0.089 	0.158 	0.443 
002981 	0.342 	0.087 	0.158 	0.452 
002982 	0.337 	0.092 	0.159 	0.438 
002983 	0.332 	0.097 	0.160 	0.432 
002984 	0.326 	0.094 	0.162 	0.441 
002985 	0.319 	0.093 	0.164 	0.447 
002986 	0.311 	0.088 	0.173 	0.461 
002987 	0.310 	0.088 	0.174 	0.463 
002988 	0.310 	0.088 	0.174 	0.463 
002989 	0.313 	0.081 	0.173 	0.470 
002990 	0.313 	0.081 	0.173 	0.470 
002991 	0.315 	0.080 	0.174 	0.474 
002992 	0.323 	0.087 	0.166 	0.461 
002993 	0.323 	0.090 	0.167 	0.448 
002994 	0.326 	0.090 	0.164 	0.443 
002995 	0.326 	0.090 	0.167 	0.435 
002996 	0.326 	0.093 	0.166 	0.418 
002997 	0.326 	0.094 	0.166 	0.431 
002998 	0.326 	0.098 	0.167 	0.447 
002999 	0.324 	0.091 	0.173 	0.470 
003000 	0.322 	0.094 	0.172 	0.477 
003001 	0.319 	0.099 	0.175 	0.470 
003002 	0.313 	0.096 	0.177 	0.469 
003003 	0.307 	0.098 	0.178 	0.455 
003004 	0.302 	0.102 	0.178 	0.456 
003005 	0.295 	0.101 	0.182 	0.467 
003006 	0.292 	0.104 	0.180 	0.466 
003007 	0.288 	0.102 	0.181 	0.462 
003008 	0.287 	0.104 	0.181 	0.462 
003009 	0.287 	0.103 	0.179 	0.469 
003010 	0.284 	0.108 	0.180 	0.465 
003011 	0.282 	0.110 	0.180 	0.460 
003012 	0.281 	0.113 	0.179 	0.459 
003013 	0.278 	0.115 	0.178 	0.463 
003014 	0.279 	0.118 	0.178 	0.456 
003015 	0.279 	0.118 	0.178 	0.456 
003016 	0.277 	0.121 	0.180 	0.458 
003017 	0.278 	0.122 	0.180 	0.455 
003018 	0.279 	0.117 	0.179 	0.462 
003019 	0.279 	0.114 	0.181 	0.461 
003020 	0.279 	0.117 	0.180 	0.460 
003021 	0.276 	0.120 	0.179 	0.468 
003022 	0.277 	0.123 	0.177 	0.480 
003023 	0.276 	0.122 	0.176 	0.488 
003024 	0.276 	0.120 	0.177 	0.489 
003025 	0.274 	0.125 	0.179 	0.473 
003026 	0.273 	0.122 	0.183 	0.468 
003027 	0.274 	0.126 	0.181 	0.464 
003028 	0.273 	0.127 	0.182 	0.464 
003029 	0.274 	0.130 	0.182 	0.468 
003030 	0.269 	0.131 	0.182 	0.473 
003031 	0.267 	0.138 	0.182 	0.467 
003032 	0.264 	0.142 	0.181 	0.467 
003033 	0.262 	0.145 	0.181 	0.465 
003034 	0.256 	0.151 	0.182 	0.464 
003035 	0.252 	0.148 	0.186 	0.473 
003036 	0.249 	0.150 	0.186 	0.473 
003037 	0.247 	0.151 	0.185 	0.481 
003038 	0.244 	0.152 	0.185 	0.488 
003039 	0.243 	0.157 	0.183 	0.482 
003040 	0.243 	0.157 	0.183 	0.482 
003041 	0.240 	0.156 	0.184 	0.487 
003042 	0.239 	0.162 	0.186 	0.485 
003043 	0.237 	0.169 	0.187 	0.482 
003044 	0.237 	0.171 	0.187 	0.482 
003045 	0.233 	0.174 	0.189 	0.474 
003046 	0.233 	0.175 	0.191 	0.463 
003047 	0.237 	0.179 	0.191 	0.456 
003048 	0.245 	0.178 	0.190 	0.455 
003049 	0.254 	0.176 	0.189 	0.465 
003050 	0.271 	0.172 	0.184 	0.462 
003051 	0.284 	0.173 	0.184 	0.456 
003052 	0.298 	0.167 	0.183 	0.451 
003053 	0.303 	0.159 	0.187 	0.459 
003054 	0.312 	0.147 	0.184 	0.467 
003055 	0.321 	0.144 	0.179 	0.473 
003056 	0.326 	0.142 	0.182 	0.470 
003057 	0.329 	0.140 	0.184 	0.469 
003058 	0.332 	0.138 	0.183 	0.475 
003059 	0.335 	0.136 	0.183 	0.481 
003060 	0.341 	0.139 	0.180 	0.474 
003061 	0.344 	0.134 	0.183 	0.476 
003062 	0.351 	0.133 	0.183 	0.480 
003063 	0.357 	0.127 	0.182 	0.482 
003064 	0.364 	0.129 	0.180 	0.486 
003065 	0.364 	0.129 	0.180 	0.486 
003066 	0.368 	0.136 	0.182 	0.479 
003067 	0.377 	0.143 	0.185 	0.462 
003068 	0.386 	0.152 	0.182 	0.451 
003069 	0.396 	0.152 	0.181 	0.455 
003070 	0.402 	0.155 	0.177 	0.470 
003071 	0.407 	0.157 	0.175 	0.462 
003072 	0.407 	0.166 	0.174 	0.448 
003073 	0.405 	0.166 	0.176 	0.446 
003074 	0.407 	0.164 	0.173 	0.442 
003075 	0.405 	0.164 	0.170 	0.449 
003076 	0.401 	0.160 	0.168 	0.461 
003077 	0.398 	0.160 	0.165 	0.459 
003078 	0.393 	0.155 	0.167 	0.452 
003079 	0.392 	0.151 	0.167 	0.452 
003080 	0.392 	0.147 	0.166 	0.451 
003081 	0.391 	0.145 	0.165 	0.448 
003082 	0.389 	0.140 	0.165 	0.453 
003083 	0.389 	0.134 	0.164 	0.457 
003084 	0.391 	0.132 	0.164 	0.454 
003085 	0.393 	0.135 	0.164 	0.447 
003086 	0.397 	0.132 	0.162 	0.449 
003087 	0.397 	0.128 	0.162 	0.451 
003088 	0.400 	0.129 	0.162 	0.454 
003089 	0.403 	0.131 	0.160 	0.452 
003090 	0.403 	0.131 	0.160 	0.452 
003091 	0.404 	0.131 	0.161 	0.449 
003092 	0.405 	0.142 	0.161 	0.447 
003093 	0.413 	0.157 	0.156 	0.433 
003094 	0.414 	0.187 	0.157 	0.430 
003095 	0.419 	0.215 	0.152 	0.419 
003096 	0.414 	0.229 	0.159 	0.418 
003097 	0.415 	0.218 	0.157 	0.430 
003098 	0.412 	0.194 	0.159 	0.444 
003099 	0.405 	0.184 	0.162 	0.438 
003100 	0.396 	0.163 	0.167 	0.443 
003101 	0.390 	0.159 	0.170 	0.446 
