Text:  YOUR HANDS TO CATCH AND WIND UP WITH ONLY BLISTERS AND BRUISES WHEN YOU STEP OUT OF THE PHONE BOOTH AND 
Conf:  1
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
003224 	0.437 	0.108 	0.089 	0.201 
003225 	0.433 	0.107 	0.088 	0.199 
003226 	0.434 	0.103 	0.086 	0.202 
003227 	0.431 	0.105 	0.088 	0.201 
003228 	0.433 	0.101 	0.088 	0.208 
003229 	0.431 	0.096 	0.089 	0.211 
003230 	0.431 	0.100 	0.088 	0.203 
003231 	0.430 	0.098 	0.086 	0.201 
003232 	0.427 	0.097 	0.088 	0.199 
003233 	0.427 	0.095 	0.087 	0.199 
003234 	0.426 	0.096 	0.088 	0.198 
003235 	0.426 	0.095 	0.087 	0.200 
003236 	0.424 	0.096 	0.087 	0.200 
003237 	0.424 	0.097 	0.085 	0.200 
003238 	0.423 	0.095 	0.085 	0.200 
003239 	0.422 	0.091 	0.084 	0.208 
003240 	0.422 	0.091 	0.084 	0.208 
003241 	0.420 	0.087 	0.082 	0.207 
003242 	0.418 	0.086 	0.084 	0.206 
003243 	0.414 	0.083 	0.085 	0.202 
003244 	0.413 	0.086 	0.085 	0.193 
003245 	0.412 	0.084 	0.084 	0.185 
003246 	0.412 	0.079 	0.085 	0.187 
003247 	0.410 	0.077 	0.083 	0.186 
003248 	0.408 	0.076 	0.085 	0.186 
003249 	0.407 	0.075 	0.085 	0.187 
003250 	0.406 	0.076 	0.085 	0.186 
003251 	0.405 	0.077 	0.086 	0.185 
003252 	0.404 	0.075 	0.085 	0.187 
003253 	0.402 	0.073 	0.085 	0.189 
003254 	0.402 	0.076 	0.084 	0.188 
003255 	0.401 	0.075 	0.085 	0.193 
003256 	0.402 	0.078 	0.081 	0.194 
003257 	0.402 	0.080 	0.082 	0.198 
003258 	0.402 	0.080 	0.083 	0.206 
003259 	0.401 	0.084 	0.083 	0.205 
003260 	0.401 	0.091 	0.082 	0.201 
003261 	0.401 	0.096 	0.083 	0.195 
003262 	0.402 	0.102 	0.081 	0.196 
003263 	0.402 	0.112 	0.080 	0.196 
003264 	0.401 	0.119 	0.081 	0.197 
003265 	0.401 	0.119 	0.081 	0.197 
003266 	0.399 	0.122 	0.084 	0.201 
003267 	0.401 	0.124 	0.082 	0.195 
003268 	0.402 	0.128 	0.081 	0.195 
003269 	0.404 	0.133 	0.080 	0.193 
003270 	0.405 	0.136 	0.081 	0.191 
003271 	0.405 	0.138 	0.081 	0.189 
003272 	0.405 	0.140 	0.082 	0.189 
003273 	0.405 	0.144 	0.082 	0.189 
003274 	0.406 	0.146 	0.081 	0.187 
003275 	0.405 	0.146 	0.082 	0.189 
003276 	0.406 	0.148 	0.082 	0.187 
003277 	0.405 	0.150 	0.083 	0.186 
003278 	0.405 	0.149 	0.083 	0.188 
003279 	0.405 	0.149 	0.083 	0.189 
003280 	0.405 	0.149 	0.083 	0.188 
003281 	0.405 	0.149 	0.084 	0.186 
003282 	0.405 	0.148 	0.083 	0.187 
003283 	0.405 	0.147 	0.082 	0.188 
003284 	0.405 	0.145 	0.083 	0.190 
003285 	0.406 	0.144 	0.082 	0.188 
003286 	0.406 	0.143 	0.080 	0.187 
003287 	0.406 	0.143 	0.082 	0.187 
003288 	0.406 	0.141 	0.081 	0.189 
003289 	0.406 	0.139 	0.081 	0.189 
003290 	0.406 	0.139 	0.081 	0.189 
003291 	0.405 	0.136 	0.081 	0.191 
003292 	0.404 	0.136 	0.081 	0.193 
003293 	0.404 	0.135 	0.081 	0.195 
003294 	0.403 	0.134 	0.080 	0.193 
003295 	0.401 	0.132 	0.081 	0.194 
003296 	0.400 	0.130 	0.082 	0.192 
003297 	0.398 	0.128 	0.083 	0.195 
003298 	0.397 	0.125 	0.083 	0.199 
003299 	0.397 	0.122 	0.082 	0.203 
