Text:  YOU HAVE ALL THE MORE REASON TO SAY THANK YOU BECAUSE THERE'S NOTHING MORE BEAUTIFUL THAN THE WAY THE OCEAN REFUSES TO STOP KISSING THE SHORELINE NO MATTER HOW MANY TIMES IT'S SENT AWAY YOU WILL 
Conf:  2
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
003610 	0.191 	0.102 	0.195 	0.468 
003611 	0.199 	0.102 	0.192 	0.464 
003612 	0.205 	0.098 	0.191 	0.467 
003613 	0.213 	0.099 	0.189 	0.462 
003614 	0.215 	0.099 	0.193 	0.457 
003615 	0.215 	0.099 	0.193 	0.457 
003616 	0.213 	0.103 	0.188 	0.457 
003617 	0.225 	0.096 	0.188 	0.467 
003618 	0.230 	0.091 	0.184 	0.480 
003619 	0.230 	0.093 	0.183 	0.479 
003620 	0.230 	0.095 	0.183 	0.475 
003621 	0.229 	0.096 	0.185 	0.460 
003622 	0.224 	0.089 	0.188 	0.459 
003623 	0.220 	0.081 	0.191 	0.459 
003624 	0.220 	0.097 	0.193 	0.454 
003625 	0.219 	0.096 	0.195 	0.458 
003626 	0.220 	0.095 	0.195 	0.462 
003627 	0.220 	0.095 	0.194 	0.471 
003628 	0.225 	0.097 	0.190 	0.480 
003629 	0.228 	0.093 	0.184 	0.488 
003630 	0.229 	0.096 	0.187 	0.468 
003631 	0.229 	0.095 	0.189 	0.466 
003632 	0.233 	0.091 	0.187 	0.466 
003633 	0.234 	0.094 	0.189 	0.463 
003634 	0.235 	0.099 	0.190 	0.461 
003635 	0.236 	0.099 	0.192 	0.456 
003636 	0.236 	0.094 	0.191 	0.459 
003637 	0.237 	0.092 	0.192 	0.457 
003638 	0.237 	0.093 	0.193 	0.460 
003639 	0.237 	0.096 	0.192 	0.459 
003640 	0.237 	0.096 	0.192 	0.459 
003641 	0.237 	0.093 	0.193 	0.458 
003642 	0.237 	0.093 	0.195 	0.456 
003643 	0.237 	0.093 	0.195 	0.455 
003644 	0.239 	0.096 	0.196 	0.460 
003645 	0.240 	0.102 	0.195 	0.463 
003646 	0.246 	0.103 	0.190 	0.477 
003647 	0.251 	0.106 	0.189 	0.476 
003648 	0.255 	0.111 	0.190 	0.470 
003649 	0.260 	0.126 	0.187 	0.464 
003650 	0.264 	0.141 	0.187 	0.468 
003651 	0.269 	0.151 	0.183 	0.461 
003652 	0.277 	0.149 	0.180 	0.470 
003653 	0.281 	0.136 	0.178 	0.469 
003654 	0.283 	0.119 	0.179 	0.465 
003655 	0.289 	0.114 	0.177 	0.449 
003656 	0.298 	0.112 	0.175 	0.446 
003657 	0.303 	0.108 	0.171 	0.457 
003658 	0.307 	0.112 	0.167 	0.465 
003659 	0.312 	0.120 	0.165 	0.465 
003660 	0.315 	0.119 	0.165 	0.471 
003661 	0.316 	0.136 	0.160 	0.461 
003662 	0.319 	0.138 	0.159 	0.468 
003663 	0.321 	0.133 	0.162 	0.469 
003664 	0.321 	0.129 	0.162 	0.469 
003665 	0.321 	0.129 	0.162 	0.469 
003666 	0.321 	0.134 	0.157 	0.470 
003667 	0.324 	0.132 	0.162 	0.471 
003668 	0.325 	0.135 	0.163 	0.471 
003669 	0.327 	0.134 	0.164 	0.471 
003670 	0.330 	0.138 	0.161 	0.458 
003671 	0.329 	0.138 	0.162 	0.454 
003672 	0.328 	0.132 	0.164 	0.456 
003673 	0.322 	0.128 	0.166 	0.454 
003674 	0.317 	0.120 	0.174 	0.466 
003675 	0.314 	0.121 	0.174 	0.459 
003676 	0.311 	0.116 	0.178 	0.450 
003677 	0.308 	0.113 	0.181 	0.447 
003678 	0.304 	0.111 	0.184 	0.445 
003679 	0.301 	0.108 	0.186 	0.448 
003680 	0.303 	0.110 	0.187 	0.448 
003681 	0.305 	0.108 	0.184 	0.465 
003682 	0.313 	0.104 	0.183 	0.467 
003683 	0.317 	0.100 	0.182 	0.463 
003684 	0.321 	0.104 	0.183 	0.447 
003685 	0.324 	0.096 	0.184 	0.452 
003686 	0.325 	0.085 	0.183 	0.457 
003687 	0.327 	0.082 	0.183 	0.457 
003688 	0.328 	0.085 	0.183 	0.456 
003689 	0.332 	0.096 	0.183 	0.462 
003690 	0.332 	0.096 	0.183 	0.462 
003691 	0.335 	0.098 	0.182 	0.466 
003692 	0.338 	0.094 	0.180 	0.461 
003693 	0.342 	0.096 	0.181 	0.461 
003694 	0.348 	0.107 	0.180 	0.456 
003695 	0.354 	0.120 	0.180 	0.456 
003696 	0.351 	0.132 	0.180 	0.465 
003697 	0.347 	0.139 	0.180 	0.467 
003698 	0.345 	0.146 	0.180 	0.466 
003699 	0.345 	0.148 	0.180 	0.464 
003700 	0.346 	0.156 	0.182 	0.462 
003701 	0.351 	0.165 	0.182 	0.458 
003702 	0.358 	0.171 	0.180 	0.461 
003703 	0.363 	0.177 	0.181 	0.462 
003704 	0.369 	0.182 	0.182 	0.461 
003705 	0.376 	0.190 	0.183 	0.454 
003706 	0.380 	0.195 	0.185 	0.459 
003707 	0.389 	0.194 	0.183 	0.457 
003708 	0.396 	0.196 	0.183 	0.463 
003709 	0.406 	0.203 	0.181 	0.458 
003710 	0.411 	0.207 	0.187 	0.443 
003711 	0.417 	0.204 	0.184 	0.447 
003712 	0.423 	0.198 	0.180 	0.447 
003713 	0.423 	0.196 	0.182 	0.451 
003714 	0.425 	0.192 	0.180 	0.456 
003715 	0.425 	0.192 	0.180 	0.456 
003716 	0.427 	0.177 	0.178 	0.472 
003717 	0.427 	0.165 	0.178 	0.470 
003718 	0.428 	0.154 	0.177 	0.469 
003719 	0.427 	0.141 	0.178 	0.472 
003720 	0.430 	0.136 	0.174 	0.482 
003721 	0.430 	0.138 	0.173 	0.497 
003722 	0.430 	0.135 	0.173 	0.498 
003723 	0.429 	0.132 	0.173 	0.491 
003724 	0.426 	0.129 	0.173 	0.472 
003725 	0.424 	0.133 	0.176 	0.469 
003726 	0.425 	0.141 	0.176 	0.466 
003727 	0.431 	0.145 	0.171 	0.473 
003728 	0.433 	0.138 	0.172 	0.476 
003729 	0.437 	0.139 	0.167 	0.470 
003730 	0.443 	0.146 	0.166 	0.454 
003731 	0.442 	0.147 	0.164 	0.451 
003732 	0.443 	0.142 	0.163 	0.458 
003733 	0.440 	0.139 	0.161 	0.449 
003734 	0.437 	0.131 	0.163 	0.442 
003735 	0.435 	0.123 	0.163 	0.440 
003736 	0.432 	0.121 	0.164 	0.439 
003737 	0.431 	0.119 	0.162 	0.433 
003738 	0.431 	0.112 	0.163 	0.430 
003739 	0.428 	0.112 	0.163 	0.414 
003740 	0.428 	0.112 	0.163 	0.414 
003741 	0.424 	0.110 	0.164 	0.409 
003742 	0.421 	0.109 	0.163 	0.411 
003743 	0.418 	0.112 	0.162 	0.409 
003744 	0.413 	0.112 	0.163 	0.410 
003745 	0.409 	0.117 	0.164 	0.401 
003746 	0.405 	0.118 	0.167 	0.403 
003747 	0.401 	0.122 	0.170 	0.402 
003748 	0.398 	0.120 	0.172 	0.410 
003749 	0.388 	0.099 	0.180 	0.437 
003750 	0.382 	0.095 	0.183 	0.447 
003751 	0.377 	0.101 	0.186 	0.443 
003752 	0.374 	0.101 	0.186 	0.435 
003753 	0.373 	0.102 	0.184 	0.446 
003754 	0.373 	0.102 	0.182 	0.462 
003755 	0.372 	0.100 	0.182 	0.460 
003756 	0.365 	0.103 	0.185 	0.454 
003757 	0.362 	0.103 	0.185 	0.450 
003758 	0.359 	0.104 	0.183 	0.454 
003759 	0.357 	0.104 	0.184 	0.452 
003760 	0.354 	0.109 	0.185 	0.452 
003761 	0.351 	0.110 	0.188 	0.449 
003762 	0.350 	0.107 	0.185 	0.450 
003763 	0.349 	0.110 	0.184 	0.448 
003764 	0.349 	0.113 	0.182 	0.448 
003765 	0.349 	0.113 	0.182 	0.448 
003766 	0.346 	0.113 	0.183 	0.458 
003767 	0.343 	0.115 	0.184 	0.451 
003768 	0.341 	0.118 	0.184 	0.453 
003769 	0.341 	0.118 	0.182 	0.454 
003770 	0.340 	0.120 	0.181 	0.453 
003771 	0.337 	0.119 	0.182 	0.456 
003772 	0.333 	0.120 	0.185 	0.458 
003773 	0.332 	0.122 	0.186 	0.456 
003774 	0.333 	0.119 	0.183 	0.465 
003775 	0.333 	0.119 	0.182 	0.469 
003776 	0.333 	0.122 	0.183 	0.461 
003777 	0.330 	0.123 	0.183 	0.457 
003778 	0.328 	0.123 	0.183 	0.464 
003779 	0.329 	0.121 	0.181 	0.476 
003780 	0.329 	0.123 	0.181 	0.484 
003781 	0.329 	0.125 	0.182 	0.481 
003782 	0.328 	0.128 	0.183 	0.475 
003783 	0.328 	0.131 	0.181 	0.471 
003784 	0.328 	0.131 	0.182 	0.473 
003785 	0.329 	0.131 	0.178 	0.478 
003786 	0.330 	0.128 	0.177 	0.479 
003787 	0.329 	0.128 	0.179 	0.473 
003788 	0.332 	0.130 	0.175 	0.459 
003789 	0.333 	0.133 	0.174 	0.453 
003790 	0.333 	0.133 	0.174 	0.453 
003791 	0.333 	0.132 	0.173 	0.451 
003792 	0.331 	0.125 	0.176 	0.453 
003793 	0.324 	0.121 	0.179 	0.451 
003794 	0.317 	0.120 	0.179 	0.461 
003795 	0.312 	0.127 	0.180 	0.456 
003796 	0.309 	0.120 	0.179 	0.452 
003797 	0.307 	0.118 	0.178 	0.445 
003798 	0.298 	0.111 	0.180 	0.456 
003799 	0.291 	0.111 	0.181 	0.468 
003800 	0.290 	0.117 	0.180 	0.467 
003801 	0.285 	0.116 	0.181 	0.470 
003802 	0.279 	0.117 	0.181 	0.453 
003803 	0.272 	0.119 	0.185 	0.443 
003804 	0.269 	0.114 	0.186 	0.440 
003805 	0.260 	0.113 	0.187 	0.434 
003806 	0.255 	0.113 	0.188 	0.437 
003807 	0.249 	0.119 	0.190 	0.442 
003808 	0.245 	0.124 	0.191 	0.433 
003809 	0.240 	0.124 	0.193 	0.435 
003810 	0.237 	0.123 	0.191 	0.455 
003811 	0.236 	0.122 	0.188 	0.476 
003812 	0.237 	0.120 	0.184 	0.482 
003813 	0.232 	0.119 	0.187 	0.473 
003814 	0.230 	0.121 	0.190 	0.459 
003815 	0.230 	0.121 	0.190 	0.459 
003816 	0.228 	0.126 	0.191 	0.442 
003817 	0.219 	0.153 	0.200 	0.413 
003818 	0.220 	0.135 	0.194 	0.442 
003819 	0.221 	0.137 	0.190 	0.444 
003820 	0.219 	0.139 	0.189 	0.450 
003821 	0.218 	0.144 	0.188 	0.447 
003822 	0.218 	0.146 	0.186 	0.455 
003823 	0.219 	0.145 	0.187 	0.465 
003824 	0.216 	0.144 	0.187 	0.474 
003825 	0.213 	0.146 	0.188 	0.469 
003826 	0.211 	0.151 	0.187 	0.468 
003827 	0.210 	0.157 	0.186 	0.461 
003828 	0.211 	0.159 	0.185 	0.461 
003829 	0.211 	0.159 	0.184 	0.466 
003830 	0.211 	0.158 	0.185 	0.470 
003831 	0.213 	0.156 	0.184 	0.484 
003832 	0.213 	0.161 	0.187 	0.490 
003833 	0.217 	0.159 	0.186 	0.498 
003834 	0.217 	0.159 	0.189 	0.492 
003835 	0.219 	0.163 	0.193 	0.486 
003836 	0.225 	0.163 	0.190 	0.491 
003837 	0.230 	0.165 	0.190 	0.496 
003838 	0.233 	0.171 	0.193 	0.495 
003839 	0.238 	0.175 	0.193 	0.491 
003840 	0.238 	0.175 	0.193 	0.491 
