Text:  IN WIN SOME LOSE SOME YOU WILL PUT THE STAR IN STARTING OVER AND OVER AND NO MATTER HOW MANY LAND MINES ERUPT IN A MINUTE BE SURE YOUR MIND LANDS ON THE BEAUTY OF THIS FUNNY PLACE CALLED LIFE AND YES ON A SCALE FROM ONE TO OVER TRUSTING I AM PRETTY DAMN NAIVE 
Conf:  4
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
003889 	0.374 	0.065 	0.074 	0.202 
003890 	0.374 	0.065 	0.074 	0.202 
003891 	0.372 	0.066 	0.077 	0.199 
003892 	0.368 	0.066 	0.076 	0.194 
003893 	0.365 	0.066 	0.081 	0.194 
003894 	0.362 	0.067 	0.079 	0.191 
003895 	0.358 	0.067 	0.078 	0.195 
003896 	0.354 	0.066 	0.081 	0.195 
003897 	0.352 	0.067 	0.082 	0.196 
003898 	0.351 	0.068 	0.082 	0.200 
003899 	0.350 	0.064 	0.082 	0.204 
003900 	0.350 	0.067 	0.080 	0.203 
003901 	0.350 	0.069 	0.080 	0.205 
003902 	0.351 	0.071 	0.080 	0.204 
003903 	0.351 	0.076 	0.080 	0.200 
003904 	0.352 	0.079 	0.080 	0.198 
003905 	0.352 	0.083 	0.082 	0.196 
003906 	0.353 	0.085 	0.082 	0.199 
003907 	0.353 	0.087 	0.082 	0.196 
003908 	0.354 	0.087 	0.083 	0.197 
003909 	0.352 	0.087 	0.084 	0.194 
003910 	0.352 	0.087 	0.084 	0.193 
003911 	0.352 	0.086 	0.084 	0.196 
003912 	0.352 	0.086 	0.084 	0.196 
003913 	0.351 	0.086 	0.083 	0.199 
003914 	0.351 	0.087 	0.082 	0.197 
003915 	0.351 	0.087 	0.082 	0.197 
003916 	0.350 	0.087 	0.083 	0.196 
003917 	0.349 	0.086 	0.084 	0.195 
003918 	0.346 	0.086 	0.086 	0.195 
003919 	0.345 	0.086 	0.084 	0.194 
003920 	0.342 	0.085 	0.085 	0.194 
003921 	0.338 	0.090 	0.086 	0.190 
003922 	0.335 	0.092 	0.086 	0.188 
003923 	0.331 	0.092 	0.087 	0.192 
003924 	0.330 	0.092 	0.085 	0.194 
003925 	0.329 	0.088 	0.085 	0.198 
003926 	0.330 	0.089 	0.084 	0.197 
003927 	0.330 	0.092 	0.083 	0.197 
003928 	0.330 	0.096 	0.083 	0.194 
003929 	0.329 	0.102 	0.083 	0.193 
003930 	0.331 	0.104 	0.082 	0.192 
003931 	0.331 	0.101 	0.084 	0.194 
003932 	0.332 	0.096 	0.084 	0.194 
003933 	0.331 	0.094 	0.088 	0.197 
003934 	0.332 	0.094 	0.088 	0.196 
003935 	0.328 	0.093 	0.095 	0.193 
003936 	0.335 	0.092 	0.086 	0.195 
003937 	0.336 	0.090 	0.086 	0.197 
003938 	0.338 	0.090 	0.087 	0.196 
003939 	0.339 	0.088 	0.088 	0.199 
003940 	0.339 	0.088 	0.088 	0.199 
003941 	0.340 	0.092 	0.087 	0.194 
003942 	0.339 	0.092 	0.083 	0.200 
003943 	0.336 	0.090 	0.083 	0.201 
003944 	0.333 	0.089 	0.084 	0.199 
003945 	0.329 	0.088 	0.085 	0.197 
003946 	0.328 	0.089 	0.084 	0.194 
003947 	0.327 	0.090 	0.084 	0.192 
003948 	0.328 	0.090 	0.084 	0.193 
003949 	0.327 	0.090 	0.086 	0.195 
003950 	0.329 	0.094 	0.085 	0.195 
003951 	0.330 	0.092 	0.084 	0.194 
003952 	0.331 	0.088 	0.084 	0.194 
003953 	0.333 	0.085 	0.082 	0.189 
003954 	0.332 	0.081 	0.084 	0.191 
003955 	0.332 	0.081 	0.084 	0.190 
003956 	0.336 	0.082 	0.083 	0.188 
003957 	0.337 	0.078 	0.085 	0.187 
003958 	0.340 	0.075 	0.084 	0.182 
003959 	0.341 	0.075 	0.083 	0.182 
003960 	0.345 	0.076 	0.080 	0.185 
003961 	0.346 	0.080 	0.080 	0.185 
003962 	0.351 	0.085 	0.076 	0.190 
003963 	0.353 	0.090 	0.076 	0.195 
003964 	0.353 	0.093 	0.080 	0.191 
003965 	0.353 	0.093 	0.080 	0.191 
003966 	0.354 	0.095 	0.082 	0.196 
003967 	0.357 	0.094 	0.083 	0.198 
003968 	0.364 	0.090 	0.080 	0.199 
003969 	0.367 	0.086 	0.080 	0.202 
003970 	0.371 	0.083 	0.079 	0.200 
003971 	0.376 	0.085 	0.079 	0.198 
003972 	0.373 	0.087 	0.085 	0.206 
003973 	0.373 	0.092 	0.083 	0.201 
003974 	0.374 	0.098 	0.082 	0.198 
003975 	0.376 	0.100 	0.082 	0.199 
003976 	0.379 	0.097 	0.082 	0.203 
003977 	0.382 	0.094 	0.082 	0.202 
003978 	0.387 	0.097 	0.083 	0.197 
003979 	0.391 	0.095 	0.083 	0.200 
003980 	0.394 	0.090 	0.084 	0.198 
003981 	0.396 	0.091 	0.086 	0.193 
003982 	0.399 	0.090 	0.084 	0.190 
003983 	0.401 	0.088 	0.083 	0.187 
003984 	0.401 	0.083 	0.083 	0.187 
003985 	0.401 	0.080 	0.083 	0.188 
003986 	0.403 	0.078 	0.082 	0.197 
003987 	0.408 	0.082 	0.082 	0.195 
003988 	0.414 	0.082 	0.082 	0.193 
003989 	0.424 	0.090 	0.080 	0.195 
003990 	0.424 	0.090 	0.080 	0.195 
003991 	0.432 	0.095 	0.084 	0.197 
003992 	0.441 	0.109 	0.083 	0.187 
003993 	0.446 	0.116 	0.084 	0.187 
003994 	0.447 	0.117 	0.086 	0.190 
003995 	0.446 	0.112 	0.087 	0.197 
003996 	0.445 	0.103 	0.087 	0.198 
003997 	0.441 	0.096 	0.088 	0.202 
003998 	0.438 	0.093 	0.088 	0.193 
003999 	0.438 	0.090 	0.085 	0.196 
004000 	0.436 	0.092 	0.086 	0.189 
004001 	0.436 	0.092 	0.085 	0.192 
004002 	0.436 	0.093 	0.085 	0.197 
004003 	0.437 	0.095 	0.083 	0.198 
004004 	0.437 	0.098 	0.080 	0.201 
004005 	0.438 	0.102 	0.078 	0.199 
004006 	0.438 	0.104 	0.079 	0.197 
004007 	0.439 	0.103 	0.079 	0.202 
004008 	0.441 	0.099 	0.083 	0.205 
004009 	0.443 	0.092 	0.087 	0.206 
004010 	0.448 	0.088 	0.087 	0.204 
004011 	0.453 	0.083 	0.086 	0.200 
004012 	0.460 	0.086 	0.086 	0.191 
004013 	0.464 	0.086 	0.089 	0.194 
004014 	0.467 	0.090 	0.089 	0.192 
004015 	0.467 	0.090 	0.089 	0.192 
004016 	0.470 	0.095 	0.087 	0.191 
004017 	0.475 	0.099 	0.082 	0.202 
004018 	0.480 	0.108 	0.081 	0.196 
004019 	0.482 	0.112 	0.082 	0.192 
004020 	0.483 	0.113 	0.080 	0.192 
004021 	0.482 	0.109 	0.081 	0.189 
004022 	0.481 	0.103 	0.078 	0.189 
004023 	0.478 	0.099 	0.078 	0.193 
004024 	0.479 	0.099 	0.076 	0.193 
004025 	0.478 	0.099 	0.075 	0.196 
004026 	0.479 	0.098 	0.074 	0.200 
004027 	0.481 	0.098 	0.074 	0.198 
004028 	0.483 	0.098 	0.073 	0.192 
004029 	0.484 	0.099 	0.071 	0.192 
004030 	0.483 	0.098 	0.071 	0.194 
004031 	0.480 	0.096 	0.074 	0.197 
004032 	0.472 	0.097 	0.079 	0.195 
004033 	0.470 	0.095 	0.078 	0.193 
004034 	0.467 	0.097 	0.075 	0.193 
004035 	0.467 	0.096 	0.072 	0.187 
004036 	0.466 	0.097 	0.071 	0.184 
004037 	0.464 	0.095 	0.070 	0.188 
004038 	0.462 	0.090 	0.069 	0.197 
004039 	0.458 	0.084 	0.071 	0.205 
004040 	0.458 	0.084 	0.071 	0.205 
004041 	0.452 	0.086 	0.072 	0.197 
004042 	0.445 	0.081 	0.076 	0.206 
004043 	0.436 	0.083 	0.076 	0.196 
004044 	0.431 	0.079 	0.078 	0.195 
004045 	0.424 	0.074 	0.081 	0.192 
004046 	0.419 	0.075 	0.081 	0.188 
004047 	0.416 	0.076 	0.081 	0.191 
004048 	0.415 	0.081 	0.080 	0.191 
004049 	0.415 	0.083 	0.079 	0.197 
004050 	0.412 	0.089 	0.080 	0.191 
004051 	0.418 	0.088 	0.076 	0.194 
004052 	0.419 	0.092 	0.075 	0.196 
004053 	0.421 	0.093 	0.073 	0.196 
004054 	0.420 	0.095 	0.073 	0.196 
004055 	0.418 	0.098 	0.075 	0.193 
004056 	0.412 	0.101 	0.078 	0.190 
004057 	0.411 	0.102 	0.078 	0.188 
004058 	0.410 	0.101 	0.077 	0.188 
004059 	0.407 	0.096 	0.077 	0.190 
004060 	0.404 	0.094 	0.075 	0.190 
004061 	0.401 	0.092 	0.074 	0.190 
004062 	0.395 	0.091 	0.076 	0.190 
004063 	0.384 	0.091 	0.080 	0.189 
004064 	0.381 	0.078 	0.078 	0.203 
004065 	0.381 	0.078 	0.078 	0.203 
004066 	0.378 	0.071 	0.080 	0.199 
004067 	0.378 	0.068 	0.082 	0.195 
004068 	0.380 	0.070 	0.081 	0.190 
004069 	0.383 	0.076 	0.082 	0.181 
004070 	0.390 	0.078 	0.080 	0.188 
004071 	0.398 	0.086 	0.074 	0.183 
004072 	0.405 	0.089 	0.071 	0.191 
004073 	0.407 	0.097 	0.072 	0.190 
004074 	0.411 	0.112 	0.071 	0.190 
004075 	0.410 	0.126 	0.078 	0.198 
004076 	0.423 	0.128 	0.072 	0.199 
004077 	0.427 	0.132 	0.074 	0.198 
004078 	0.429 	0.135 	0.075 	0.191 
004079 	0.432 	0.131 	0.076 	0.192 
004080 	0.434 	0.122 	0.078 	0.186 
004081 	0.439 	0.120 	0.076 	0.181 
004082 	0.449 	0.112 	0.070 	0.193 
004083 	0.453 	0.111 	0.069 	0.192 
004084 	0.456 	0.111 	0.069 	0.196 
004085 	0.459 	0.111 	0.068 	0.193 
004086 	0.460 	0.111 	0.070 	0.190 
004087 	0.461 	0.111 	0.070 	0.187 
004088 	0.461 	0.107 	0.073 	0.189 
004089 	0.460 	0.104 	0.075 	0.192 
004090 	0.460 	0.104 	0.075 	0.192 
004091 	0.458 	0.103 	0.079 	0.186 
004092 	0.456 	0.101 	0.082 	0.186 
004093 	0.454 	0.100 	0.083 	0.189 
004094 	0.452 	0.098 	0.085 	0.195 
004095 	0.451 	0.100 	0.084 	0.199 
004096 	0.451 	0.098 	0.083 	0.201 
004097 	0.451 	0.094 	0.084 	0.204 
004098 	0.450 	0.096 	0.085 	0.196 
004099 	0.453 	0.091 	0.083 	0.203 
004100 	0.453 	0.094 	0.085 	0.198 
004101 	0.454 	0.094 	0.085 	0.198 
004102 	0.456 	0.094 	0.084 	0.199 
004103 	0.458 	0.095 	0.084 	0.200 
004104 	0.460 	0.098 	0.082 	0.201 
004105 	0.462 	0.105 	0.080 	0.193 
004106 	0.462 	0.112 	0.079 	0.193 
004107 	0.462 	0.116 	0.079 	0.200 
004108 	0.462 	0.128 	0.079 	0.194 
