Text:  I'LL TELL HER REMEMBER YOUR MOMMA IS A WORRIER AND YOUR POPPA IS A WARRIOR AND YOU ARE THE GIRL WITH SMALL HANDS AND BIG EYES WHO NEVER STOPS ASKING FOR MORE REMEMBER THAT GOOD THINGS COME IN THREES AND SO DO BAD THINGS ALWAYS APOLOGIZE WHEN YOU'VE DONE SOMETHING WRONG BUT 
Conf:  4
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
004546 	0.354 	0.131 	0.168 	0.452 
004547 	0.354 	0.132 	0.168 	0.453 
004548 	0.359 	0.144 	0.164 	0.446 
004549 	0.359 	0.145 	0.165 	0.447 
004550 	0.359 	0.141 	0.164 	0.451 
004551 	0.357 	0.163 	0.159 	0.438 
004552 	0.352 	0.162 	0.159 	0.456 
004553 	0.351 	0.158 	0.157 	0.461 
004554 	0.348 	0.155 	0.158 	0.460 
004555 	0.344 	0.153 	0.159 	0.459 
004556 	0.340 	0.153 	0.156 	0.458 
004557 	0.338 	0.144 	0.157 	0.460 
004558 	0.338 	0.135 	0.158 	0.453 
004559 	0.342 	0.124 	0.157 	0.430 
004560 	0.344 	0.128 	0.159 	0.416 
004561 	0.353 	0.131 	0.159 	0.424 
004562 	0.365 	0.145 	0.151 	0.420 
004563 	0.379 	0.155 	0.145 	0.438 
004564 	0.390 	0.172 	0.154 	0.442 
004565 	0.390 	0.172 	0.154 	0.442 
004566 	0.413 	0.196 	0.143 	0.432 
004567 	0.419 	0.207 	0.150 	0.434 
004568 	0.429 	0.211 	0.153 	0.437 
004569 	0.441 	0.210 	0.153 	0.433 
004570 	0.449 	0.195 	0.154 	0.437 
004571 	0.456 	0.186 	0.154 	0.438 
004572 	0.466 	0.185 	0.150 	0.441 
004573 	0.471 	0.193 	0.152 	0.437 
004574 	0.480 	0.207 	0.152 	0.446 
004575 	0.489 	0.214 	0.156 	0.458 
004576 	0.496 	0.215 	0.156 	0.451 
004577 	0.495 	0.197 	0.166 	0.454 
004578 	0.512 	0.213 	0.156 	0.433 
004579 	0.517 	0.203 	0.155 	0.425 
004580 	0.522 	0.197 	0.156 	0.428 
004581 	0.529 	0.185 	0.153 	0.437 
004582 	0.533 	0.183 	0.156 	0.439 
004583 	0.536 	0.179 	0.161 	0.446 
004584 	0.536 	0.180 	0.161 	0.443 
004585 	0.542 	0.194 	0.175 	0.481 
004586 	0.542 	0.193 	0.176 	0.482 
004587 	0.563 	0.208 	0.174 	0.479 
004588 	0.562 	0.206 	0.174 	0.479 
004589 	0.577 	0.208 	0.161 	0.449 
004590 	0.577 	0.208 	0.161 	0.449 
004591 	0.576 	0.209 	0.162 	0.449 
004592 	0.577 	0.209 	0.161 	0.448 
004593 	0.582 	0.177 	0.160 	0.455 
004594 	0.584 	0.173 	0.160 	0.462 
004595 	0.592 	0.188 	0.154 	0.457 
004596 	0.595 	0.203 	0.156 	0.455 
004597 	0.591 	0.212 	0.171 	0.468 
004598 	0.598 	0.227 	0.170 	0.460 
004599 	0.605 	0.241 	0.171 	0.456 
004600 	0.611 	0.247 	0.171 	0.450 
004601 	0.614 	0.245 	0.171 	0.453 
004602 	0.614 	0.234 	0.170 	0.472 
004603 	0.614 	0.234 	0.170 	0.474 
004604 	0.611 	0.238 	0.171 	0.471 
004605 	0.611 	0.246 	0.174 	0.471 
004606 	0.609 	0.238 	0.173 	0.475 
004607 	0.602 	0.247 	0.171 	0.470 
004608 	0.584 	0.225 	0.175 	0.497 
004609 	0.574 	0.216 	0.174 	0.484 
004610 	0.561 	0.201 	0.176 	0.475 
004611 	0.557 	0.213 	0.169 	0.449 
004612 	0.545 	0.222 	0.173 	0.437 
004613 	0.529 	0.231 	0.182 	0.443 
004614 	0.517 	0.254 	0.182 	0.426 
004615 	0.517 	0.254 	0.182 	0.426 
004616 	0.505 	0.270 	0.182 	0.428 
004617 	0.489 	0.284 	0.184 	0.426 
004618 	0.480 	0.291 	0.185 	0.439 
004619 	0.472 	0.292 	0.183 	0.448 
004620 	0.467 	0.297 	0.186 	0.442 
004621 	0.466 	0.317 	0.175 	0.403 
004622 	0.456 	0.316 	0.175 	0.409 
004623 	0.447 	0.309 	0.175 	0.419 
004624 	0.427 	0.286 	0.185 	0.440 
004625 	0.422 	0.285 	0.182 	0.433 
004626 	0.419 	0.272 	0.180 	0.437 
004627 	0.403 	0.254 	0.184 	0.441 
004628 	0.389 	0.229 	0.184 	0.452 
