Text:  THINGS THAT YOU KNOW TO BE TRUE THEY CAN BE ABOUT WHATEVER YOU WANT TECHNOLOGY ENTERTAINMENT DESIGN YOUR FAMILY WHAT YOU HAD FOR BREAKFAST THE ONLY RULE IS DON'T THINK TOO HARD OKAY READY 
Conf:  4
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
006117 	0.449 	0.104 	0.075 	0.195 
006118 	0.445 	0.101 	0.078 	0.196 
006119 	0.443 	0.103 	0.079 	0.190 
006120 	0.438 	0.106 	0.078 	0.189 
006121 	0.435 	0.105 	0.079 	0.189 
006122 	0.434 	0.103 	0.078 	0.196 
006123 	0.433 	0.105 	0.078 	0.199 
006124 	0.432 	0.107 	0.077 	0.198 
006125 	0.432 	0.109 	0.076 	0.196 
006126 	0.431 	0.110 	0.077 	0.193 
006127 	0.431 	0.111 	0.076 	0.195 
006128 	0.429 	0.114 	0.078 	0.187 
006129 	0.428 	0.113 	0.078 	0.189 
006130 	0.425 	0.112 	0.079 	0.191 
006131 	0.423 	0.110 	0.081 	0.193 
006132 	0.421 	0.110 	0.079 	0.195 
006133 	0.419 	0.114 	0.081 	0.193 
006134 	0.412 	0.112 	0.081 	0.202 
006135 	0.409 	0.114 	0.082 	0.202 
006136 	0.406 	0.114 	0.084 	0.203 
006137 	0.403 	0.114 	0.083 	0.200 
006138 	0.403 	0.115 	0.083 	0.198 
006139 	0.403 	0.115 	0.082 	0.201 
006140 	0.403 	0.115 	0.082 	0.201 
006141 	0.403 	0.115 	0.083 	0.199 
006142 	0.404 	0.114 	0.082 	0.199 
006143 	0.404 	0.111 	0.082 	0.193 
006144 	0.402 	0.110 	0.083 	0.189 
006145 	0.401 	0.112 	0.084 	0.186 
006146 	0.402 	0.108 	0.084 	0.193 
006147 	0.403 	0.103 	0.081 	0.204 
006148 	0.394 	0.092 	0.109 	0.244 
006149 	0.401 	0.092 	0.095 	0.248 
006150 	0.413 	0.100 	0.084 	0.206 
006151 	0.417 	0.098 	0.080 	0.200 
006152 	0.415 	0.100 	0.083 	0.202 
006153 	0.413 	0.103 	0.085 	0.197 
006154 	0.414 	0.104 	0.084 	0.193 
006155 	0.410 	0.105 	0.084 	0.191 
006156 	0.410 	0.102 	0.084 	0.195 
006157 	0.409 	0.101 	0.086 	0.193 
006158 	0.409 	0.104 	0.084 	0.191 
006159 	0.409 	0.109 	0.083 	0.191 
006160 	0.408 	0.110 	0.083 	0.193 
006161 	0.408 	0.109 	0.083 	0.191 
006162 	0.406 	0.109 	0.083 	0.194 
006163 	0.404 	0.113 	0.083 	0.193 
006164 	0.399 	0.117 	0.085 	0.196 
006165 	0.399 	0.117 	0.085 	0.196 
006166 	0.396 	0.121 	0.083 	0.198 
006167 	0.393 	0.123 	0.082 	0.202 
006168 	0.390 	0.126 	0.082 	0.208 
006169 	0.387 	0.131 	0.078 	0.199 
006170 	0.385 	0.129 	0.079 	0.206 
006171 	0.383 	0.132 	0.074 	0.205 
006172 	0.380 	0.129 	0.074 	0.206 
006173 	0.378 	0.134 	0.074 	0.204 
006174 	0.373 	0.137 	0.072 	0.199 
006175 	0.370 	0.142 	0.072 	0.192 
006176 	0.367 	0.147 	0.064 	0.180 
006177 	0.363 	0.149 	0.068 	0.186 
006178 	0.359 	0.148 	0.070 	0.193 
006179 	0.356 	0.150 	0.071 	0.190 
006180 	0.355 	0.151 	0.072 	0.190 
006181 	0.354 	0.151 	0.070 	0.189 
006182 	0.351 	0.152 	0.070 	0.193 
006183 	0.350 	0.153 	0.071 	0.195 
006184 	0.347 	0.155 	0.070 	0.197 
006185 	0.345 	0.154 	0.069 	0.198 
006186 	0.342 	0.154 	0.072 	0.198 
006187 	0.338 	0.148 	0.068 	0.194 
006188 	0.337 	0.145 	0.066 	0.199 
006189 	0.334 	0.143 	0.070 	0.205 
006190 	0.334 	0.143 	0.070 	0.205 
006191 	0.333 	0.142 	0.069 	0.198 
006192 	0.333 	0.141 	0.067 	0.200 
006193 	0.330 	0.134 	0.066 	0.201 
006194 	0.329 	0.129 	0.067 	0.206 
006195 	0.328 	0.126 	0.069 	0.203 
006196 	0.324 	0.121 	0.070 	0.195 
006197 	0.318 	0.124 	0.073 	0.195 
006198 	0.315 	0.119 	0.075 	0.201 
006199 	0.317 	0.120 	0.070 	0.203 
006200 	0.317 	0.122 	0.068 	0.207 
006201 	0.317 	0.121 	0.071 	0.215 
006202 	0.319 	0.129 	0.072 	0.201 
006203 	0.320 	0.138 	0.075 	0.183 
006204 	0.319 	0.147 	0.073 	0.180 
006205 	0.319 	0.146 	0.073 	0.200 
006206 	0.318 	0.155 	0.072 	0.194 
006207 	0.317 	0.154 	0.073 	0.196 
006208 	0.316 	0.156 	0.070 	0.193 
006209 	0.314 	0.156 	0.063 	0.193 
006210 	0.310 	0.158 	0.065 	0.202 
006211 	0.306 	0.161 	0.068 	0.205 
006212 	0.307 	0.165 	0.066 	0.200 
006213 	0.304 	0.166 	0.068 	0.188 
006214 	0.304 	0.167 	0.067 	0.185 
006215 	0.304 	0.167 	0.067 	0.185 
006216 	0.301 	0.163 	0.068 	0.185 
006217 	0.302 	0.156 	0.069 	0.186 
006218 	0.303 	0.148 	0.070 	0.190 
006219 	0.307 	0.144 	0.071 	0.188 
006220 	0.311 	0.138 	0.074 	0.186 
006221 	0.318 	0.125 	0.077 	0.199 
006222 	0.323 	0.117 	0.080 	0.197 
006223 	0.329 	0.119 	0.080 	0.190 
006224 	0.337 	0.116 	0.084 	0.191 
006225 	0.343 	0.114 	0.086 	0.191 
006226 	0.349 	0.112 	0.085 	0.190 
006227 	0.353 	0.111 	0.084 	0.195 
006228 	0.354 	0.110 	0.084 	0.194 
006229 	0.352 	0.110 	0.085 	0.193 
006230 	0.349 	0.111 	0.085 	0.191 
006231 	0.346 	0.110 	0.086 	0.194 
006232 	0.343 	0.109 	0.087 	0.193 
006233 	0.340 	0.112 	0.087 	0.194 
006234 	0.336 	0.111 	0.090 	0.203 
006235 	0.332 	0.119 	0.089 	0.198 
006236 	0.326 	0.120 	0.087 	0.202 
006237 	0.320 	0.130 	0.086 	0.198 
006238 	0.316 	0.136 	0.086 	0.193 
006239 	0.311 	0.141 	0.085 	0.195 
006240 	0.311 	0.141 	0.085 	0.195 
006241 	0.307 	0.139 	0.083 	0.199 
006242 	0.304 	0.140 	0.081 	0.197 
006243 	0.302 	0.140 	0.083 	0.196 
006244 	0.302 	0.138 	0.083 	0.194 
006245 	0.305 	0.134 	0.082 	0.193 
006246 	0.306 	0.129 	0.081 	0.196 
006247 	0.309 	0.130 	0.078 	0.194 
006248 	0.305 	0.119 	0.080 	0.201 
006249 	0.309 	0.121 	0.079 	0.193 
006250 	0.313 	0.116 	0.074 	0.194 
006251 	0.316 	0.113 	0.076 	0.198 
006252 	0.319 	0.114 	0.076 	0.195 
006253 	0.321 	0.114 	0.078 	0.195 
006254 	0.322 	0.116 	0.078 	0.196 
006255 	0.321 	0.118 	0.078 	0.195 
006256 	0.319 	0.115 	0.078 	0.206 
006257 	0.314 	0.121 	0.080 	0.204 
006258 	0.311 	0.130 	0.079 	0.198 
006259 	0.308 	0.138 	0.079 	0.191 
006260 	0.305 	0.140 	0.079 	0.194 
006261 	0.302 	0.141 	0.083 	0.202 
006262 	0.302 	0.145 	0.081 	0.204 
006263 	0.304 	0.147 	0.081 	0.200 
006264 	0.309 	0.152 	0.082 	0.196 
006265 	0.309 	0.152 	0.082 	0.196 
006266 	0.315 	0.146 	0.081 	0.197 
006267 	0.320 	0.143 	0.084 	0.190 
006268 	0.328 	0.135 	0.083 	0.193 
006269 	0.334 	0.131 	0.088 	0.193 
006270 	0.342 	0.123 	0.088 	0.198 
006271 	0.350 	0.118 	0.086 	0.199 
006272 	0.355 	0.117 	0.092 	0.196 
006273 	0.362 	0.114 	0.090 	0.199 
006274 	0.368 	0.116 	0.088 	0.198 
006275 	0.372 	0.116 	0.088 	0.195 
006276 	0.377 	0.119 	0.087 	0.197 
006277 	0.381 	0.124 	0.086 	0.200 
006278 	0.387 	0.131 	0.085 	0.202 
006279 	0.391 	0.131 	0.085 	0.203 
006280 	0.396 	0.131 	0.083 	0.202 
006281 	0.401 	0.133 	0.084 	0.202 
006282 	0.405 	0.136 	0.083 	0.196 
006283 	0.407 	0.136 	0.083 	0.196 
006284 	0.408 	0.136 	0.080 	0.193 
006285 	0.409 	0.135 	0.079 	0.195 
006286 	0.408 	0.131 	0.082 	0.190 
006287 	0.408 	0.126 	0.081 	0.191 
006288 	0.407 	0.119 	0.084 	0.194 
006289 	0.405 	0.113 	0.086 	0.195 
006290 	0.405 	0.113 	0.086 	0.195 
006291 	0.405 	0.112 	0.082 	0.196 
006292 	0.400 	0.108 	0.083 	0.195 
006293 	0.397 	0.103 	0.083 	0.196 
006294 	0.394 	0.102 	0.082 	0.195 
006295 	0.392 	0.098 	0.084 	0.196 
006296 	0.391 	0.096 	0.086 	0.201 
006297 	0.393 	0.097 	0.085 	0.199 
006298 	0.395 	0.100 	0.082 	0.201 
006299 	0.400 	0.105 	0.082 	0.201 
006300 	0.404 	0.110 	0.084 	0.199 
006301 	0.408 	0.117 	0.086 	0.192 
006302 	0.416 	0.115 	0.084 	0.196 
006303 	0.423 	0.115 	0.081 	0.198 
006304 	0.430 	0.117 	0.078 	0.194 
006305 	0.430 	0.120 	0.084 	0.190 
006306 	0.433 	0.129 	0.082 	0.197 
006307 	0.432 	0.133 	0.085 	0.201 
006308 	0.433 	0.140 	0.085 	0.199 
006309 	0.434 	0.140 	0.094 	0.197 
006310 	0.436 	0.142 	0.085 	0.203 
006311 	0.437 	0.149 	0.089 	0.195 
006312 	0.441 	0.151 	0.085 	0.198 
006313 	0.441 	0.153 	0.084 	0.196 
006314 	0.440 	0.153 	0.082 	0.195 
006315 	0.440 	0.153 	0.082 	0.195 
006316 	0.437 	0.150 	0.081 	0.196 
006317 	0.434 	0.150 	0.081 	0.197 
006318 	0.428 	0.143 	0.083 	0.199 
006319 	0.420 	0.141 	0.084 	0.193 
006320 	0.413 	0.134 	0.082 	0.188 
006321 	0.403 	0.122 	0.082 	0.196 
006322 	0.393 	0.120 	0.083 	0.189 
006323 	0.381 	0.117 	0.083 	0.197 
006324 	0.374 	0.115 	0.084 	0.195 
006325 	0.369 	0.114 	0.083 	0.195 
006326 	0.362 	0.112 	0.085 	0.193 
006327 	0.356 	0.105 	0.083 	0.200 
006328 	0.349 	0.104 	0.085 	0.193 
006329 	0.340 	0.104 	0.085 	0.187 
006330 	0.329 	0.106 	0.088 	0.185 
006331 	0.319 	0.110 	0.085 	0.183 
006332 	0.308 	0.114 	0.086 	0.178 
006333 	0.300 	0.114 	0.084 	0.183 
006334 	0.292 	0.116 	0.084 	0.189 
006335 	0.286 	0.117 	0.085 	0.203 
006336 	0.281 	0.119 	0.086 	0.199 
006337 	0.275 	0.123 	0.085 	0.193 
006338 	0.269 	0.122 	0.084 	0.193 
006339 	0.263 	0.122 	0.083 	0.196 
006340 	0.263 	0.122 	0.083 	0.196 
006341 	0.256 	0.125 	0.084 	0.193 
006342 	0.251 	0.123 	0.082 	0.199 
006343 	0.248 	0.122 	0.082 	0.199 
006344 	0.244 	0.120 	0.083 	0.201 
006345 	0.244 	0.121 	0.082 	0.201 
006346 	0.242 	0.117 	0.081 	0.206 
006347 	0.241 	0.118 	0.079 	0.205 
006348 	0.239 	0.112 	0.080 	0.199 
006349 	0.237 	0.111 	0.079 	0.194 
006350 	0.234 	0.107 	0.080 	0.195 
006351 	0.232 	0.106 	0.080 	0.192 
006352 	0.228 	0.106 	0.081 	0.186 
006353 	0.227 	0.107 	0.080 	0.183 
006354 	0.226 	0.099 	0.078 	0.196 
006355 	0.226 	0.098 	0.079 	0.197 
006356 	0.225 	0.098 	0.079 	0.198 
006357 	0.225 	0.099 	0.080 	0.198 
006358 	0.225 	0.099 	0.078 	0.201 
006359 	0.225 	0.099 	0.078 	0.200 
006360 	0.230 	0.102 	0.078 	0.198 
006361 	0.229 	0.102 	0.077 	0.197 
006362 	0.237 	0.103 	0.077 	0.202 
006363 	0.237 	0.103 	0.077 	0.202 
