Text:  OKAY SO HERE ARE THREE THINGS I KNOW TO BE TRUE I KNOW THAT JEAN LUC GODARD WAS RIGHT WHEN HE SAID THAT A GOOD STORY HAS A BEGINNING A MIDDLE AND AN END ALTHOUGH NOT NECESSARILY IN THAT ORDER I KNOW THAT I'M INCREDIBLY NERVOUS AND EXCITED TO BE UP HERE WHICH IS GREATLY INHIBITING MY ABILITY TO KEEP IT COOL {LG} AND I KNOW THAT I HAVE BEEN WAITING ALL WEEK TO TELL THIS JOKE {LG} 
Conf:  1
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
006625 	0.382 	0.187 	0.122 	0.305 
006626 	0.384 	0.185 	0.116 	0.323 
006627 	0.386 	0.180 	0.114 	0.325 
006628 	0.388 	0.180 	0.113 	0.323 
006629 	0.387 	0.178 	0.115 	0.327 
006630 	0.388 	0.179 	0.112 	0.327 
006631 	0.387 	0.178 	0.112 	0.325 
006632 	0.385 	0.178 	0.113 	0.311 
006633 	0.383 	0.180 	0.111 	0.307 
006634 	0.381 	0.179 	0.110 	0.300 
006635 	0.376 	0.176 	0.112 	0.300 
006636 	0.374 	0.178 	0.109 	0.298 
006637 	0.370 	0.181 	0.110 	0.289 
006638 	0.364 	0.180 	0.108 	0.287 
006639 	0.355 	0.177 	0.109 	0.286 
006640 	0.355 	0.177 	0.109 	0.286 
006641 	0.348 	0.178 	0.109 	0.288 
006642 	0.340 	0.182 	0.108 	0.282 
006643 	0.334 	0.185 	0.109 	0.282 
006644 	0.330 	0.187 	0.105 	0.286 
006645 	0.325 	0.189 	0.105 	0.287 
006646 	0.323 	0.195 	0.103 	0.283 
006647 	0.321 	0.194 	0.102 	0.285 
006648 	0.319 	0.196 	0.102 	0.282 
006649 	0.318 	0.198 	0.100 	0.282 
006650 	0.316 	0.197 	0.099 	0.283 
006651 	0.314 	0.196 	0.098 	0.281 
006652 	0.309 	0.193 	0.099 	0.281 
006653 	0.307 	0.190 	0.099 	0.281 
006654 	0.306 	0.192 	0.098 	0.279 
006655 	0.305 	0.185 	0.096 	0.289 
006656 	0.301 	0.183 	0.099 	0.289 
006657 	0.300 	0.178 	0.099 	0.292 
006658 	0.298 	0.177 	0.098 	0.291 
006659 	0.295 	0.174 	0.099 	0.292 
006660 	0.296 	0.174 	0.099 	0.291 
006661 	0.292 	0.180 	0.102 	0.284 
006662 	0.287 	0.181 	0.107 	0.283 
006663 	0.281 	0.174 	0.110 	0.297 
006664 	0.276 	0.175 	0.112 	0.297 
006665 	0.276 	0.175 	0.112 	0.297 
006666 	0.272 	0.163 	0.118 	0.301 
006667 	0.271 	0.155 	0.121 	0.308 
006668 	0.274 	0.149 	0.123 	0.309 
006669 	0.278 	0.143 	0.124 	0.316 
006670 	0.283 	0.142 	0.126 	0.311 
006671 	0.293 	0.149 	0.127 	0.300 
006672 	0.309 	0.155 	0.124 	0.298 
006673 	0.317 	0.154 	0.130 	0.299 
006674 	0.333 	0.151 	0.128 	0.300 
006675 	0.350 	0.153 	0.129 	0.295 
006676 	0.368 	0.150 	0.127 	0.296 
006677 	0.388 	0.145 	0.126 	0.300 
006678 	0.403 	0.148 	0.128 	0.300 
006679 	0.421 	0.150 	0.125 	0.305 
006680 	0.435 	0.153 	0.127 	0.306 
006681 	0.446 	0.159 	0.129 	0.305 
006682 	0.460 	0.166 	0.128 	0.304 
006683 	0.470 	0.165 	0.127 	0.306 
006684 	0.480 	0.159 	0.125 	0.324 
006685 	0.495 	0.157 	0.121 	0.335 
006686 	0.503 	0.162 	0.123 	0.329 
006687 	0.510 	0.169 	0.122 	0.319 
006688 	0.522 	0.183 	0.118 	0.312 
006689 	0.529 	0.192 	0.121 	0.305 
006690 	0.529 	0.192 	0.121 	0.305 
006691 	0.538 	0.200 	0.120 	0.308 
006692 	0.549 	0.207 	0.118 	0.305 
006693 	0.556 	0.211 	0.121 	0.301 
006694 	0.566 	0.217 	0.120 	0.299 
006695 	0.572 	0.219 	0.120 	0.305 
006696 	0.576 	0.219 	0.121 	0.309 
006697 	0.581 	0.218 	0.122 	0.304 
006698 	0.584 	0.216 	0.120 	0.302 
006699 	0.588 	0.216 	0.122 	0.306 
006700 	0.590 	0.212 	0.123 	0.308 
006701 	0.590 	0.210 	0.126 	0.306 
006702 	0.592 	0.209 	0.125 	0.302 
006703 	0.592 	0.204 	0.127 	0.299 
006704 	0.591 	0.200 	0.126 	0.301 
006705 	0.589 	0.195 	0.125 	0.303 
006706 	0.584 	0.189 	0.126 	0.306 
