Text:  THE SCARECROW INVITED TO TED BECAUSE HE WAS OUT STANDING IN HIS FIELD 
Conf:  4
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
007291 	0.431 	0.112 	0.074 	0.174 
007292 	0.431 	0.113 	0.074 	0.174 
007293 	0.431 	0.111 	0.075 	0.176 
007294 	0.431 	0.113 	0.074 	0.175 
007295 	0.432 	0.116 	0.075 	0.172 
007296 	0.432 	0.119 	0.075 	0.172 
007297 	0.433 	0.123 	0.075 	0.173 
007298 	0.434 	0.123 	0.073 	0.180 
007299 	0.435 	0.122 	0.074 	0.179 
007300 	0.438 	0.123 	0.074 	0.177 
007301 	0.438 	0.120 	0.074 	0.178 
007302 	0.440 	0.121 	0.074 	0.178 
007303 	0.442 	0.123 	0.073 	0.178 
007304 	0.443 	0.123 	0.072 	0.183 
007305 	0.445 	0.127 	0.073 	0.173 
007306 	0.445 	0.126 	0.074 	0.177 
007307 	0.446 	0.128 	0.075 	0.174 
007308 	0.447 	0.129 	0.074 	0.172 
007309 	0.447 	0.129 	0.076 	0.173 
007310 	0.448 	0.130 	0.074 	0.179 
007311 	0.449 	0.129 	0.075 	0.178 
007312 	0.450 	0.127 	0.075 	0.178 
007313 	0.450 	0.127 	0.076 	0.177 
007314 	0.451 	0.126 	0.074 	0.176 
007315 	0.451 	0.126 	0.074 	0.176 
007316 	0.452 	0.127 	0.074 	0.176 
007317 	0.452 	0.127 	0.075 	0.176 
007318 	0.453 	0.129 	0.075 	0.176 
007319 	0.455 	0.128 	0.073 	0.178 
007320 	0.456 	0.129 	0.073 	0.182 
007321 	0.457 	0.124 	0.074 	0.188 
007322 	0.458 	0.120 	0.073 	0.191 
007323 	0.460 	0.119 	0.077 	0.192 
007324 	0.461 	0.122 	0.077 	0.185 
007325 	0.464 	0.124 	0.075 	0.181 
007326 	0.467 	0.127 	0.077 	0.173 
007327 	0.475 	0.132 	0.072 	0.167 
007328 	0.478 	0.130 	0.074 	0.169 
007329 	0.483 	0.129 	0.073 	0.169 
007330 	0.487 	0.131 	0.074 	0.167 
007331 	0.490 	0.132 	0.075 	0.166 
007332 	0.492 	0.133 	0.073 	0.167 
007333 	0.495 	0.135 	0.074 	0.163 
007334 	0.502 	0.135 	0.073 	0.166 
007335 	0.506 	0.134 	0.070 	0.165 
007336 	0.507 	0.131 	0.073 	0.169 
007337 	0.510 	0.132 	0.072 	0.167 
007338 	0.511 	0.131 	0.074 	0.169 
007339 	0.513 	0.131 	0.075 	0.168 
007340 	0.513 	0.131 	0.075 	0.168 
007341 	0.516 	0.132 	0.073 	0.166 
007342 	0.517 	0.132 	0.073 	0.165 
007343 	0.518 	0.134 	0.073 	0.165 
007344 	0.520 	0.135 	0.072 	0.165 
007345 	0.520 	0.136 	0.073 	0.169 
007346 	0.521 	0.136 	0.074 	0.168 
007347 	0.521 	0.136 	0.076 	0.169 
007348 	0.525 	0.133 	0.075 	0.175 
007349 	0.527 	0.133 	0.074 	0.176 
007350 	0.528 	0.132 	0.073 	0.180 
007351 	0.529 	0.132 	0.072 	0.179 
007352 	0.530 	0.131 	0.073 	0.181 
007353 	0.530 	0.132 	0.073 	0.177 
007354 	0.531 	0.130 	0.072 	0.176 
007355 	0.530 	0.130 	0.073 	0.175 
007356 	0.531 	0.131 	0.070 	0.173 
007357 	0.530 	0.129 	0.071 	0.173 
007358 	0.529 	0.128 	0.071 	0.173 
007359 	0.527 	0.125 	0.074 	0.172 
007360 	0.524 	0.129 	0.074 	0.169 
007361 	0.523 	0.123 	0.072 	0.175 
007362 	0.521 	0.121 	0.074 	0.173 
007363 	0.520 	0.121 	0.073 	0.174 
007364 	0.518 	0.121 	0.074 	0.174 
007365 	0.518 	0.121 	0.074 	0.174 
007366 	0.515 	0.121 	0.075 	0.174 
007367 	0.514 	0.123 	0.074 	0.172 
007368 	0.511 	0.122 	0.075 	0.171 
007369 	0.508 	0.123 	0.075 	0.168 
007370 	0.505 	0.124 	0.074 	0.168 
007371 	0.500 	0.124 	0.076 	0.167 
007372 	0.494 	0.119 	0.074 	0.176 
007373 	0.491 	0.121 	0.074 	0.183 
007374 	0.487 	0.120 	0.074 	0.176 
007375 	0.482 	0.121 	0.074 	0.168 
007376 	0.476 	0.126 	0.076 	0.163 
007377 	0.470 	0.125 	0.076 	0.165 
007378 	0.464 	0.128 	0.075 	0.166 
007379 	0.458 	0.129 	0.075 	0.164 
007380 	0.450 	0.128 	0.076 	0.170 
007381 	0.439 	0.132 	0.077 	0.168 
007382 	0.433 	0.131 	0.079 	0.175 
007383 	0.427 	0.137 	0.078 	0.175 
007384 	0.422 	0.148 	0.075 	0.169 
007385 	0.418 	0.152 	0.073 	0.169 
007386 	0.412 	0.157 	0.074 	0.169 
007387 	0.409 	0.162 	0.073 	0.169 
007388 	0.407 	0.169 	0.073 	0.168 
007389 	0.403 	0.174 	0.072 	0.168 
007390 	0.403 	0.174 	0.072 	0.168 
007391 	0.400 	0.177 	0.071 	0.167 
007392 	0.398 	0.178 	0.071 	0.166 
007393 	0.397 	0.182 	0.070 	0.161 
007394 	0.395 	0.181 	0.071 	0.164 
007395 	0.393 	0.182 	0.072 	0.165 
007396 	0.392 	0.188 	0.072 	0.160 
007397 	0.390 	0.191 	0.071 	0.159 
007398 	0.390 	0.193 	0.071 	0.159 
007399 	0.389 	0.194 	0.071 	0.159 
007400 	0.390 	0.197 	0.070 	0.156 
007401 	0.391 	0.201 	0.069 	0.158 
007402 	0.391 	0.202 	0.071 	0.161 
007403 	0.393 	0.207 	0.070 	0.156 
007404 	0.394 	0.211 	0.069 	0.158 
007405 	0.394 	0.219 	0.070 	0.155 
007406 	0.395 	0.222 	0.070 	0.152 
007407 	0.395 	0.225 	0.070 	0.151 
007408 	0.397 	0.222 	0.070 	0.151 
007409 	0.398 	0.220 	0.069 	0.154 
007410 	0.398 	0.217 	0.069 	0.156 
007411 	0.399 	0.216 	0.070 	0.155 
007412 	0.399 	0.217 	0.070 	0.152 
007413 	0.397 	0.215 	0.071 	0.153 
007414 	0.392 	0.215 	0.074 	0.152 
007415 	0.392 	0.215 	0.074 	0.152 

WORD START END ASDSCORE
THE 0.09 0.16 3.2
SCARECROW 0.16 0.65 8.3
INVITED 0.65 1.01 9.3
TO 1.01 1.08 10.0
TED 1.08 1.40 7.4
BECAUSE 2.67 3.04 4.9
HE 3.04 3.15 4.7
WAS 3.15 3.28 5.5
OUT 3.28 3.51 10.4
STANDING 3.51 4.06 6.8
IN 4.06 4.16 1.4
HIS 4.16 4.41 0.6
FIELD 4.41 4.87 -0.0
