Text:  POEM LOOK BACK AND GO OH THAT'S WHAT THIS IS ALL ABOUT AND SOMETIMES I GET TO THE END OF THE POEM AND HAVEN'T SOLVED ANYTHING BUT 
Conf:  2
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
007965 	0.503 	0.125 	0.070 	0.171 
007966 	0.506 	0.120 	0.075 	0.177 
007967 	0.510 	0.119 	0.075 	0.174 
007968 	0.515 	0.115 	0.077 	0.170 
007969 	0.519 	0.114 	0.077 	0.171 
007970 	0.530 	0.118 	0.073 	0.160 
007971 	0.536 	0.115 	0.074 	0.161 
007972 	0.543 	0.121 	0.068 	0.156 
007973 	0.548 	0.123 	0.066 	0.156 
007974 	0.557 	0.129 	0.057 	0.153 
007975 	0.559 	0.132 	0.052 	0.148 
007976 	0.564 	0.124 	0.050 	0.165 
007977 	0.567 	0.124 	0.049 	0.170 
007978 	0.569 	0.123 	0.047 	0.171 
007979 	0.571 	0.121 	0.045 	0.168 
007980 	0.573 	0.120 	0.046 	0.168 
007981 	0.573 	0.115 	0.046 	0.169 
007982 	0.571 	0.113 	0.050 	0.162 
007983 	0.566 	0.111 	0.057 	0.165 
007984 	0.562 	0.111 	0.061 	0.161 
007985 	0.558 	0.109 	0.065 	0.159 
007986 	0.557 	0.103 	0.066 	0.165 
007987 	0.557 	0.103 	0.067 	0.161 
007988 	0.554 	0.101 	0.069 	0.156 
007989 	0.554 	0.101 	0.069 	0.161 
007990 	0.554 	0.101 	0.069 	0.161 
007991 	0.552 	0.101 	0.073 	0.167 
007992 	0.554 	0.107 	0.074 	0.162 
007993 	0.557 	0.114 	0.069 	0.164 
007994 	0.556 	0.121 	0.074 	0.162 
007995 	0.554 	0.120 	0.075 	0.164 
007996 	0.553 	0.117 	0.072 	0.163 
007997 	0.551 	0.113 	0.072 	0.164 
007998 	0.550 	0.113 	0.069 	0.164 
007999 	0.550 	0.117 	0.068 	0.163 
008000 	0.549 	0.124 	0.068 	0.161 
008001 	0.550 	0.132 	0.066 	0.159 
008002 	0.549 	0.133 	0.064 	0.160 
008003 	0.547 	0.133 	0.065 	0.159 
008004 	0.547 	0.132 	0.061 	0.158 
008005 	0.544 	0.131 	0.061 	0.157 
008006 	0.544 	0.131 	0.061 	0.156 
008007 	0.544 	0.132 	0.061 	0.158 
008008 	0.543 	0.133 	0.062 	0.156 
008009 	0.543 	0.131 	0.061 	0.161 
008010 	0.543 	0.131 	0.063 	0.161 
008011 	0.545 	0.132 	0.060 	0.160 
008012 	0.545 	0.130 	0.062 	0.166 
008013 	0.546 	0.130 	0.060 	0.166 
008014 	0.547 	0.129 	0.061 	0.167 
008015 	0.547 	0.129 	0.061 	0.167 
008016 	0.549 	0.130 	0.061 	0.166 
008017 	0.550 	0.130 	0.060 	0.165 
008018 	0.552 	0.128 	0.062 	0.164 
008019 	0.554 	0.126 	0.068 	0.157 
008020 	0.558 	0.124 	0.070 	0.162 
008021 	0.564 	0.115 	0.071 	0.166 
008022 	0.570 	0.112 	0.072 	0.170 
008023 	0.575 	0.108 	0.072 	0.174 
008024 	0.578 	0.108 	0.074 	0.173 
008025 	0.584 	0.102 	0.071 	0.177 
008026 	0.586 	0.101 	0.071 	0.179 
008027 	0.587 	0.099 	0.068 	0.176 
008028 	0.588 	0.100 	0.068 	0.170 
008029 	0.585 	0.102 	0.069 	0.162 
008030 	0.582 	0.103 	0.069 	0.161 
008031 	0.575 	0.105 	0.070 	0.160 
008032 	0.570 	0.100 	0.075 	0.168 
008033 	0.566 	0.110 	0.072 	0.155 
008034 	0.562 	0.103 	0.072 	0.165 
008035 	0.560 	0.106 	0.071 	0.171 
008036 	0.557 	0.109 	0.070 	0.170 
008037 	0.555 	0.110 	0.069 	0.165 
008038 	0.552 	0.113 	0.067 	0.166 
008039 	0.550 	0.113 	0.067 	0.167 
008040 	0.550 	0.113 	0.067 	0.167 
008041 	0.547 	0.114 	0.065 	0.168 
008042 	0.546 	0.116 	0.066 	0.166 
008043 	0.543 	0.116 	0.065 	0.165 
008044 	0.539 	0.114 	0.067 	0.165 
008045 	0.537 	0.116 	0.066 	0.162 
008046 	0.534 	0.117 	0.064 	0.162 
008047 	0.529 	0.121 	0.062 	0.160 
008048 	0.529 	0.125 	0.060 	0.164 
008049 	0.524 	0.125 	0.062 	0.162 
008050 	0.522 	0.128 	0.062 	0.159 
008051 	0.520 	0.128 	0.064 	0.159 
008052 	0.518 	0.127 	0.064 	0.159 
008053 	0.515 	0.126 	0.065 	0.159 
008054 	0.513 	0.127 	0.064 	0.159 
008055 	0.514 	0.128 	0.061 	0.160 
008056 	0.512 	0.125 	0.063 	0.165 
008057 	0.511 	0.124 	0.063 	0.166 
008058 	0.511 	0.122 	0.062 	0.166 
008059 	0.510 	0.119 	0.064 	0.162 
008060 	0.509 	0.113 	0.065 	0.166 
008061 	0.509 	0.108 	0.065 	0.171 
008062 	0.509 	0.106 	0.064 	0.169 
008063 	0.510 	0.102 	0.065 	0.171 
008064 	0.511 	0.101 	0.061 	0.170 
008065 	0.511 	0.101 	0.061 	0.170 
008066 	0.513 	0.099 	0.063 	0.169 
008067 	0.516 	0.101 	0.063 	0.163 
008068 	0.517 	0.097 	0.065 	0.164 
008069 	0.516 	0.094 	0.068 	0.167 
008070 	0.518 	0.092 	0.068 	0.170 
008071 	0.518 	0.091 	0.069 	0.174 
008072 	0.520 	0.091 	0.069 	0.176 
008073 	0.520 	0.091 	0.068 	0.179 
008074 	0.522 	0.096 	0.066 	0.176 
008075 	0.521 	0.096 	0.064 	0.182 
008076 	0.522 	0.106 	0.063 	0.180 
008077 	0.522 	0.115 	0.060 	0.177 
008078 	0.522 	0.124 	0.061 	0.172 
008079 	0.521 	0.126 	0.062 	0.176 
008080 	0.522 	0.128 	0.061 	0.174 
008081 	0.520 	0.127 	0.061 	0.174 
008082 	0.517 	0.128 	0.062 	0.174 
008083 	0.512 	0.127 	0.066 	0.170 
008084 	0.510 	0.134 	0.062 	0.152 
008085 	0.507 	0.130 	0.061 	0.155 
008086 	0.505 	0.129 	0.054 	0.159 
008087 	0.504 	0.129 	0.055 	0.158 
008088 	0.503 	0.129 	0.055 	0.160 
008089 	0.502 	0.129 	0.057 	0.162 
008090 	0.502 	0.129 	0.057 	0.162 
008091 	0.502 	0.133 	0.057 	0.155 
008092 	0.501 	0.136 	0.057 	0.151 
008093 	0.501 	0.136 	0.055 	0.155 
008094 	0.501 	0.135 	0.055 	0.156 
008095 	0.503 	0.128 	0.056 	0.159 
008096 	0.503 	0.126 	0.062 	0.156 
008097 	0.508 	0.120 	0.064 	0.159 
008098 	0.510 	0.116 	0.069 	0.162 
008099 	0.513 	0.111 	0.070 	0.166 
008100 	0.516 	0.106 	0.070 	0.168 
008101 	0.517 	0.103 	0.072 	0.171 
008102 	0.520 	0.106 	0.071 	0.163 
008103 	0.521 	0.105 	0.069 	0.160 
008104 	0.522 	0.104 	0.068 	0.156 
008105 	0.523 	0.103 	0.069 	0.156 
008106 	0.523 	0.104 	0.067 	0.159 
008107 	0.523 	0.103 	0.067 	0.163 
008108 	0.522 	0.104 	0.066 	0.160 
008109 	0.522 	0.105 	0.065 	0.160 
008110 	0.519 	0.104 	0.067 	0.161 
008111 	0.515 	0.106 	0.068 	0.162 
008112 	0.514 	0.110 	0.069 	0.156 
008113 	0.513 	0.109 	0.069 	0.162 
008114 	0.514 	0.108 	0.068 	0.162 

WORD START END ASDSCORE
POEM 0.10 0.26 7.4
