Text:  A NEW POEM OUT OF IT SPOKEN WORD POETRY IS THE ART OF PERFORMANCE POETRY I TELL PEOPLE IT INVOLVES CREATING POETRY THAT DOESN'T JUST WANT TO SIT ON PAPER THAT SOMETHING ABOUT IT DEMANDS IT BE HEARD OUT LOUD OR WITNESSED IN PERSON WHEN I WAS A FRESHMAN IN HIGH SCHOOL I WAS A LIVE WIRE OF NERVOUS 
Conf:  2
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
008126 	0.365 	0.130 	0.120 	0.302 
008127 	0.365 	0.134 	0.121 	0.301 
008128 	0.366 	0.132 	0.122 	0.306 
008129 	0.367 	0.133 	0.122 	0.303 
008130 	0.366 	0.132 	0.123 	0.309 
008131 	0.367 	0.132 	0.125 	0.320 
008132 	0.366 	0.133 	0.123 	0.319 
008133 	0.367 	0.139 	0.123 	0.315 
008134 	0.365 	0.140 	0.126 	0.316 
008135 	0.364 	0.144 	0.128 	0.314 
008136 	0.364 	0.144 	0.128 	0.311 
008137 	0.365 	0.142 	0.124 	0.313 
008138 	0.366 	0.145 	0.122 	0.303 
008139 	0.361 	0.127 	0.124 	0.307 
008140 	0.361 	0.127 	0.124 	0.307 
008141 	0.354 	0.121 	0.126 	0.304 
008142 	0.351 	0.112 	0.127 	0.314 
008143 	0.346 	0.103 	0.130 	0.320 
008144 	0.344 	0.102 	0.131 	0.318 
008145 	0.344 	0.096 	0.130 	0.321 
008146 	0.343 	0.089 	0.131 	0.323 
008147 	0.343 	0.090 	0.131 	0.323 
008148 	0.343 	0.089 	0.132 	0.324 
008149 	0.344 	0.091 	0.132 	0.322 
008150 	0.347 	0.090 	0.130 	0.325 
008151 	0.349 	0.091 	0.130 	0.325 
008152 	0.352 	0.092 	0.129 	0.324 
008153 	0.356 	0.096 	0.127 	0.322 
008154 	0.358 	0.104 	0.128 	0.317 
008155 	0.362 	0.106 	0.127 	0.316 
008156 	0.364 	0.109 	0.128 	0.311 
