Text:  MY FEAR OF EVER BEING LOOKED AT FOR TOO LONG I WAS FASCINATED BY THE IDEA OF SPOKEN WORD POETRY I FELT THAT MY TWO SECRET LOVES POETRY AND THEATER HAD COME TOGETHER HAD A BABY A BABY NEEDED TO GET TO KNOW SO I DECIDED TO GIVE IT A TRY MY FIRST SPOKEN WORD POEM PACKED WITH ALL THE WISDOM OF A 14 YEAR OLD WAS ABOUT THE 
Conf:  2
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
008727 	0.521 	0.108 	0.117 	0.302 
008728 	0.520 	0.103 	0.116 	0.306 
008729 	0.519 	0.102 	0.115 	0.311 
008730 	0.520 	0.103 	0.113 	0.300 
008731 	0.520 	0.101 	0.114 	0.296 
008732 	0.521 	0.100 	0.114 	0.295 
008733 	0.521 	0.101 	0.115 	0.290 
008734 	0.523 	0.102 	0.113 	0.288 
008735 	0.524 	0.107 	0.111 	0.290 
008736 	0.523 	0.109 	0.110 	0.294 
008737 	0.525 	0.114 	0.110 	0.296 
008738 	0.527 	0.118 	0.110 	0.295 
008739 	0.529 	0.123 	0.110 	0.294 
008740 	0.529 	0.123 	0.110 	0.294 
008741 	0.531 	0.125 	0.109 	0.296 
008742 	0.531 	0.126 	0.110 	0.300 
008743 	0.533 	0.132 	0.109 	0.299 
008744 	0.531 	0.132 	0.110 	0.296 
008745 	0.527 	0.131 	0.110 	0.292 
008746 	0.523 	0.129 	0.111 	0.295 
008747 	0.521 	0.124 	0.111 	0.304 
008748 	0.519 	0.121 	0.113 	0.309 
008749 	0.520 	0.123 	0.111 	0.302 
008750 	0.517 	0.123 	0.112 	0.293 
008751 	0.514 	0.121 	0.113 	0.293 
008752 	0.511 	0.120 	0.113 	0.296 
008753 	0.506 	0.123 	0.113 	0.292 
008754 	0.500 	0.125 	0.115 	0.294 
008755 	0.494 	0.125 	0.117 	0.304 
008756 	0.490 	0.128 	0.117 	0.308 
008757 	0.484 	0.128 	0.119 	0.311 
008758 	0.480 	0.128 	0.117 	0.308 
008759 	0.477 	0.132 	0.117 	0.301 
008760 	0.472 	0.130 	0.115 	0.296 
008761 	0.468 	0.126 	0.115 	0.298 
008762 	0.465 	0.125 	0.115 	0.294 
008763 	0.465 	0.123 	0.115 	0.296 
008764 	0.463 	0.123 	0.116 	0.296 
008765 	0.463 	0.123 	0.116 	0.296 
008766 	0.463 	0.126 	0.115 	0.291 
008767 	0.459 	0.124 	0.116 	0.292 
