Text:  ME AND SAID HEY I REALLY FELT THAT THANKS AND LIGHTNING STRUCK I WAS HOOKED I DISCOVERED THIS BAR ON MANHATTAN'S LOWER EAST SIDE THAT HOSTED A WEEKLY POETRY OPEN MIC AND MY BEWILDERED BUT SUPPORTIVE PARENTS TOOK ME TO SOAK IN EVERY OUNCE OF SPOKEN WORD THAT I COULD I WAS THE 
Conf:  4
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
010151 	0.253 	0.147 	0.131 	0.315 
010152 	0.254 	0.147 	0.132 	0.312 
010153 	0.257 	0.146 	0.132 	0.314 
010154 	0.260 	0.145 	0.127 	0.313 
010155 	0.262 	0.145 	0.127 	0.314 
010156 	0.264 	0.143 	0.125 	0.318 
010157 	0.266 	0.141 	0.127 	0.312 
010158 	0.268 	0.133 	0.128 	0.315 
010159 	0.270 	0.131 	0.127 	0.315 
010160 	0.272 	0.130 	0.127 	0.314 
010161 	0.273 	0.127 	0.126 	0.318 
010162 	0.276 	0.125 	0.125 	0.319 
010163 	0.278 	0.117 	0.126 	0.319 
010164 	0.281 	0.108 	0.127 	0.322 
010165 	0.281 	0.108 	0.127 	0.322 
010166 	0.284 	0.104 	0.127 	0.323 
010167 	0.285 	0.097 	0.128 	0.334 
010168 	0.287 	0.091 	0.128 	0.333 
010169 	0.290 	0.086 	0.127 	0.335 
010170 	0.294 	0.085 	0.127 	0.329 
010171 	0.296 	0.091 	0.128 	0.320 
010172 	0.299 	0.095 	0.127 	0.319 
010173 	0.301 	0.100 	0.126 	0.314 
010174 	0.303 	0.100 	0.126 	0.314 
010175 	0.306 	0.101 	0.124 	0.312 
010176 	0.308 	0.101 	0.124 	0.312 
010177 	0.310 	0.102 	0.123 	0.312 
010178 	0.311 	0.103 	0.125 	0.312 
010179 	0.311 	0.103 	0.125 	0.313 
010180 	0.313 	0.103 	0.125 	0.312 
010181 	0.313 	0.102 	0.126 	0.315 
010182 	0.311 	0.102 	0.123 	0.313 
010183 	0.312 	0.100 	0.122 	0.315 
010184 	0.313 	0.100 	0.122 	0.314 
010185 	0.314 	0.098 	0.124 	0.314 
010186 	0.315 	0.096 	0.123 	0.314 
010187 	0.314 	0.095 	0.125 	0.315 
010188 	0.316 	0.091 	0.124 	0.314 
010189 	0.317 	0.087 	0.123 	0.312 
010190 	0.317 	0.087 	0.123 	0.312 
010191 	0.317 	0.082 	0.121 	0.307 
010192 	0.318 	0.081 	0.118 	0.301 
010193 	0.316 	0.083 	0.120 	0.305 
010194 	0.315 	0.084 	0.121 	0.308 
010195 	0.314 	0.085 	0.122 	0.316 
010196 	0.312 	0.086 	0.122 	0.319 
010197 	0.311 	0.089 	0.123 	0.326 
010198 	0.313 	0.094 	0.120 	0.329 
010199 	0.311 	0.095 	0.122 	0.323 
010200 	0.313 	0.099 	0.124 	0.315 
010201 	0.310 	0.101 	0.124 	0.309 
010202 	0.309 	0.104 	0.123 	0.308 
010203 	0.304 	0.106 	0.124 	0.307 
010204 	0.301 	0.105 	0.126 	0.307 
010205 	0.298 	0.107 	0.126 	0.301 
010206 	0.296 	0.103 	0.127 	0.304 
010207 	0.293 	0.099 	0.127 	0.312 
010208 	0.289 	0.099 	0.127 	0.321 
010209 	0.287 	0.105 	0.127 	0.309 
010210 	0.284 	0.109 	0.128 	0.303 
010211 	0.282 	0.109 	0.127 	0.303 
010212 	0.279 	0.107 	0.127 	0.311 
010213 	0.279 	0.106 	0.123 	0.320 
010214 	0.276 	0.106 	0.122 	0.321 
010215 	0.276 	0.106 	0.122 	0.321 
010216 	0.270 	0.107 	0.125 	0.319 
010217 	0.265 	0.110 	0.124 	0.312 
010218 	0.262 	0.110 	0.126 	0.311 
010219 	0.260 	0.112 	0.125 	0.308 
010220 	0.257 	0.113 	0.126 	0.310 
010221 	0.258 	0.114 	0.126 	0.314 
010222 	0.254 	0.114 	0.127 	0.315 
010223 	0.252 	0.115 	0.125 	0.311 
010224 	0.248 	0.118 	0.126 	0.307 
010225 	0.246 	0.118 	0.127 	0.303 
010226 	0.243 	0.120 	0.128 	0.305 
010227 	0.241 	0.120 	0.128 	0.305 
010228 	0.239 	0.120 	0.129 	0.304 
010229 	0.237 	0.115 	0.128 	0.309 
010230 	0.235 	0.114 	0.127 	0.311 
010231 	0.232 	0.112 	0.129 	0.314 
010232 	0.232 	0.113 	0.128 	0.314 
010233 	0.232 	0.114 	0.127 	0.313 
010234 	0.231 	0.112 	0.128 	0.314 
010235 	0.231 	0.112 	0.127 	0.313 
010236 	0.229 	0.111 	0.129 	0.314 
010237 	0.228 	0.109 	0.128 	0.318 
010238 	0.229 	0.109 	0.128 	0.319 
010239 	0.229 	0.108 	0.128 	0.319 
010240 	0.229 	0.108 	0.128 	0.319 
010241 	0.228 	0.104 	0.128 	0.323 
010242 	0.228 	0.109 	0.128 	0.318 
010243 	0.229 	0.108 	0.127 	0.318 
010244 	0.230 	0.107 	0.128 	0.319 
010245 	0.231 	0.107 	0.127 	0.318 
010246 	0.232 	0.108 	0.128 	0.317 
010247 	0.233 	0.107 	0.129 	0.319 
010248 	0.235 	0.106 	0.129 	0.320 
