Text:  BY AT LEAST A DECADE BUT SOMEHOW THE POETS AT THE BOWERY POETRY CLUB DIDN'T SEEM BOTHERED BY THE 14 YEAR OLD WANDERING ABOUT IN FACT THEY WELCOMED ME AND IT WAS HERE LISTENING TO THESE POETS SHARE THEIR STORIES THAT I LEARNED THAT SPOKEN WORD POETRY DIDN'T HAVE TO BE INDIGNANT IT COULD BE FUN OR PAINFUL OR SERIOUS OR SILLY THE BOWERY POETRY CLUB BECAME MY CLASSROOM 
Conf:  4
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
010664 	0.480 	0.127 	0.061 	0.145 
010665 	0.480 	0.127 	0.061 	0.145 
010666 	0.482 	0.130 	0.060 	0.143 
010667 	0.483 	0.132 	0.060 	0.147 
010668 	0.485 	0.133 	0.061 	0.147 
010669 	0.485 	0.137 	0.061 	0.143 
010670 	0.488 	0.139 	0.061 	0.138 
010671 	0.490 	0.145 	0.062 	0.133 
010672 	0.492 	0.148 	0.064 	0.132 
010673 	0.496 	0.148 	0.064 	0.135 
010674 	0.501 	0.152 	0.064 	0.133 
010675 	0.507 	0.152 	0.062 	0.131 
010676 	0.511 	0.153 	0.064 	0.130 
010677 	0.515 	0.150 	0.065 	0.133 
010678 	0.520 	0.149 	0.066 	0.132 
010679 	0.523 	0.144 	0.065 	0.140 
010680 	0.526 	0.141 	0.065 	0.141 
010681 	0.530 	0.145 	0.064 	0.133 
010682 	0.532 	0.144 	0.064 	0.132 
010683 	0.534 	0.142 	0.065 	0.133 
010684 	0.536 	0.140 	0.066 	0.136 
010685 	0.537 	0.139 	0.065 	0.137 
010686 	0.537 	0.137 	0.065 	0.138 
010687 	0.537 	0.136 	0.063 	0.137 
010688 	0.536 	0.133 	0.064 	0.141 
010689 	0.536 	0.131 	0.065 	0.143 
010690 	0.536 	0.131 	0.065 	0.143 
010691 	0.535 	0.130 	0.064 	0.146 
010692 	0.536 	0.128 	0.063 	0.145 
010693 	0.535 	0.125 	0.063 	0.145 
010694 	0.535 	0.119 	0.064 	0.147 
010695 	0.535 	0.117 	0.065 	0.146 
010696 	0.536 	0.115 	0.064 	0.147 
010697 	0.537 	0.115 	0.062 	0.146 
010698 	0.536 	0.112 	0.064 	0.148 
010699 	0.535 	0.111 	0.066 	0.150 
010700 	0.534 	0.110 	0.066 	0.149 
010701 	0.533 	0.109 	0.067 	0.149 
010702 	0.533 	0.109 	0.067 	0.148 
010703 	0.534 	0.107 	0.066 	0.149 
010704 	0.536 	0.107 	0.067 	0.152 
010705 	0.537 	0.103 	0.069 	0.153 
010706 	0.540 	0.099 	0.071 	0.157 
010707 	0.545 	0.100 	0.067 	0.153 
010708 	0.549 	0.103 	0.068 	0.152 
010709 	0.553 	0.103 	0.064 	0.152 
010710 	0.557 	0.103 	0.063 	0.150 
010711 	0.562 	0.103 	0.059 	0.152 
010712 	0.566 	0.107 	0.059 	0.149 
010713 	0.569 	0.110 	0.059 	0.144 
010714 	0.572 	0.111 	0.059 	0.142 
010715 	0.572 	0.111 	0.059 	0.142 
010716 	0.573 	0.111 	0.058 	0.142 
010717 	0.574 	0.111 	0.059 	0.143 
010718 	0.576 	0.112 	0.057 	0.145 
010719 	0.576 	0.112 	0.056 	0.147 
010720 	0.575 	0.112 	0.055 	0.144 
010721 	0.575 	0.113 	0.053 	0.141 
010722 	0.573 	0.110 	0.053 	0.142 
010723 	0.572 	0.109 	0.054 	0.141 
010724 	0.570 	0.111 	0.054 	0.141 
010725 	0.568 	0.111 	0.054 	0.142 
010726 	0.566 	0.109 	0.054 	0.144 
010727 	0.562 	0.108 	0.057 	0.145 
010728 	0.559 	0.106 	0.059 	0.150 
010729 	0.555 	0.108 	0.060 	0.154 
010730 	0.553 	0.106 	0.061 	0.156 
010731 	0.553 	0.105 	0.060 	0.157 
010732 	0.551 	0.106 	0.060 	0.153 
010733 	0.550 	0.109 	0.059 	0.145 
010734 	0.547 	0.109 	0.059 	0.142 
010735 	0.544 	0.104 	0.059 	0.149 
010736 	0.540 	0.105 	0.061 	0.149 
010737 	0.538 	0.104 	0.059 	0.150 
010738 	0.532 	0.103 	0.062 	0.151 
010739 	0.526 	0.103 	0.066 	0.154 
010740 	0.526 	0.103 	0.066 	0.154 
010741 	0.523 	0.104 	0.064 	0.152 
010742 	0.520 	0.103 	0.064 	0.152 
010743 	0.518 	0.104 	0.064 	0.147 
010744 	0.514 	0.105 	0.065 	0.146 
010745 	0.510 	0.105 	0.065 	0.148 
010746 	0.504 	0.102 	0.068 	0.152 
010747 	0.498 	0.100 	0.072 	0.154 
010748 	0.496 	0.099 	0.068 	0.165 
010749 	0.493 	0.101 	0.067 	0.164 
010750 	0.489 	0.104 	0.067 	0.155 
010751 	0.486 	0.103 	0.066 	0.153 
010752 	0.483 	0.102 	0.066 	0.155 
010753 	0.481 	0.102 	0.063 	0.155 
010754 	0.479 	0.103 	0.062 	0.153 
010755 	0.476 	0.103 	0.063 	0.149 
010756 	0.476 	0.103 	0.061 	0.153 
010757 	0.476 	0.105 	0.062 	0.151 
010758 	0.475 	0.105 	0.061 	0.153 
010759 	0.474 	0.106 	0.061 	0.151 
010760 	0.474 	0.106 	0.062 	0.152 
010761 	0.475 	0.103 	0.062 	0.154 
010762 	0.477 	0.100 	0.061 	0.156 
010763 	0.475 	0.098 	0.062 	0.155 
010764 	0.478 	0.097 	0.061 	0.160 
010765 	0.478 	0.097 	0.061 	0.160 
010766 	0.481 	0.097 	0.063 	0.164 
