Text:  AND THE POETS WHO PERFORMED ENCOURAGED ME TO SHARE MY STORIES AS WELL NEVER MIND THE FACT THAT I WAS 14 THEY TOLD ME WRITE ABOUT BEING 14 SO I DID AND STOOD AMAZED EVERY WEEK WHEN THESE BRILLIANT GROWN UP POETS LAUGHED WITH ME AND GROANED THEIR SYMPATHY AND CLAPPED AND TOLD ME HEY I REALLY FELT THAT TOO NOW I CAN DIVIDE MY SPOKEN WORD JOURNEY INTO THREE STEPS 
Conf:  4
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
011250 	0.290 	0.167 	0.112 	0.302 
011251 	0.288 	0.164 	0.112 	0.307 
011252 	0.288 	0.162 	0.113 	0.310 
011253 	0.286 	0.159 	0.114 	0.310 
011254 	0.287 	0.152 	0.114 	0.310 
011255 	0.283 	0.152 	0.116 	0.299 
011256 	0.284 	0.146 	0.116 	0.300 
011257 	0.285 	0.145 	0.116 	0.302 
011258 	0.288 	0.144 	0.115 	0.298 
011259 	0.289 	0.145 	0.114 	0.293 
011260 	0.291 	0.142 	0.112 	0.293 
011261 	0.292 	0.143 	0.113 	0.292 
011262 	0.294 	0.142 	0.113 	0.291 
011263 	0.300 	0.141 	0.110 	0.286 
011264 	0.306 	0.131 	0.109 	0.293 
011265 	0.306 	0.131 	0.109 	0.293 
011266 	0.311 	0.128 	0.107 	0.296 
011267 	0.317 	0.126 	0.107 	0.297 
011268 	0.320 	0.127 	0.107 	0.295 
011269 	0.322 	0.127 	0.104 	0.296 
011270 	0.323 	0.128 	0.106 	0.294 
011271 	0.326 	0.128 	0.105 	0.287 
011272 	0.328 	0.127 	0.104 	0.284 
011273 	0.331 	0.126 	0.103 	0.284 
011274 	0.331 	0.125 	0.104 	0.285 
011275 	0.331 	0.125 	0.106 	0.287 
011276 	0.333 	0.124 	0.106 	0.290 
011277 	0.334 	0.126 	0.105 	0.288 
011278 	0.334 	0.124 	0.107 	0.290 
011279 	0.332 	0.118 	0.108 	0.297 
011280 	0.329 	0.122 	0.109 	0.297 
011281 	0.325 	0.120 	0.111 	0.304 
011282 	0.321 	0.124 	0.113 	0.299 
011283 	0.318 	0.128 	0.114 	0.298 
011284 	0.311 	0.133 	0.118 	0.301 
011285 	0.312 	0.129 	0.116 	0.315 
011286 	0.312 	0.127 	0.118 	0.316 
011287 	0.314 	0.124 	0.119 	0.316 
011288 	0.315 	0.126 	0.120 	0.313 
011289 	0.314 	0.128 	0.122 	0.311 
011290 	0.314 	0.128 	0.122 	0.311 
011291 	0.315 	0.128 	0.121 	0.311 
011292 	0.317 	0.132 	0.120 	0.308 
011293 	0.317 	0.133 	0.124 	0.311 
011294 	0.322 	0.132 	0.122 	0.316 
011295 	0.324 	0.136 	0.121 	0.315 
011296 	0.327 	0.135 	0.121 	0.318 
011297 	0.329 	0.134 	0.122 	0.317 
011298 	0.334 	0.135 	0.119 	0.317 
011299 	0.336 	0.133 	0.122 	0.321 
011300 	0.340 	0.134 	0.122 	0.318 
011301 	0.342 	0.131 	0.125 	0.314 
011302 	0.347 	0.130 	0.125 	0.311 
011303 	0.351 	0.133 	0.124 	0.308 
011304 	0.354 	0.134 	0.123 	0.307 
011305 	0.358 	0.144 	0.122 	0.300 
011306 	0.357 	0.145 	0.124 	0.304 
011307 	0.354 	0.139 	0.127 	0.313 
011308 	0.354 	0.139 	0.127 	0.314 
011309 	0.355 	0.141 	0.126 	0.314 
011310 	0.358 	0.142 	0.125 	0.318 
011311 	0.359 	0.144 	0.126 	0.322 
011312 	0.359 	0.145 	0.127 	0.326 
011313 	0.360 	0.144 	0.128 	0.328 
011314 	0.357 	0.141 	0.134 	0.316 
011315 	0.357 	0.141 	0.134 	0.316 
011316 	0.359 	0.138 	0.129 	0.313 
011317 	0.356 	0.131 	0.129 	0.316 
011318 	0.348 	0.125 	0.135 	0.328 
011319 	0.343 	0.122 	0.134 	0.330 
011320 	0.336 	0.129 	0.134 	0.317 
011321 	0.330 	0.137 	0.135 	0.310 
011322 	0.330 	0.137 	0.135 	0.310 
011323 	0.327 	0.141 	0.132 	0.315 
011324 	0.323 	0.145 	0.130 	0.315 
011325 	0.317 	0.143 	0.132 	0.318 
011326 	0.313 	0.139 	0.131 	0.318 
011327 	0.311 	0.137 	0.132 	0.320 
011328 	0.308 	0.140 	0.132 	0.314 
011329 	0.309 	0.142 	0.135 	0.313 
011330 	0.307 	0.141 	0.136 	0.313 
011331 	0.307 	0.140 	0.135 	0.315 
011332 	0.309 	0.144 	0.133 	0.315 
011333 	0.309 	0.147 	0.132 	0.314 
011334 	0.307 	0.149 	0.134 	0.311 
011335 	0.309 	0.148 	0.132 	0.315 
011336 	0.309 	0.146 	0.133 	0.322 
011337 	0.310 	0.147 	0.132 	0.326 
011338 	0.310 	0.147 	0.133 	0.323 
011339 	0.308 	0.147 	0.136 	0.316 
011340 	0.308 	0.147 	0.136 	0.316 
011341 	0.308 	0.149 	0.133 	0.309 
011342 	0.311 	0.151 	0.131 	0.307 
011343 	0.312 	0.153 	0.131 	0.304 
011344 	0.314 	0.153 	0.131 	0.305 
011345 	0.315 	0.150 	0.131 	0.309 
011346 	0.318 	0.151 	0.130 	0.315 
011347 	0.321 	0.154 	0.129 	0.314 
011348 	0.325 	0.154 	0.131 	0.306 
011349 	0.330 	0.151 	0.131 	0.304 
011350 	0.337 	0.146 	0.131 	0.304 
011351 	0.350 	0.143 	0.125 	0.301 
011352 	0.358 	0.141 	0.122 	0.296 
011353 	0.362 	0.134 	0.123 	0.292 
011354 	0.364 	0.125 	0.126 	0.294 
011355 	0.364 	0.113 	0.132 	0.305 
011356 	0.361 	0.104 	0.129 	0.320 
011357 	0.365 	0.109 	0.127 	0.310 
011358 	0.369 	0.111 	0.128 	0.302 
011359 	0.375 	0.113 	0.127 	0.298 
011360 	0.380 	0.117 	0.129 	0.297 
011361 	0.386 	0.115 	0.126 	0.300 
011362 	0.389 	0.119 	0.125 	0.305 
011363 	0.391 	0.123 	0.126 	0.313 
011364 	0.392 	0.129 	0.127 	0.314 
011365 	0.392 	0.129 	0.127 	0.314 
011366 	0.396 	0.135 	0.127 	0.300 
011367 	0.404 	0.146 	0.123 	0.284 
011368 	0.416 	0.147 	0.115 	0.290 
011369 	0.420 	0.145 	0.114 	0.299 
011370 	0.419 	0.149 	0.114 	0.296 
011371 	0.413 	0.154 	0.116 	0.291 
011372 	0.408 	0.156 	0.115 	0.289 
011373 	0.405 	0.155 	0.115 	0.291 
011374 	0.399 	0.157 	0.118 	0.287 
011375 	0.394 	0.158 	0.116 	0.288 
011376 	0.388 	0.162 	0.118 	0.295 
011377 	0.384 	0.169 	0.119 	0.297 
011378 	0.377 	0.169 	0.121 	0.300 
011379 	0.371 	0.177 	0.121 	0.295 
011380 	0.367 	0.188 	0.121 	0.287 
011381 	0.364 	0.192 	0.118 	0.292 
011382 	0.354 	0.195 	0.120 	0.291 
011383 	0.349 	0.198 	0.120 	0.289 
011384 	0.342 	0.196 	0.121 	0.293 
011385 	0.338 	0.195 	0.117 	0.294 
011386 	0.332 	0.195 	0.120 	0.295 
011387 	0.326 	0.193 	0.119 	0.296 
011388 	0.323 	0.188 	0.118 	0.297 
011389 	0.319 	0.181 	0.119 	0.298 
011390 	0.319 	0.181 	0.119 	0.298 
011391 	0.314 	0.172 	0.119 	0.299 
011392 	0.313 	0.166 	0.117 	0.297 
011393 	0.309 	0.156 	0.114 	0.293 
011394 	0.305 	0.145 	0.115 	0.295 
011395 	0.302 	0.135 	0.115 	0.292 
011396 	0.299 	0.121 	0.116 	0.301 
011397 	0.299 	0.115 	0.115 	0.304 
011398 	0.295 	0.107 	0.119 	0.303 
011399 	0.296 	0.103 	0.114 	0.303 
011400 	0.296 	0.101 	0.114 	0.305 
011401 	0.297 	0.104 	0.112 	0.300 
011402 	0.297 	0.104 	0.112 	0.291 
011403 	0.297 	0.104 	0.112 	0.289 
011404 	0.299 	0.101 	0.111 	0.291 
011405 	0.300 	0.099 	0.112 	0.290 
011406 	0.299 	0.100 	0.111 	0.283 
011407 	0.298 	0.100 	0.112 	0.284 
011408 	0.298 	0.101 	0.112 	0.284 
011409 	0.298 	0.103 	0.111 	0.284 
011410 	0.302 	0.103 	0.109 	0.290 
011411 	0.305 	0.101 	0.108 	0.292 
011412 	0.310 	0.104 	0.107 	0.292 
011413 	0.314 	0.111 	0.107 	0.285 
011414 	0.319 	0.116 	0.107 	0.282 
011415 	0.319 	0.116 	0.107 	0.282 
011416 	0.326 	0.129 	0.105 	0.269 
011417 	0.335 	0.148 	0.102 	0.259 
011418 	0.341 	0.156 	0.103 	0.256 
011419 	0.353 	0.166 	0.105 	0.250 
011420 	0.362 	0.173 	0.100 	0.248 
011421 	0.370 	0.175 	0.102 	0.256 
011422 	0.380 	0.174 	0.101 	0.254 
011423 	0.387 	0.174 	0.103 	0.259 
011424 	0.393 	0.171 	0.108 	0.266 
011425 	0.400 	0.170 	0.104 	0.274 
011426 	0.405 	0.169 	0.103 	0.283 
011427 	0.411 	0.171 	0.103 	0.282 
011428 	0.414 	0.166 	0.103 	0.283 
011429 	0.416 	0.164 	0.106 	0.285 
011430 	0.419 	0.164 	0.107 	0.292 
011431 	0.423 	0.166 	0.106 	0.296 
011432 	0.425 	0.167 	0.107 	0.294 
011433 	0.425 	0.164 	0.108 	0.292 
011434 	0.424 	0.160 	0.108 	0.291 
011435 	0.421 	0.155 	0.109 	0.294 
011436 	0.415 	0.156 	0.110 	0.286 
011437 	0.403 	0.146 	0.111 	0.285 
011438 	0.396 	0.141 	0.108 	0.284 
011439 	0.391 	0.137 	0.109 	0.283 
011440 	0.391 	0.137 	0.109 	0.283 
011441 	0.388 	0.127 	0.112 	0.288 
011442 	0.385 	0.124 	0.113 	0.289 
011443 	0.383 	0.123 	0.115 	0.291 
011444 	0.386 	0.123 	0.114 	0.287 
011445 	0.389 	0.122 	0.115 	0.286 
011446 	0.395 	0.124 	0.112 	0.287 
011447 	0.401 	0.136 	0.107 	0.285 
011448 	0.404 	0.145 	0.110 	0.284 
011449 	0.411 	0.149 	0.109 	0.288 
011450 	0.413 	0.151 	0.110 	0.292 
011451 	0.417 	0.158 	0.110 	0.291 
011452 	0.422 	0.167 	0.107 	0.284 
011453 	0.425 	0.172 	0.107 	0.285 
011454 	0.427 	0.176 	0.107 	0.287 
011455 	0.429 	0.185 	0.104 	0.285 
011456 	0.430 	0.191 	0.105 	0.289 
011457 	0.432 	0.198 	0.103 	0.288 
011458 	0.433 	0.205 	0.105 	0.287 
011459 	0.436 	0.210 	0.103 	0.285 
011460 	0.436 	0.213 	0.109 	0.288 
011461 	0.436 	0.217 	0.111 	0.290 
011462 	0.433 	0.216 	0.112 	0.296 
011463 	0.430 	0.217 	0.115 	0.295 
011464 	0.427 	0.218 	0.116 	0.295 
011465 	0.427 	0.218 	0.116 	0.295 
011466 	0.423 	0.210 	0.122 	0.300 
011467 	0.423 	0.209 	0.121 	0.295 
011468 	0.420 	0.204 	0.123 	0.297 
011469 	0.421 	0.200 	0.123 	0.301 
011470 	0.421 	0.196 	0.123 	0.304 
011471 	0.421 	0.193 	0.124 	0.307 
011472 	0.421 	0.192 	0.123 	0.308 
011473 	0.419 	0.190 	0.124 	0.315 
