Text:  YOU DIVE INTO THE THINGS YOU DON'T KNOW I USE POETRY TO HELP ME WORK THROUGH WHAT I DON'T UNDERSTAND BUT I SHOW 
Conf:  2
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
012773 	0.407 	0.099 	0.107 	0.236 
012774 	0.404 	0.095 	0.106 	0.235 
012775 	0.400 	0.086 	0.107 	0.238 
012776 	0.398 	0.084 	0.107 	0.233 
012777 	0.394 	0.081 	0.107 	0.228 
012778 	0.394 	0.072 	0.105 	0.235 
012779 	0.394 	0.073 	0.103 	0.247 
012780 	0.392 	0.068 	0.103 	0.263 
012781 	0.392 	0.067 	0.103 	0.263 
012782 	0.390 	0.067 	0.101 	0.253 
012783 	0.387 	0.068 	0.102 	0.246 
012784 	0.388 	0.068 	0.101 	0.246 
012785 	0.387 	0.066 	0.102 	0.247 
012786 	0.388 	0.066 	0.102 	0.251 
012787 	0.388 	0.063 	0.101 	0.253 
012788 	0.388 	0.063 	0.099 	0.248 
012789 	0.389 	0.059 	0.101 	0.246 
012790 	0.389 	0.059 	0.101 	0.246 
012791 	0.389 	0.055 	0.103 	0.248 
012792 	0.388 	0.055 	0.103 	0.247 
012793 	0.390 	0.057 	0.102 	0.251 
012794 	0.388 	0.057 	0.106 	0.254 
012795 	0.388 	0.060 	0.106 	0.250 
012796 	0.388 	0.063 	0.107 	0.256 
012797 	0.391 	0.071 	0.104 	0.251 
012798 	0.390 	0.078 	0.105 	0.250 
012799 	0.389 	0.092 	0.105 	0.243 
012800 	0.389 	0.102 	0.105 	0.242 
012801 	0.390 	0.111 	0.108 	0.246 
012802 	0.393 	0.125 	0.106 	0.246 
012803 	0.397 	0.139 	0.105 	0.237 
012804 	0.402 	0.150 	0.102 	0.237 
012805 	0.407 	0.162 	0.099 	0.236 
012806 	0.413 	0.164 	0.096 	0.249 
012807 	0.418 	0.175 	0.091 	0.244 
012808 	0.418 	0.181 	0.091 	0.239 
012809 	0.419 	0.181 	0.093 	0.235 
012810 	0.418 	0.177 	0.095 	0.233 
012811 	0.413 	0.172 	0.099 	0.235 
012812 	0.412 	0.173 	0.099 	0.235 
012813 	0.410 	0.169 	0.100 	0.240 
012814 	0.406 	0.169 	0.104 	0.240 
012815 	0.406 	0.169 	0.104 	0.240 
012816 	0.404 	0.167 	0.107 	0.237 
012817 	0.410 	0.173 	0.105 	0.232 
012818 	0.413 	0.177 	0.109 	0.248 
012819 	0.419 	0.183 	0.106 	0.253 
012820 	0.421 	0.185 	0.107 	0.267 
012821 	0.421 	0.187 	0.106 	0.274 
012822 	0.419 	0.190 	0.108 	0.273 
012823 	0.415 	0.188 	0.109 	0.266 
012824 	0.402 	0.186 	0.112 	0.265 
012825 	0.390 	0.187 	0.115 	0.267 
012826 	0.381 	0.185 	0.113 	0.270 
012827 	0.375 	0.188 	0.111 	0.269 
012828 	0.370 	0.191 	0.111 	0.270 
012829 	0.365 	0.194 	0.110 	0.269 
012830 	0.360 	0.193 	0.112 	0.268 
012831 	0.355 	0.191 	0.112 	0.262 
012832 	0.348 	0.190 	0.113 	0.264 
012833 	0.344 	0.190 	0.111 	0.266 
012834 	0.343 	0.191 	0.109 	0.279 
012835 	0.339 	0.197 	0.107 	0.284 
012836 	0.334 	0.204 	0.107 	0.278 
012837 	0.329 	0.202 	0.106 	0.269 
012838 	0.319 	0.191 	0.109 	0.257 
012839 	0.314 	0.186 	0.112 	0.248 
012840 	0.314 	0.186 	0.112 	0.248 
012841 	0.308 	0.181 	0.113 	0.245 
012842 	0.307 	0.182 	0.112 	0.235 
012843 	0.305 	0.176 	0.114 	0.238 
012844 	0.303 	0.171 	0.113 	0.245 
012845 	0.303 	0.166 	0.112 	0.248 
012846 	0.306 	0.159 	0.109 	0.261 
012847 	0.307 	0.152 	0.112 	0.267 
012848 	0.311 	0.144 	0.110 	0.264 
012849 	0.313 	0.139 	0.113 	0.256 
012850 	0.316 	0.130 	0.112 	0.261 
012851 	0.315 	0.126 	0.114 	0.262 
012852 	0.317 	0.119 	0.112 	0.267 
012853 	0.318 	0.112 	0.112 	0.271 
012854 	0.320 	0.111 	0.111 	0.270 
012855 	0.323 	0.109 	0.111 	0.275 
012856 	0.330 	0.108 	0.108 	0.276 
012857 	0.341 	0.100 	0.105 	0.268 
012858 	0.345 	0.099 	0.105 	0.262 
012859 	0.349 	0.100 	0.100 	0.258 
012860 	0.351 	0.099 	0.099 	0.260 
012861 	0.355 	0.099 	0.094 	0.256 
012862 	0.356 	0.101 	0.095 	0.255 
012863 	0.353 	0.104 	0.097 	0.252 
012864 	0.347 	0.105 	0.100 	0.251 
012865 	0.347 	0.105 	0.100 	0.251 
012866 	0.343 	0.110 	0.101 	0.247 
012867 	0.336 	0.117 	0.101 	0.242 
012868 	0.329 	0.113 	0.104 	0.234 
012869 	0.327 	0.112 	0.104 	0.234 
012870 	0.326 	0.109 	0.105 	0.234 
012871 	0.325 	0.105 	0.107 	0.237 
012872 	0.326 	0.108 	0.106 	0.240 
012873 	0.327 	0.111 	0.106 	0.242 
012874 	0.327 	0.112 	0.107 	0.243 
012875 	0.329 	0.113 	0.107 	0.245 
012876 	0.332 	0.117 	0.109 	0.244 
012877 	0.336 	0.122 	0.107 	0.248 
012878 	0.339 	0.120 	0.105 	0.244 
012879 	0.343 	0.127 	0.102 	0.226 
012880 	0.344 	0.133 	0.111 	0.202 
012881 	0.349 	0.133 	0.110 	0.202 
012882 	0.350 	0.124 	0.104 	0.221 
012883 	0.352 	0.123 	0.103 	0.225 
012884 	0.353 	0.122 	0.105 	0.219 
012885 	0.353 	0.125 	0.110 	0.206 
012886 	0.354 	0.119 	0.103 	0.234 
012887 	0.349 	0.112 	0.107 	0.244 
012888 	0.349 	0.112 	0.106 	0.232 
012889 	0.343 	0.121 	0.105 	0.223 
012890 	0.343 	0.121 	0.105 	0.223 
012891 	0.343 	0.123 	0.102 	0.223 
012892 	0.342 	0.123 	0.103 	0.233 
012893 	0.341 	0.123 	0.103 	0.234 
012894 	0.338 	0.123 	0.101 	0.236 
012895 	0.333 	0.126 	0.105 	0.237 
012896 	0.333 	0.126 	0.109 	0.245 
012897 	0.333 	0.122 	0.112 	0.259 
012898 	0.332 	0.120 	0.113 	0.263 
012899 	0.335 	0.119 	0.111 	0.258 
012900 	0.335 	0.115 	0.112 	0.250 
012901 	0.334 	0.110 	0.110 	0.251 
012902 	0.332 	0.110 	0.110 	0.252 
012903 	0.333 	0.110 	0.110 	0.260 
012904 	0.335 	0.106 	0.106 	0.272 
012905 	0.337 	0.106 	0.106 	0.261 
012906 	0.343 	0.103 	0.103 	0.248 
012907 	0.351 	0.101 	0.098 	0.242 
012908 	0.358 	0.100 	0.092 	0.243 
012909 	0.363 	0.100 	0.090 	0.237 
012910 	0.366 	0.101 	0.089 	0.238 
012911 	0.371 	0.110 	0.083 	0.233 
012912 	0.372 	0.108 	0.080 	0.230 
012913 	0.361 	0.079 	0.084 	0.257 
012914 	0.358 	0.078 	0.083 	0.253 
012915 	0.358 	0.078 	0.083 	0.253 
012916 	0.349 	0.080 	0.085 	0.258 
012917 	0.348 	0.074 	0.083 	0.264 
012918 	0.351 	0.095 	0.075 	0.250 
012919 	0.352 	0.094 	0.072 	0.249 

WORD START END ASDSCORE
YOU 0.08 0.23 6.2
DIVE 0.23 0.57 11.8
INTO 0.57 0.82 9.2
THE 0.82 0.91 6.6
THINGS 0.91 1.38 6.2
YOU 1.41 1.57 4.4
DON'T 1.57 1.87 4.7
KNOW 1.89 2.09 6.5
I 2.57 2.76 8.8
USE 2.76 2.96 9.6
POETRY 2.96 3.31 8.5
TO 3.31 3.38 9.0
HELP 3.38 3.54 9.4
ME 3.54 3.65 8.1
WORK 3.65 3.91 6.5
THROUGH 3.91 4.14 6.0
WHAT 4.14 4.25 10.0
I 4.25 4.35 11.5
DON'T 4.35 4.61 8.9
UNDERSTAND 4.61 5.22 7.2
BUT 5.22 5.33 9.6
I 5.33 5.41 11.0
SHOW 5.41 5.75 11.2
