Text:  I HAD CREATED PROJECT V O I C E AS A WAY TO ENCOURAGE MY FRIENDS TO DO SPOKEN WORD WITH ME BUT PHIL AND I DECIDED TO REINVENT PROJECT V I C THIS TIME CHANGING THE MISSION TO USING SPOKEN WORD POETRY AS 
Conf:  2
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
013353 	0.693 	0.133 	0.065 	0.152 
013354 	0.692 	0.127 	0.066 	0.154 
013355 	0.691 	0.124 	0.064 	0.152 
013356 	0.690 	0.119 	0.064 	0.152 
013357 	0.688 	0.117 	0.065 	0.147 
013358 	0.688 	0.109 	0.064 	0.153 
013359 	0.685 	0.104 	0.065 	0.154 
013360 	0.683 	0.102 	0.067 	0.156 
013361 	0.680 	0.097 	0.067 	0.155 
013362 	0.678 	0.094 	0.066 	0.160 
013363 	0.676 	0.094 	0.066 	0.159 
013364 	0.674 	0.093 	0.067 	0.158 
013365 	0.674 	0.093 	0.067 	0.158 
013366 	0.672 	0.093 	0.067 	0.154 
013367 	0.672 	0.091 	0.067 	0.155 
013368 	0.671 	0.090 	0.065 	0.156 
013369 	0.669 	0.091 	0.065 	0.153 
013370 	0.668 	0.090 	0.066 	0.155 
013371 	0.666 	0.087 	0.067 	0.160 
013372 	0.662 	0.087 	0.068 	0.162 
013373 	0.661 	0.089 	0.066 	0.163 
013374 	0.657 	0.086 	0.067 	0.160 
013375 	0.655 	0.087 	0.066 	0.158 
013376 	0.653 	0.090 	0.067 	0.157 
013377 	0.652 	0.092 	0.065 	0.157 
013378 	0.651 	0.092 	0.067 	0.154 
013379 	0.651 	0.090 	0.067 	0.153 
013380 	0.651 	0.090 	0.068 	0.154 
013381 	0.651 	0.091 	0.067 	0.150 
013382 	0.653 	0.090 	0.066 	0.151 
013383 	0.654 	0.090 	0.067 	0.156 
013384 	0.657 	0.090 	0.066 	0.161 
013385 	0.658 	0.091 	0.067 	0.166 
013386 	0.660 	0.095 	0.066 	0.158 
013387 	0.660 	0.097 	0.069 	0.156 
013388 	0.662 	0.100 	0.068 	0.153 
013389 	0.663 	0.102 	0.069 	0.155 
013390 	0.663 	0.102 	0.069 	0.155 
013391 	0.664 	0.101 	0.069 	0.156 
013392 	0.664 	0.101 	0.069 	0.158 
013393 	0.665 	0.102 	0.069 	0.157 
013394 	0.666 	0.100 	0.070 	0.157 
013395 	0.667 	0.101 	0.069 	0.152 
013396 	0.668 	0.101 	0.068 	0.154 
013397 	0.670 	0.096 	0.068 	0.160 
013398 	0.669 	0.094 	0.070 	0.161 
013399 	0.671 	0.095 	0.068 	0.158 
013400 	0.672 	0.096 	0.067 	0.157 
013401 	0.673 	0.101 	0.066 	0.154 
013402 	0.674 	0.102 	0.064 	0.152 
013403 	0.673 	0.100 	0.063 	0.154 
013404 	0.671 	0.098 	0.061 	0.151 
013405 	0.671 	0.097 	0.062 	0.152 
013406 	0.669 	0.094 	0.062 	0.150 
013407 	0.667 	0.092 	0.061 	0.153 
013408 	0.664 	0.093 	0.061 	0.150 
013409 	0.657 	0.089 	0.067 	0.149 
013410 	0.653 	0.085 	0.069 	0.153 
013411 	0.649 	0.087 	0.070 	0.150 
013412 	0.646 	0.088 	0.068 	0.150 
013413 	0.645 	0.089 	0.066 	0.147 
013414 	0.644 	0.088 	0.066 	0.157 
013415 	0.644 	0.088 	0.066 	0.157 
013416 	0.644 	0.088 	0.065 	0.155 
013417 	0.643 	0.085 	0.065 	0.160 
013418 	0.641 	0.088 	0.065 	0.153 
013419 	0.641 	0.089 	0.064 	0.148 
013420 	0.637 	0.089 	0.066 	0.145 
013421 	0.639 	0.088 	0.064 	0.149 
013422 	0.639 	0.087 	0.065 	0.157 
013423 	0.640 	0.087 	0.065 	0.157 
013424 	0.639 	0.091 	0.065 	0.152 
013425 	0.639 	0.093 	0.065 	0.152 
013426 	0.637 	0.095 	0.065 	0.152 
013427 	0.636 	0.095 	0.065 	0.153 
013428 	0.634 	0.095 	0.066 	0.150 
013429 	0.635 	0.096 	0.063 	0.152 
013430 	0.633 	0.096 	0.064 	0.152 
013431 	0.629 	0.098 	0.064 	0.152 
013432 	0.621 	0.101 	0.067 	0.150 
013433 	0.611 	0.106 	0.072 	0.144 
013434 	0.604 	0.111 	0.072 	0.139 
013435 	0.598 	0.111 	0.073 	0.139 
013436 	0.592 	0.107 	0.074 	0.143 
013437 	0.589 	0.106 	0.074 	0.150 
013438 	0.589 	0.107 	0.071 	0.150 
013439 	0.589 	0.108 	0.071 	0.150 
013440 	0.589 	0.108 	0.071 	0.150 
013441 	0.590 	0.107 	0.069 	0.151 
013442 	0.590 	0.107 	0.070 	0.151 
013443 	0.591 	0.106 	0.068 	0.151 
013444 	0.593 	0.105 	0.066 	0.153 
013445 	0.593 	0.105 	0.066 	0.156 
013446 	0.592 	0.102 	0.067 	0.156 
013447 	0.592 	0.103 	0.067 	0.155 
013448 	0.593 	0.103 	0.067 	0.159 
013449 	0.594 	0.105 	0.067 	0.156 
013450 	0.593 	0.105 	0.067 	0.155 
013451 	0.593 	0.104 	0.067 	0.154 
013452 	0.592 	0.105 	0.066 	0.151 
013453 	0.592 	0.106 	0.067 	0.152 
013454 	0.592 	0.104 	0.066 	0.157 
013455 	0.592 	0.105 	0.065 	0.154 
013456 	0.593 	0.106 	0.063 	0.151 
013457 	0.592 	0.107 	0.064 	0.151 
013458 	0.592 	0.108 	0.064 	0.148 
013459 	0.592 	0.105 	0.065 	0.151 
013460 	0.591 	0.106 	0.065 	0.150 
013461 	0.592 	0.105 	0.066 	0.151 
013462 	0.592 	0.104 	0.066 	0.152 
013463 	0.593 	0.106 	0.064 	0.150 
013464 	0.594 	0.104 	0.066 	0.156 
013465 	0.594 	0.104 	0.066 	0.156 
013466 	0.594 	0.107 	0.064 	0.155 
013467 	0.595 	0.113 	0.060 	0.149 
013468 	0.595 	0.121 	0.062 	0.146 
013469 	0.593 	0.134 	0.060 	0.138 
013470 	0.595 	0.143 	0.059 	0.137 
013471 	0.594 	0.160 	0.060 	0.132 
013472 	0.593 	0.170 	0.062 	0.130 
013473 	0.593 	0.178 	0.061 	0.133 
013474 	0.591 	0.180 	0.063 	0.134 
013475 	0.591 	0.174 	0.061 	0.135 
013476 	0.587 	0.169 	0.064 	0.138 
013477 	0.585 	0.160 	0.062 	0.146 
013478 	0.582 	0.156 	0.063 	0.145 
013479 	0.581 	0.150 	0.061 	0.149 
013480 	0.579 	0.142 	0.061 	0.152 
013481 	0.576 	0.136 	0.061 	0.157 
013482 	0.573 	0.135 	0.061 	0.152 
013483 	0.570 	0.126 	0.060 	0.158 
013484 	0.568 	0.120 	0.059 	0.158 
013485 	0.567 	0.110 	0.059 	0.163 
013486 	0.567 	0.105 	0.058 	0.163 
013487 	0.566 	0.105 	0.058 	0.161 
013488 	0.566 	0.108 	0.060 	0.151 
013489 	0.567 	0.107 	0.060 	0.148 
013490 	0.567 	0.107 	0.060 	0.148 
013491 	0.566 	0.102 	0.062 	0.153 
013492 	0.567 	0.100 	0.062 	0.151 
013493 	0.568 	0.095 	0.063 	0.155 
013494 	0.570 	0.093 	0.062 	0.158 
013495 	0.569 	0.091 	0.063 	0.162 
013496 	0.570 	0.090 	0.064 	0.161 
013497 	0.571 	0.088 	0.066 	0.160 
013498 	0.571 	0.088 	0.064 	0.154 
013499 	0.573 	0.085 	0.064 	0.154 
013500 	0.575 	0.084 	0.064 	0.155 
013501 	0.577 	0.086 	0.063 	0.152 
013502 	0.578 	0.086 	0.063 	0.151 
013503 	0.578 	0.084 	0.063 	0.148 
013504 	0.578 	0.082 	0.063 	0.152 
013505 	0.579 	0.082 	0.065 	0.149 
013506 	0.580 	0.083 	0.064 	0.150 
013507 	0.580 	0.082 	0.066 	0.150 
013508 	0.582 	0.083 	0.063 	0.147 
013509 	0.580 	0.083 	0.064 	0.146 
013510 	0.583 	0.082 	0.062 	0.146 
013511 	0.582 	0.082 	0.060 	0.144 
013512 	0.582 	0.082 	0.057 	0.156 
013513 	0.582 	0.081 	0.054 	0.156 
013514 	0.582 	0.083 	0.053 	0.152 
013515 	0.582 	0.083 	0.053 	0.152 
013516 	0.580 	0.085 	0.052 	0.143 
013517 	0.580 	0.083 	0.054 	0.143 
013518 	0.579 	0.081 	0.057 	0.152 
013519 	0.579 	0.079 	0.058 	0.156 
013520 	0.581 	0.083 	0.054 	0.151 
013521 	0.582 	0.087 	0.052 	0.143 
013522 	0.581 	0.086 	0.054 	0.149 
013523 	0.581 	0.090 	0.054 	0.153 
013524 	0.581 	0.087 	0.053 	0.158 
013525 	0.581 	0.086 	0.053 	0.155 
013526 	0.581 	0.085 	0.053 	0.156 
013527 	0.581 	0.085 	0.054 	0.157 
013528 	0.580 	0.086 	0.053 	0.157 
013529 	0.580 	0.090 	0.055 	0.160 
013530 	0.579 	0.089 	0.056 	0.158 
013531 	0.579 	0.091 	0.056 	0.153 
013532 	0.579 	0.093 	0.055 	0.150 
013533 	0.578 	0.093 	0.056 	0.151 
013534 	0.578 	0.092 	0.056 	0.153 
013535 	0.576 	0.088 	0.060 	0.162 
013536 	0.576 	0.089 	0.059 	0.162 
013537 	0.576 	0.090 	0.058 	0.159 
013538 	0.576 	0.091 	0.059 	0.159 
013539 	0.577 	0.089 	0.057 	0.159 
013540 	0.577 	0.089 	0.057 	0.159 
013541 	0.576 	0.087 	0.059 	0.158 
013542 	0.577 	0.087 	0.057 	0.156 
013543 	0.579 	0.086 	0.060 	0.159 
013544 	0.580 	0.092 	0.062 	0.155 
013545 	0.582 	0.095 	0.061 	0.153 
013546 	0.581 	0.094 	0.064 	0.155 
013547 	0.582 	0.094 	0.063 	0.157 
013548 	0.581 	0.094 	0.066 	0.159 
013549 	0.582 	0.096 	0.066 	0.155 
013550 	0.581 	0.097 	0.067 	0.151 
013551 	0.581 	0.095 	0.065 	0.153 
013552 	0.581 	0.094 	0.064 	0.157 
013553 	0.580 	0.094 	0.064 	0.158 
013554 	0.580 	0.095 	0.064 	0.160 
013555 	0.580 	0.097 	0.064 	0.163 
013556 	0.580 	0.098 	0.065 	0.160 
013557 	0.579 	0.098 	0.066 	0.160 
013558 	0.580 	0.099 	0.065 	0.159 
013559 	0.581 	0.099 	0.064 	0.162 
013560 	0.581 	0.103 	0.066 	0.158 
013561 	0.583 	0.109 	0.062 	0.155 
013562 	0.584 	0.111 	0.062 	0.154 
013563 	0.585 	0.113 	0.060 	0.150 
013564 	0.585 	0.113 	0.062 	0.154 
013565 	0.585 	0.113 	0.062 	0.154 
013566 	0.584 	0.113 	0.062 	0.154 
