Text:  AND TEACHING NINE YEAR OLDS TO MFA CANDIDATES 
Conf:  4
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
013799 	0.607 	0.093 	0.066 	0.159 
013800 	0.605 	0.089 	0.064 	0.162 
013801 	0.600 	0.089 	0.066 	0.158 
013802 	0.596 	0.088 	0.067 	0.156 
013803 	0.589 	0.093 	0.069 	0.156 
013804 	0.582 	0.101 	0.069 	0.148 
013805 	0.576 	0.105 	0.067 	0.149 
013806 	0.569 	0.105 	0.066 	0.146 
013807 	0.563 	0.104 	0.067 	0.149 
013808 	0.554 	0.106 	0.068 	0.148 
013809 	0.551 	0.107 	0.062 	0.149 
013810 	0.543 	0.105 	0.064 	0.151 
013811 	0.535 	0.100 	0.065 	0.157 
013812 	0.530 	0.104 	0.058 	0.156 
013813 	0.521 	0.099 	0.063 	0.158 
013814 	0.515 	0.102 	0.061 	0.153 
013815 	0.515 	0.102 	0.061 	0.153 
013816 	0.508 	0.097 	0.063 	0.157 
013817 	0.502 	0.105 	0.059 	0.153 
013818 	0.498 	0.098 	0.056 	0.154 
013819 	0.493 	0.094 	0.056 	0.155 
013820 	0.489 	0.090 	0.059 	0.156 
013821 	0.483 	0.085 	0.059 	0.161 
013822 	0.478 	0.087 	0.055 	0.159 
013823 	0.476 	0.083 	0.055 	0.161 
013824 	0.472 	0.080 	0.058 	0.163 
013825 	0.470 	0.081 	0.057 	0.161 
013826 	0.466 	0.083 	0.054 	0.154 
013827 	0.460 	0.087 	0.056 	0.145 
013828 	0.457 	0.083 	0.060 	0.156 
013829 	0.451 	0.095 	0.055 	0.151 
013830 	0.444 	0.106 	0.055 	0.139 
013831 	0.434 	0.110 	0.059 	0.156 
013832 	0.427 	0.123 	0.059 	0.143 
013833 	0.421 	0.129 	0.056 	0.143 
013834 	0.414 	0.134 	0.058 	0.140 
013835 	0.405 	0.139 	0.058 	0.138 
013836 	0.398 	0.136 	0.066 	0.150 
013837 	0.395 	0.133 	0.050 	0.148 
013838 	0.392 	0.132 	0.052 	0.152 
013839 	0.388 	0.135 	0.054 	0.151 
013840 	0.388 	0.135 	0.054 	0.151 
013841 	0.382 	0.133 	0.056 	0.150 
013842 	0.381 	0.127 	0.051 	0.157 
013843 	0.380 	0.117 	0.053 	0.161 
013844 	0.381 	0.107 	0.056 	0.165 
013845 	0.387 	0.104 	0.051 	0.150 
013846 	0.393 	0.099 	0.047 	0.148 
013847 	0.397 	0.089 	0.049 	0.157 
013848 	0.400 	0.086 	0.058 	0.150 
013849 	0.411 	0.084 	0.053 	0.147 
013850 	0.417 	0.083 	0.056 	0.147 
013851 	0.421 	0.083 	0.057 	0.148 
013852 	0.425 	0.085 	0.057 	0.144 
013853 	0.431 	0.083 	0.061 	0.152 
013854 	0.435 	0.080 	0.062 	0.154 
013855 	0.438 	0.084 	0.062 	0.146 
013856 	0.442 	0.083 	0.061 	0.146 
013857 	0.443 	0.081 	0.061 	0.154 
013858 	0.444 	0.081 	0.062 	0.164 
013859 	0.445 	0.080 	0.063 	0.172 
013860 	0.447 	0.082 	0.062 	0.170 
013861 	0.447 	0.083 	0.061 	0.161 
013862 	0.448 	0.082 	0.057 	0.153 
013863 	0.445 	0.079 	0.060 	0.162 
013864 	0.443 	0.081 	0.059 	0.160 
013865 	0.443 	0.081 	0.059 	0.160 
013866 	0.433 	0.075 	0.069 	0.200 
013867 	0.435 	0.081 	0.061 	0.180 
013868 	0.437 	0.086 	0.053 	0.159 
013869 	0.433 	0.088 	0.055 	0.160 
013870 	0.432 	0.090 	0.054 	0.160 
013871 	0.432 	0.091 	0.053 	0.161 
013872 	0.431 	0.097 	0.051 	0.153 
013873 	0.436 	0.105 	0.053 	0.151 
013874 	0.441 	0.109 	0.056 	0.149 
013875 	0.445 	0.109 	0.060 	0.153 
013876 	0.447 	0.108 	0.064 	0.149 
013877 	0.450 	0.104 	0.068 	0.150 
013878 	0.455 	0.105 	0.069 	0.150 
013879 	0.459 	0.103 	0.070 	0.152 
013880 	0.462 	0.102 	0.070 	0.155 
013881 	0.465 	0.101 	0.069 	0.156 
013882 	0.467 	0.097 	0.070 	0.159 
013883 	0.468 	0.096 	0.069 	0.158 
013884 	0.469 	0.095 	0.067 	0.158 
013885 	0.471 	0.094 	0.066 	0.156 
013886 	0.471 	0.093 	0.067 	0.154 
013887 	0.472 	0.091 	0.066 	0.156 
013888 	0.471 	0.090 	0.066 	0.157 
013889 	0.471 	0.088 	0.067 	0.156 
013890 	0.471 	0.088 	0.067 	0.156 
013891 	0.470 	0.089 	0.067 	0.156 
013892 	0.469 	0.088 	0.067 	0.155 
013893 	0.468 	0.087 	0.069 	0.159 
013894 	0.468 	0.087 	0.069 	0.164 

WORD START END ASDSCORE
AND 0.09 0.26 5.5
TEACHING 0.26 0.87 5.8
NINE 1.21 1.49 4.9
YEAR 1.49 1.69 5.1
OLDS 1.69 2.10 2.1
TO 2.10 2.48 4.1
MFA 2.60 2.95 5.9
CANDIDATES 2.95 3.73 7.8
