Text:  IT TURNS OUT SOMETIMES POETRY CAN BE REALLY SCARY 
Conf:  1
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
014203 	0.489 	0.118 	0.174 	0.424 
014204 	0.488 	0.128 	0.178 	0.423 
014205 	0.483 	0.136 	0.175 	0.416 
014206 	0.477 	0.146 	0.172 	0.416 
014207 	0.466 	0.154 	0.174 	0.415 
014208 	0.459 	0.156 	0.170 	0.425 
014209 	0.450 	0.161 	0.169 	0.428 
014210 	0.437 	0.175 	0.174 	0.422 
014211 	0.424 	0.193 	0.171 	0.408 
014212 	0.405 	0.201 	0.174 	0.409 
014213 	0.390 	0.195 	0.176 	0.420 
014214 	0.377 	0.206 	0.175 	0.408 
014215 	0.377 	0.206 	0.175 	0.408 
014216 	0.367 	0.209 	0.170 	0.409 
014217 	0.351 	0.213 	0.167 	0.399 
014218 	0.342 	0.220 	0.170 	0.396 
014219 	0.327 	0.220 	0.172 	0.396 
014220 	0.320 	0.215 	0.169 	0.401 
014221 	0.308 	0.213 	0.170 	0.407 
014222 	0.300 	0.206 	0.166 	0.417 
014223 	0.292 	0.208 	0.169 	0.412 
014224 	0.287 	0.211 	0.170 	0.406 
014225 	0.280 	0.213 	0.175 	0.406 
014226 	0.276 	0.210 	0.173 	0.406 
014227 	0.273 	0.213 	0.172 	0.408 
014228 	0.274 	0.218 	0.168 	0.416 
014229 	0.274 	0.232 	0.166 	0.398 
014230 	0.273 	0.239 	0.166 	0.395 
014231 	0.271 	0.243 	0.168 	0.394 
014232 	0.271 	0.237 	0.167 	0.406 
014233 	0.270 	0.232 	0.166 	0.416 
014234 	0.269 	0.226 	0.166 	0.419 
014235 	0.271 	0.222 	0.166 	0.423 
014236 	0.268 	0.223 	0.171 	0.406 
014237 	0.267 	0.221 	0.173 	0.399 
014238 	0.271 	0.207 	0.174 	0.405 
014239 	0.271 	0.181 	0.179 	0.430 
014240 	0.271 	0.181 	0.179 	0.430 
014241 	0.275 	0.166 	0.179 	0.435 
014242 	0.278 	0.147 	0.175 	0.440 
014243 	0.280 	0.139 	0.175 	0.434 
014244 	0.282 	0.131 	0.174 	0.428 
014245 	0.284 	0.127 	0.174 	0.429 
014246 	0.287 	0.121 	0.176 	0.434 
014247 	0.290 	0.116 	0.175 	0.436 
014248 	0.294 	0.110 	0.175 	0.439 
014249 	0.296 	0.107 	0.176 	0.441 
014250 	0.300 	0.108 	0.174 	0.441 
014251 	0.301 	0.105 	0.177 	0.443 
014252 	0.302 	0.107 	0.175 	0.449 
014253 	0.301 	0.108 	0.174 	0.450 
014254 	0.296 	0.113 	0.176 	0.433 
014255 	0.284 	0.117 	0.180 	0.424 
014256 	0.279 	0.109 	0.177 	0.423 
014257 	0.283 	0.120 	0.170 	0.421 
014258 	0.280 	0.111 	0.167 	0.437 
014259 	0.278 	0.110 	0.166 	0.442 
014260 	0.279 	0.109 	0.164 	0.447 
014261 	0.278 	0.113 	0.165 	0.436 
014262 	0.278 	0.116 	0.165 	0.434 
014263 	0.277 	0.118 	0.166 	0.436 
014264 	0.276 	0.119 	0.165 	0.438 
014265 	0.276 	0.119 	0.165 	0.438 
014266 	0.277 	0.127 	0.167 	0.417 
014267 	0.279 	0.132 	0.164 	0.402 
014268 	0.278 	0.136 	0.165 	0.406 
014269 	0.278 	0.135 	0.166 	0.421 
014270 	0.276 	0.128 	0.164 	0.425 
014271 	0.277 	0.116 	0.162 	0.430 
014272 	0.277 	0.107 	0.164 	0.436 
014273 	0.280 	0.119 	0.166 	0.426 
014274 	0.288 	0.137 	0.167 	0.422 
014275 	0.290 	0.148 	0.173 	0.437 
014276 	0.288 	0.180 	0.172 	0.439 
014277 	0.277 	0.205 	0.175 	0.445 
014278 	0.282 	0.219 	0.164 	0.434 
014279 	0.282 	0.213 	0.155 	0.435 
014280 	0.280 	0.190 	0.157 	0.432 
014281 	0.280 	0.171 	0.154 	0.426 
014282 	0.276 	0.161 	0.157 	0.431 
014283 	0.271 	0.169 	0.156 	0.433 
014284 	0.264 	0.181 	0.156 	0.437 
014285 	0.262 	0.185 	0.158 	0.434 
014286 	0.262 	0.187 	0.160 	0.429 
014287 	0.260 	0.183 	0.159 	0.430 
014288 	0.257 	0.185 	0.162 	0.418 
014289 	0.256 	0.185 	0.163 	0.419 
014290 	0.256 	0.185 	0.163 	0.419 
014291 	0.253 	0.183 	0.163 	0.420 
014292 	0.253 	0.183 	0.163 	0.415 
014293 	0.253 	0.180 	0.164 	0.416 

WORD START END ASDSCORE
IT 0.06 0.12 0.9
TURNS 0.50 0.78 4.7
OUT 0.78 1.00 8.6
SOMETIMES 1.00 1.64 11.1
POETRY 2.02 2.35 6.7
CAN 2.35 2.49 7.5
BE 2.49 2.63 7.4
REALLY 2.63 2.89 8.4
SCARY 2.89 3.53 6.4
