Text:  HAS THE EXACT SAME THING OR ONE THING VERY SIMILAR TO SOMETHING ON YOUR LIST 
Conf:  5
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
014825 	0.140 	0.133 	0.083 	0.202 
014826 	0.131 	0.121 	0.093 	0.227 
014827 	0.135 	0.124 	0.092 	0.226 
014828 	0.137 	0.124 	0.093 	0.225 
014829 	0.148 	0.135 	0.084 	0.202 
014830 	0.147 	0.134 	0.086 	0.201 
014831 	0.147 	0.133 	0.087 	0.200 
014832 	0.142 	0.133 	0.096 	0.201 
014833 	0.149 	0.134 	0.089 	0.197 
014834 	0.149 	0.134 	0.088 	0.197 
014835 	0.150 	0.132 	0.087 	0.198 
014836 	0.151 	0.132 	0.086 	0.197 
014837 	0.151 	0.131 	0.087 	0.198 
014838 	0.151 	0.131 	0.086 	0.200 
014839 	0.151 	0.130 	0.086 	0.203 
014840 	0.151 	0.130 	0.086 	0.203 
014841 	0.151 	0.129 	0.086 	0.206 
014842 	0.152 	0.127 	0.086 	0.207 
014843 	0.152 	0.129 	0.087 	0.201 
014844 	0.153 	0.129 	0.086 	0.201 
014845 	0.153 	0.129 	0.086 	0.201 
014846 	0.155 	0.132 	0.084 	0.196 
014847 	0.155 	0.133 	0.084 	0.196 
014848 	0.156 	0.134 	0.085 	0.195 
014849 	0.156 	0.135 	0.085 	0.193 
014850 	0.157 	0.136 	0.084 	0.192 
014851 	0.158 	0.136 	0.083 	0.190 
014852 	0.158 	0.136 	0.084 	0.190 
014853 	0.159 	0.137 	0.085 	0.190 
014854 	0.160 	0.138 	0.084 	0.191 
014855 	0.161 	0.138 	0.083 	0.195 
014856 	0.161 	0.138 	0.083 	0.201 
014857 	0.161 	0.138 	0.083 	0.201 
014858 	0.162 	0.137 	0.083 	0.198 
014859 	0.161 	0.138 	0.084 	0.193 
014860 	0.161 	0.137 	0.084 	0.193 
014861 	0.161 	0.137 	0.084 	0.189 
014862 	0.161 	0.138 	0.084 	0.191 
014863 	0.161 	0.138 	0.084 	0.191 
014864 	0.162 	0.138 	0.083 	0.193 
014865 	0.162 	0.138 	0.083 	0.193 
014866 	0.161 	0.136 	0.083 	0.197 
014867 	0.162 	0.135 	0.083 	0.194 
014868 	0.161 	0.135 	0.084 	0.193 
014869 	0.162 	0.134 	0.084 	0.195 
014870 	0.162 	0.135 	0.084 	0.194 
014871 	0.164 	0.136 	0.084 	0.198 
014872 	0.164 	0.136 	0.084 	0.198 
014873 	0.164 	0.136 	0.083 	0.199 
014874 	0.164 	0.136 	0.084 	0.200 
014875 	0.164 	0.136 	0.084 	0.200 
014876 	0.164 	0.135 	0.084 	0.199 
014877 	0.166 	0.134 	0.083 	0.199 
014878 	0.165 	0.135 	0.083 	0.199 
014879 	0.166 	0.135 	0.083 	0.198 
014880 	0.167 	0.137 	0.083 	0.196 
014881 	0.167 	0.136 	0.083 	0.199 
014882 	0.168 	0.136 	0.082 	0.199 
014883 	0.169 	0.135 	0.082 	0.204 
014884 	0.170 	0.135 	0.082 	0.203 
014885 	0.171 	0.134 	0.081 	0.201 
014886 	0.174 	0.135 	0.084 	0.195 
014887 	0.174 	0.134 	0.084 	0.195 
014888 	0.176 	0.135 	0.082 	0.198 
014889 	0.177 	0.132 	0.082 	0.202 
014890 	0.177 	0.132 	0.082 	0.202 
014891 	0.178 	0.133 	0.083 	0.200 
014892 	0.178 	0.133 	0.083 	0.201 
014893 	0.179 	0.134 	0.083 	0.191 
014894 	0.180 	0.134 	0.083 	0.191 
014895 	0.181 	0.138 	0.083 	0.188 
014896 	0.182 	0.137 	0.083 	0.189 
014897 	0.184 	0.138 	0.082 	0.190 
014898 	0.185 	0.139 	0.081 	0.190 
014899 	0.185 	0.142 	0.082 	0.187 
014900 	0.187 	0.142 	0.082 	0.185 
014901 	0.190 	0.143 	0.084 	0.186 
014902 	0.192 	0.142 	0.084 	0.189 
014903 	0.194 	0.144 	0.087 	0.189 
014904 	0.195 	0.147 	0.087 	0.187 
014905 	0.205 	0.150 	0.080 	0.192 
014906 	0.208 	0.154 	0.079 	0.191 
014907 	0.215 	0.159 	0.076 	0.185 
014908 	0.218 	0.163 	0.076 	0.182 
014909 	0.221 	0.168 	0.075 	0.186 
014910 	0.222 	0.170 	0.075 	0.183 
014911 	0.223 	0.171 	0.076 	0.181 
014912 	0.225 	0.171 	0.075 	0.181 
014913 	0.225 	0.172 	0.076 	0.179 
014914 	0.225 	0.171 	0.076 	0.181 
014915 	0.225 	0.171 	0.076 	0.181 
014916 	0.225 	0.169 	0.076 	0.181 
014917 	0.224 	0.169 	0.075 	0.181 
014918 	0.225 	0.167 	0.074 	0.186 
014919 	0.223 	0.166 	0.074 	0.187 
014920 	0.223 	0.164 	0.074 	0.187 
014921 	0.223 	0.162 	0.074 	0.190 
014922 	0.221 	0.160 	0.074 	0.188 
014923 	0.221 	0.156 	0.072 	0.190 
014924 	0.219 	0.156 	0.075 	0.185 
014925 	0.219 	0.155 	0.075 	0.185 
014926 	0.218 	0.153 	0.076 	0.191 
014927 	0.218 	0.152 	0.075 	0.191 
014928 	0.217 	0.152 	0.077 	0.191 
014929 	0.217 	0.153 	0.078 	0.190 
014930 	0.219 	0.156 	0.077 	0.189 
014931 	0.220 	0.157 	0.078 	0.188 
014932 	0.221 	0.158 	0.078 	0.184 
014933 	0.221 	0.160 	0.079 	0.184 
014934 	0.222 	0.163 	0.078 	0.184 
014935 	0.226 	0.161 	0.076 	0.187 
014936 	0.232 	0.160 	0.074 	0.187 
014937 	0.234 	0.157 	0.076 	0.177 
014938 	0.234 	0.158 	0.077 	0.188 
014939 	0.237 	0.158 	0.075 	0.190 
014940 	0.237 	0.158 	0.075 	0.190 
014941 	0.238 	0.158 	0.076 	0.189 
014942 	0.241 	0.160 	0.074 	0.185 
014943 	0.242 	0.160 	0.074 	0.187 
014944 	0.244 	0.162 	0.074 	0.182 
014945 	0.244 	0.162 	0.074 	0.184 
014946 	0.245 	0.165 	0.074 	0.185 
014947 	0.244 	0.165 	0.074 	0.184 
014948 	0.243 	0.166 	0.075 	0.190 
014949 	0.244 	0.167 	0.074 	0.192 
014950 	0.241 	0.167 	0.075 	0.193 
014951 	0.242 	0.167 	0.074 	0.192 
014952 	0.242 	0.167 	0.075 	0.191 
014953 	0.242 	0.166 	0.075 	0.189 
014954 	0.244 	0.165 	0.075 	0.185 
014955 	0.245 	0.158 	0.076 	0.185 
014956 	0.248 	0.158 	0.073 	0.184 
014957 	0.250 	0.158 	0.072 	0.185 
014958 	0.251 	0.159 	0.070 	0.188 
014959 	0.253 	0.160 	0.069 	0.186 
014960 	0.253 	0.161 	0.068 	0.185 
014961 	0.254 	0.159 	0.067 	0.190 

WORD START END ASDSCORE
HAS 0.09 0.58 9.3
THE 0.78 1.02 7.6
EXACT 1.02 1.53 11.7
SAME 1.53 1.85 8.2
THING 1.85 2.33 7.3
OR 2.40 2.61 5.5
ONE 2.61 2.83 7.4
THING 2.83 3.11 10.2
VERY 3.11 3.52 10.4
SIMILAR 3.52 4.05 6.4
TO 4.05 4.17 4.5
SOMETHING 4.17 4.55 6.8
ON 4.55 4.70 8.0
YOUR 4.70 4.98 6.9
LIST 4.98 5.35 7.2
