Text:  ELSE HAS SOMETHING THE COMPLETE OPPOSITE OF YOURS THIRD SOMEONE HAS SOMETHING YOU'VE NEVER EVEN HEARD OF BEFORE FOURTH SOMEONE HAS SOMETHING YOU THOUGHT YOU KNEW EVERYTHING ABOUT BUT THEY'RE INTRODUCING A NEW ANGLE OF LOOKING AT IT AND I TELL 
Conf:  2
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
014979 	0.301 	0.139 	0.156 	0.450 
014980 	0.288 	0.134 	0.162 	0.453 
014981 	0.281 	0.138 	0.170 	0.453 
014982 	0.272 	0.147 	0.172 	0.442 
014983 	0.268 	0.149 	0.177 	0.432 
014984 	0.273 	0.163 	0.170 	0.412 
014985 	0.272 	0.165 	0.170 	0.416 
014986 	0.271 	0.164 	0.170 	0.419 
014987 	0.264 	0.155 	0.178 	0.432 
014988 	0.264 	0.155 	0.176 	0.445 
014989 	0.264 	0.155 	0.176 	0.447 
014990 	0.264 	0.155 	0.176 	0.447 
014991 	0.265 	0.155 	0.173 	0.452 
014992 	0.266 	0.155 	0.173 	0.462 
014993 	0.268 	0.152 	0.173 	0.461 
014994 	0.271 	0.151 	0.176 	0.448 
014995 	0.281 	0.151 	0.177 	0.431 
014996 	0.293 	0.157 	0.171 	0.413 
014997 	0.311 	0.159 	0.164 	0.408 
014998 	0.326 	0.161 	0.156 	0.403 
014999 	0.336 	0.154 	0.152 	0.400 
015000 	0.345 	0.143 	0.148 	0.400 
015001 	0.354 	0.145 	0.147 	0.398 
015002 	0.362 	0.143 	0.140 	0.392 
015003 	0.368 	0.142 	0.137 	0.392 
015004 	0.371 	0.141 	0.137 	0.404 
015005 	0.373 	0.141 	0.137 	0.399 
015006 	0.376 	0.144 	0.137 	0.389 
015007 	0.380 	0.146 	0.135 	0.376 
015008 	0.383 	0.147 	0.132 	0.368 
015009 	0.385 	0.143 	0.133 	0.371 
015010 	0.387 	0.141 	0.132 	0.364 
015011 	0.389 	0.143 	0.135 	0.368 
015012 	0.396 	0.136 	0.136 	0.373 
015013 	0.402 	0.128 	0.135 	0.381 
015014 	0.411 	0.138 	0.130 	0.372 
015015 	0.411 	0.138 	0.130 	0.372 
015016 	0.420 	0.133 	0.129 	0.379 
015017 	0.428 	0.133 	0.124 	0.379 
015018 	0.430 	0.134 	0.127 	0.375 
015019 	0.441 	0.134 	0.130 	0.368 
015020 	0.448 	0.139 	0.139 	0.358 
015021 	0.464 	0.151 	0.131 	0.337 
015022 	0.483 	0.163 	0.125 	0.323 
015023 	0.503 	0.178 	0.123 	0.324 
015024 	0.510 	0.172 	0.131 	0.324 
015025 	0.517 	0.171 	0.129 	0.329 
015026 	0.525 	0.172 	0.133 	0.340 
015027 	0.536 	0.180 	0.136 	0.336 
015028 	0.548 	0.182 	0.138 	0.329 
015029 	0.562 	0.183 	0.136 	0.332 
015030 	0.578 	0.188 	0.128 	0.330 
015031 	0.583 	0.192 	0.128 	0.334 
015032 	0.586 	0.188 	0.129 	0.339 
015033 	0.591 	0.187 	0.129 	0.343 
015034 	0.593 	0.189 	0.128 	0.348 
015035 	0.599 	0.188 	0.128 	0.361 
015036 	0.605 	0.187 	0.130 	0.363 
015037 	0.610 	0.188 	0.130 	0.364 
015038 	0.613 	0.194 	0.129 	0.364 
015039 	0.617 	0.196 	0.127 	0.366 
015040 	0.617 	0.196 	0.127 	0.366 
015041 	0.619 	0.206 	0.126 	0.365 
015042 	0.614 	0.209 	0.130 	0.369 
015043 	0.609 	0.202 	0.137 	0.377 
015044 	0.594 	0.204 	0.145 	0.376 
015045 	0.582 	0.189 	0.154 	0.385 
015046 	0.565 	0.178 	0.167 	0.393 
015047 	0.554 	0.166 	0.172 	0.403 
015048 	0.548 	0.153 	0.172 	0.400 
015049 	0.539 	0.140 	0.172 	0.388 
015050 	0.530 	0.119 	0.173 	0.402 
015051 	0.522 	0.108 	0.177 	0.406 
015052 	0.521 	0.108 	0.173 	0.420 
015053 	0.523 	0.102 	0.172 	0.460 
015054 	0.528 	0.104 	0.171 	0.480 
015055 	0.533 	0.121 	0.169 	0.474 
015056 	0.535 	0.141 	0.172 	0.464 
015057 	0.539 	0.174 	0.169 	0.423 
015058 	0.537 	0.190 	0.169 	0.422 
015059 	0.535 	0.207 	0.171 	0.413 
015060 	0.531 	0.212 	0.171 	0.422 
015061 	0.528 	0.212 	0.169 	0.431 
015062 	0.520 	0.214 	0.169 	0.421 
015063 	0.512 	0.211 	0.171 	0.414 
015064 	0.508 	0.210 	0.170 	0.417 
015065 	0.508 	0.210 	0.170 	0.417 
015066 	0.504 	0.211 	0.170 	0.415 
015067 	0.497 	0.195 	0.172 	0.438 
015068 	0.498 	0.212 	0.168 	0.421 
015069 	0.492 	0.206 	0.171 	0.424 
015070 	0.488 	0.203 	0.169 	0.426 
015071 	0.484 	0.201 	0.170 	0.428 
015072 	0.479 	0.201 	0.170 	0.424 
015073 	0.475 	0.198 	0.171 	0.426 
015074 	0.472 	0.196 	0.171 	0.424 
015075 	0.471 	0.194 	0.173 	0.424 
015076 	0.469 	0.190 	0.171 	0.430 
015077 	0.467 	0.188 	0.170 	0.429 
015078 	0.467 	0.188 	0.169 	0.430 
015079 	0.465 	0.187 	0.169 	0.431 
015080 	0.463 	0.188 	0.169 	0.430 
015081 	0.462 	0.184 	0.170 	0.435 
015082 	0.462 	0.181 	0.170 	0.431 
015083 	0.466 	0.169 	0.167 	0.438 
015084 	0.472 	0.166 	0.168 	0.436 
015085 	0.477 	0.161 	0.166 	0.439 
015086 	0.483 	0.161 	0.163 	0.425 
015087 	0.479 	0.159 	0.166 	0.421 
015088 	0.476 	0.152 	0.167 	0.423 
015089 	0.475 	0.141 	0.163 	0.424 
015090 	0.475 	0.141 	0.163 	0.424 
015091 	0.469 	0.131 	0.162 	0.433 
015092 	0.459 	0.122 	0.170 	0.450 
015093 	0.458 	0.116 	0.168 	0.440 
015094 	0.458 	0.108 	0.168 	0.426 
015095 	0.455 	0.104 	0.170 	0.403 
015096 	0.461 	0.098 	0.168 	0.402 
015097 	0.460 	0.091 	0.172 	0.404 
015098 	0.460 	0.089 	0.173 	0.422 
015099 	0.460 	0.088 	0.172 	0.447 
015100 	0.458 	0.098 	0.174 	0.431 
015101 	0.456 	0.104 	0.174 	0.420 
015102 	0.457 	0.112 	0.172 	0.409 
015103 	0.462 	0.119 	0.172 	0.411 
015104 	0.463 	0.122 	0.174 	0.419 
015105 	0.463 	0.119 	0.174 	0.420 
015106 	0.462 	0.113 	0.174 	0.423 
015107 	0.457 	0.121 	0.177 	0.422 
015108 	0.452 	0.124 	0.177 	0.427 
015109 	0.452 	0.124 	0.173 	0.434 
015110 	0.457 	0.115 	0.165 	0.457 
015111 	0.458 	0.107 	0.164 	0.460 
015112 	0.459 	0.105 	0.164 	0.444 
015113 	0.459 	0.105 	0.166 	0.428 
015114 	0.456 	0.106 	0.167 	0.414 
015115 	0.456 	0.106 	0.167 	0.414 
015116 	0.453 	0.107 	0.165 	0.404 
015117 	0.444 	0.102 	0.172 	0.399 
015118 	0.437 	0.106 	0.178 	0.386 
015119 	0.438 	0.108 	0.178 	0.398 
015120 	0.444 	0.119 	0.175 	0.409 
015121 	0.443 	0.121 	0.176 	0.413 
015122 	0.447 	0.119 	0.174 	0.420 
015123 	0.453 	0.118 	0.173 	0.419 
015124 	0.456 	0.123 	0.169 	0.416 
015125 	0.458 	0.129 	0.170 	0.414 
015126 	0.458 	0.132 	0.171 	0.420 
015127 	0.457 	0.136 	0.171 	0.417 
015128 	0.462 	0.143 	0.169 	0.414 
015129 	0.463 	0.151 	0.169 	0.409 
015130 	0.466 	0.158 	0.165 	0.411 
015131 	0.463 	0.163 	0.163 	0.411 
015132 	0.464 	0.161 	0.163 	0.411 
015133 	0.464 	0.160 	0.165 	0.416 
015134 	0.462 	0.160 	0.166 	0.421 
015135 	0.461 	0.161 	0.168 	0.424 
015136 	0.461 	0.165 	0.166 	0.427 
015137 	0.464 	0.176 	0.167 	0.417 
015138 	0.469 	0.185 	0.167 	0.412 
015139 	0.469 	0.195 	0.167 	0.406 
015140 	0.469 	0.195 	0.167 	0.406 
015141 	0.466 	0.204 	0.170 	0.403 
015142 	0.464 	0.218 	0.170 	0.388 
015143 	0.464 	0.236 	0.170 	0.387 
015144 	0.465 	0.248 	0.163 	0.392 
015145 	0.459 	0.258 	0.167 	0.384 
015146 	0.457 	0.258 	0.168 	0.387 
015147 	0.458 	0.258 	0.168 	0.385 
015148 	0.460 	0.256 	0.166 	0.388 
015149 	0.460 	0.253 	0.166 	0.389 
015150 	0.463 	0.244 	0.163 	0.396 
015151 	0.465 	0.231 	0.162 	0.414 
015152 	0.474 	0.215 	0.160 	0.421 
015153 	0.484 	0.212 	0.157 	0.425 
015154 	0.486 	0.208 	0.158 	0.426 
015155 	0.491 	0.198 	0.159 	0.427 
015156 	0.495 	0.188 	0.156 	0.432 
015157 	0.498 	0.180 	0.155 	0.439 
015158 	0.499 	0.176 	0.154 	0.444 
015159 	0.500 	0.172 	0.155 	0.447 
015160 	0.500 	0.168 	0.154 	0.454 
015161 	0.500 	0.160 	0.153 	0.459 
015162 	0.503 	0.149 	0.147 	0.450 
015163 	0.502 	0.144 	0.150 	0.454 
015164 	0.502 	0.139 	0.156 	0.436 
015165 	0.502 	0.139 	0.156 	0.436 
015166 	0.503 	0.136 	0.152 	0.416 
015167 	0.503 	0.133 	0.151 	0.417 
015168 	0.499 	0.129 	0.152 	0.413 
015169 	0.495 	0.126 	0.152 	0.406 
015170 	0.492 	0.118 	0.151 	0.414 
015171 	0.486 	0.118 	0.152 	0.410 
015172 	0.483 	0.108 	0.151 	0.419 
015173 	0.482 	0.115 	0.147 	0.406 
015174 	0.479 	0.118 	0.146 	0.395 
015175 	0.478 	0.120 	0.145 	0.389 
015176 	0.476 	0.120 	0.144 	0.392 
015177 	0.479 	0.114 	0.142 	0.391 
015178 	0.476 	0.115 	0.143 	0.385 
015179 	0.475 	0.115 	0.143 	0.389 
015180 	0.475 	0.113 	0.142 	0.393 
015181 	0.471 	0.112 	0.146 	0.393 
015182 	0.469 	0.110 	0.147 	0.404 
015183 	0.467 	0.111 	0.147 	0.407 
015184 	0.465 	0.114 	0.146 	0.404 
015185 	0.466 	0.119 	0.147 	0.397 
015186 	0.463 	0.125 	0.149 	0.384 
015187 	0.461 	0.124 	0.148 	0.389 
015188 	0.458 	0.121 	0.150 	0.399 
015189 	0.456 	0.120 	0.151 	0.405 
015190 	0.456 	0.120 	0.151 	0.405 
015191 	0.451 	0.116 	0.155 	0.405 
015192 	0.447 	0.111 	0.156 	0.411 
015193 	0.447 	0.113 	0.158 	0.410 
015194 	0.448 	0.101 	0.158 	0.430 
015195 	0.449 	0.107 	0.157 	0.428 
015196 	0.445 	0.119 	0.160 	0.429 
015197 	0.446 	0.130 	0.160 	0.415 
015198 	0.447 	0.124 	0.161 	0.419 
015199 	0.444 	0.112 	0.166 	0.412 
015200 	0.438 	0.108 	0.171 	0.419 
015201 	0.438 	0.109 	0.172 	0.408 
015202 	0.443 	0.109 	0.170 	0.414 
015203 	0.447 	0.104 	0.171 	0.439 
015204 	0.452 	0.096 	0.168 	0.439 
015205 	0.455 	0.090 	0.168 	0.443 
015206 	0.453 	0.093 	0.173 	0.430 
015207 	0.451 	0.098 	0.178 	0.418 
015208 	0.459 	0.111 	0.183 	0.396 
015209 	0.473 	0.112 	0.186 	0.390 
015210 	0.494 	0.109 	0.182 	0.385 
015211 	0.509 	0.108 	0.177 	0.392 
015212 	0.520 	0.106 	0.178 	0.402 
015213 	0.530 	0.110 	0.184 	0.386 
015214 	0.549 	0.112 	0.185 	0.392 
015215 	0.549 	0.112 	0.185 	0.392 
015216 	0.565 	0.102 	0.192 	0.443 
015217 	0.596 	0.099 	0.184 	0.441 
015218 	0.612 	0.097 	0.184 	0.439 
015219 	0.623 	0.103 	0.187 	0.432 
015220 	0.637 	0.115 	0.195 	0.407 
015221 	0.668 	0.131 	0.183 	0.396 
015222 	0.684 	0.115 	0.191 	0.432 
015223 	0.716 	0.132 	0.185 	0.425 
015224 	0.733 	0.143 	0.186 	0.441 
015225 	0.748 	0.152 	0.179 	0.447 
015226 	0.754 	0.156 	0.183 	0.453 
015227 	0.776 	0.193 	0.174 	0.408 
015228 	0.786 	0.197 	0.174 	0.419 
015229 	0.787 	0.182 	0.178 	0.457 
015230 	0.789 	0.178 	0.177 	0.462 
015231 	0.787 	0.171 	0.178 	0.465 
015232 	0.785 	0.171 	0.179 	0.459 
015233 	0.792 	0.170 	0.171 	0.429 
015234 	0.791 	0.163 	0.169 	0.433 
015235 	0.788 	0.151 	0.170 	0.435 
015236 	0.781 	0.133 	0.175 	0.464 
015237 	0.781 	0.134 	0.165 	0.453 
015238 	0.780 	0.132 	0.163 	0.440 
015239 	0.777 	0.128 	0.163 	0.447 
015240 	0.777 	0.128 	0.163 	0.447 
015241 	0.774 	0.125 	0.162 	0.440 
015242 	0.770 	0.120 	0.163 	0.442 
015243 	0.769 	0.113 	0.159 	0.450 
015244 	0.765 	0.119 	0.157 	0.435 
015245 	0.758 	0.130 	0.159 	0.423 
