Text:  STUDENTS A FRESHMAN NAMED CHARLOTTE WAS NOT CONVINCED CHARLOTTE WAS VERY GOOD AT WRITING LISTS BUT SHE REFUSED TO WRITE ANY POEMS MISS SHE'D SAY I'M JUST NOT INTERESTING I DON'T HAVE ANYTHING INTERESTING TO SAY SO I ASSIGNED HER LIST AFTER LIST AND ONE DAY I ASSIGNED THE LIST 10 THINGS I SHOULD HAVE LEARNED BY NOW NUMBER THREE ON CHARLOTTE'S LIST WAS 
Conf:  2
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
015640 	0.304 	0.120 	0.066 	0.141 
015641 	0.300 	0.119 	0.066 	0.142 
015642 	0.293 	0.114 	0.068 	0.146 
015643 	0.286 	0.108 	0.069 	0.146 
015644 	0.284 	0.101 	0.067 	0.150 
015645 	0.282 	0.095 	0.066 	0.152 
015646 	0.280 	0.093 	0.067 	0.154 
015647 	0.281 	0.091 	0.064 	0.158 
015648 	0.282 	0.091 	0.063 	0.157 
015649 	0.284 	0.090 	0.062 	0.155 
015650 	0.286 	0.087 	0.060 	0.155 
015651 	0.288 	0.083 	0.059 	0.153 
015652 	0.291 	0.080 	0.058 	0.149 
015653 	0.295 	0.078 	0.059 	0.146 
015654 	0.299 	0.079 	0.061 	0.146 
015655 	0.302 	0.079 	0.060 	0.145 
015656 	0.307 	0.076 	0.061 	0.153 
015657 	0.311 	0.074 	0.059 	0.156 
015658 	0.314 	0.074 	0.058 	0.155 
015659 	0.318 	0.074 	0.057 	0.152 
015660 	0.317 	0.076 	0.060 	0.150 
015661 	0.320 	0.082 	0.062 	0.147 
015662 	0.323 	0.086 	0.058 	0.154 
015663 	0.326 	0.092 	0.058 	0.154 
015664 	0.328 	0.095 	0.059 	0.155 
015665 	0.328 	0.095 	0.059 	0.155 
015666 	0.330 	0.098 	0.058 	0.151 
015667 	0.332 	0.099 	0.057 	0.148 
015668 	0.335 	0.102 	0.057 	0.144 
015669 	0.340 	0.103 	0.055 	0.142 
015670 	0.344 	0.105 	0.055 	0.145 
015671 	0.347 	0.106 	0.053 	0.145 
015672 	0.349 	0.105 	0.057 	0.142 
015673 	0.355 	0.108 	0.056 	0.140 
015674 	0.358 	0.108 	0.056 	0.140 
015675 	0.363 	0.109 	0.054 	0.139 
015676 	0.368 	0.107 	0.052 	0.140 
015677 	0.372 	0.102 	0.055 	0.146 
015678 	0.373 	0.095 	0.060 	0.152 
015679 	0.379 	0.096 	0.056 	0.147 
015680 	0.384 	0.091 	0.056 	0.148 
015681 	0.387 	0.090 	0.056 	0.147 
015682 	0.393 	0.091 	0.055 	0.147 
015683 	0.396 	0.095 	0.053 	0.147 
015684 	0.399 	0.102 	0.055 	0.147 
015685 	0.399 	0.108 	0.059 	0.146 
015686 	0.401 	0.110 	0.059 	0.147 
015687 	0.403 	0.110 	0.059 	0.147 
015688 	0.403 	0.109 	0.059 	0.148 
015689 	0.403 	0.109 	0.059 	0.148 
015690 	0.403 	0.109 	0.059 	0.148 
015691 	0.403 	0.108 	0.060 	0.149 
015692 	0.401 	0.107 	0.059 	0.146 
015693 	0.400 	0.104 	0.061 	0.149 
015694 	0.399 	0.103 	0.060 	0.148 
015695 	0.399 	0.101 	0.060 	0.149 
015696 	0.397 	0.099 	0.062 	0.148 
015697 	0.396 	0.098 	0.063 	0.148 
015698 	0.395 	0.093 	0.062 	0.151 
015699 	0.393 	0.092 	0.064 	0.157 
015700 	0.392 	0.094 	0.063 	0.158 
015701 	0.389 	0.097 	0.065 	0.157 
015702 	0.386 	0.101 	0.066 	0.159 
015703 	0.385 	0.104 	0.064 	0.158 
015704 	0.382 	0.103 	0.063 	0.168 
015705 	0.380 	0.106 	0.063 	0.167 
015706 	0.378 	0.111 	0.063 	0.159 
015707 	0.376 	0.116 	0.062 	0.151 
015708 	0.374 	0.116 	0.062 	0.149 
015709 	0.372 	0.115 	0.061 	0.148 
015710 	0.369 	0.115 	0.062 	0.146 
015711 	0.368 	0.113 	0.061 	0.153 
015712 	0.365 	0.112 	0.063 	0.153 
015713 	0.364 	0.114 	0.061 	0.151 
015714 	0.363 	0.116 	0.061 	0.149 
015715 	0.363 	0.116 	0.061 	0.149 
015716 	0.361 	0.118 	0.062 	0.147 
015717 	0.360 	0.118 	0.061 	0.148 
015718 	0.359 	0.119 	0.061 	0.147 
015719 	0.357 	0.120 	0.061 	0.147 
015720 	0.356 	0.120 	0.061 	0.146 
015721 	0.354 	0.119 	0.061 	0.147 
015722 	0.353 	0.119 	0.062 	0.145 
015723 	0.352 	0.120 	0.062 	0.143 
015724 	0.351 	0.121 	0.061 	0.141 
015725 	0.350 	0.118 	0.061 	0.142 
015726 	0.349 	0.116 	0.061 	0.147 
015727 	0.348 	0.112 	0.061 	0.155 
015728 	0.346 	0.111 	0.061 	0.153 
015729 	0.345 	0.110 	0.061 	0.153 
015730 	0.342 	0.105 	0.062 	0.152 
015731 	0.342 	0.100 	0.060 	0.161 
015732 	0.341 	0.098 	0.060 	0.163 
015733 	0.339 	0.092 	0.061 	0.167 
015734 	0.337 	0.093 	0.059 	0.162 
015735 	0.336 	0.088 	0.061 	0.162 
015736 	0.336 	0.084 	0.061 	0.163 
015737 	0.335 	0.081 	0.061 	0.165 
015738 	0.334 	0.079 	0.063 	0.163 
015739 	0.332 	0.076 	0.066 	0.167 
015740 	0.332 	0.076 	0.066 	0.167 
015741 	0.332 	0.079 	0.066 	0.158 
015742 	0.330 	0.081 	0.069 	0.156 
015743 	0.328 	0.085 	0.067 	0.154 
015744 	0.323 	0.090 	0.071 	0.155 
015745 	0.320 	0.102 	0.069 	0.147 
015746 	0.317 	0.107 	0.068 	0.149 
015747 	0.314 	0.109 	0.069 	0.151 
015748 	0.313 	0.111 	0.067 	0.155 
015749 	0.310 	0.104 	0.069 	0.159 
015750 	0.311 	0.099 	0.067 	0.159 
015751 	0.309 	0.090 	0.065 	0.156 
015752 	0.306 	0.085 	0.065 	0.160 
015753 	0.304 	0.082 	0.066 	0.164 
015754 	0.303 	0.083 	0.067 	0.167 
015755 	0.302 	0.089 	0.065 	0.160 
015756 	0.300 	0.091 	0.066 	0.158 
015757 	0.299 	0.093 	0.063 	0.156 
015758 	0.298 	0.094 	0.063 	0.160 
015759 	0.296 	0.094 	0.066 	0.162 
015760 	0.296 	0.096 	0.064 	0.157 
015761 	0.295 	0.097 	0.064 	0.158 
015762 	0.294 	0.097 	0.064 	0.157 
015763 	0.293 	0.097 	0.064 	0.156 
015764 	0.291 	0.097 	0.065 	0.156 
015765 	0.291 	0.097 	0.065 	0.156 
015766 	0.291 	0.098 	0.064 	0.154 
015767 	0.290 	0.100 	0.063 	0.150 
015768 	0.289 	0.097 	0.065 	0.155 
015769 	0.289 	0.094 	0.063 	0.157 
015770 	0.287 	0.089 	0.064 	0.156 
015771 	0.287 	0.085 	0.063 	0.157 
015772 	0.288 	0.086 	0.062 	0.158 
015773 	0.288 	0.084 	0.063 	0.163 
015774 	0.288 	0.084 	0.063 	0.162 
015775 	0.287 	0.082 	0.065 	0.158 
015776 	0.287 	0.080 	0.067 	0.155 
015777 	0.287 	0.076 	0.069 	0.159 
015778 	0.286 	0.077 	0.069 	0.155 
015779 	0.285 	0.075 	0.067 	0.155 
015780 	0.285 	0.075 	0.067 	0.156 
015781 	0.284 	0.075 	0.067 	0.157 
015782 	0.284 	0.078 	0.066 	0.154 
015783 	0.283 	0.079 	0.066 	0.151 
015784 	0.284 	0.083 	0.062 	0.147 
015785 	0.284 	0.085 	0.060 	0.144 
015786 	0.283 	0.084 	0.060 	0.150 
015787 	0.284 	0.082 	0.058 	0.160 
015788 	0.283 	0.083 	0.059 	0.162 
015789 	0.283 	0.084 	0.061 	0.163 
015790 	0.283 	0.084 	0.061 	0.163 
015791 	0.282 	0.088 	0.063 	0.163 
015792 	0.282 	0.098 	0.065 	0.165 
015793 	0.282 	0.104 	0.068 	0.162 
015794 	0.284 	0.110 	0.068 	0.160 
015795 	0.286 	0.117 	0.067 	0.155 
015796 	0.286 	0.127 	0.068 	0.144 
015797 	0.288 	0.132 	0.066 	0.138 
015798 	0.288 	0.135 	0.066 	0.136 
015799 	0.288 	0.135 	0.065 	0.143 
015800 	0.289 	0.136 	0.065 	0.142 
015801 	0.289 	0.137 	0.066 	0.141 
015802 	0.291 	0.139 	0.066 	0.140 
015803 	0.293 	0.139 	0.066 	0.139 
015804 	0.294 	0.138 	0.065 	0.141 
015805 	0.295 	0.139 	0.065 	0.137 
015806 	0.296 	0.137 	0.065 	0.137 
015807 	0.296 	0.135 	0.065 	0.141 
015808 	0.296 	0.131 	0.067 	0.144 
015809 	0.299 	0.132 	0.063 	0.140 
015810 	0.299 	0.128 	0.065 	0.143 
015811 	0.300 	0.129 	0.064 	0.141 
015812 	0.300 	0.126 	0.065 	0.142 
015813 	0.300 	0.122 	0.067 	0.146 
015814 	0.301 	0.119 	0.066 	0.149 
015815 	0.301 	0.119 	0.066 	0.149 
015816 	0.302 	0.119 	0.065 	0.148 
015817 	0.302 	0.116 	0.066 	0.151 
015818 	0.302 	0.117 	0.064 	0.150 
015819 	0.302 	0.113 	0.065 	0.151 
015820 	0.302 	0.111 	0.063 	0.150 
015821 	0.298 	0.105 	0.065 	0.149 
015822 	0.297 	0.101 	0.065 	0.151 
015823 	0.295 	0.095 	0.065 	0.154 
015824 	0.295 	0.088 	0.063 	0.155 
015825 	0.294 	0.080 	0.064 	0.159 
015826 	0.292 	0.081 	0.068 	0.154 
015827 	0.290 	0.079 	0.068 	0.154 
015828 	0.289 	0.081 	0.068 	0.154 
015829 	0.287 	0.084 	0.069 	0.156 
015830 	0.287 	0.093 	0.068 	0.155 
015831 	0.285 	0.097 	0.068 	0.162 
015832 	0.285 	0.101 	0.068 	0.158 
015833 	0.284 	0.104 	0.068 	0.156 
015834 	0.283 	0.105 	0.068 	0.158 
015835 	0.282 	0.106 	0.068 	0.158 
015836 	0.282 	0.108 	0.067 	0.158 
015837 	0.281 	0.106 	0.068 	0.160 
015838 	0.281 	0.107 	0.066 	0.159 
015839 	0.281 	0.109 	0.067 	0.159 
015840 	0.281 	0.109 	0.067 	0.159 
015841 	0.281 	0.109 	0.068 	0.159 
015842 	0.281 	0.111 	0.067 	0.160 
015843 	0.280 	0.112 	0.068 	0.164 
015844 	0.280 	0.111 	0.068 	0.168 
015845 	0.280 	0.111 	0.069 	0.168 
015846 	0.280 	0.113 	0.067 	0.166 
015847 	0.281 	0.114 	0.067 	0.165 
015848 	0.281 	0.114 	0.067 	0.165 
015849 	0.281 	0.114 	0.067 	0.165 
015850 	0.282 	0.112 	0.066 	0.165 
015851 	0.281 	0.111 	0.067 	0.167 
015852 	0.281 	0.109 	0.067 	0.167 
015853 	0.282 	0.109 	0.065 	0.167 
015854 	0.281 	0.107 	0.067 	0.166 
015855 	0.282 	0.105 	0.065 	0.167 
015856 	0.282 	0.103 	0.066 	0.170 
015857 	0.281 	0.101 	0.068 	0.170 
015858 	0.280 	0.106 	0.068 	0.163 
015859 	0.280 	0.105 	0.068 	0.164 
015860 	0.280 	0.105 	0.068 	0.163 
015861 	0.281 	0.104 	0.067 	0.165 
015862 	0.281 	0.104 	0.069 	0.166 
015863 	0.281 	0.101 	0.068 	0.163 
015864 	0.283 	0.100 	0.066 	0.157 
015865 	0.283 	0.100 	0.066 	0.157 
015866 	0.283 	0.099 	0.066 	0.157 
015867 	0.283 	0.099 	0.067 	0.163 
015868 	0.282 	0.100 	0.068 	0.162 
015869 	0.283 	0.103 	0.066 	0.161 
015870 	0.282 	0.105 	0.067 	0.158 
015871 	0.281 	0.105 	0.069 	0.159 
015872 	0.282 	0.104 	0.068 	0.159 
015873 	0.283 	0.106 	0.068 	0.156 
015874 	0.284 	0.104 	0.067 	0.164 
015875 	0.284 	0.103 	0.068 	0.166 
015876 	0.285 	0.103 	0.067 	0.164 
015877 	0.285 	0.103 	0.067 	0.164 
015878 	0.285 	0.105 	0.067 	0.161 
015879 	0.285 	0.106 	0.066 	0.163 
015880 	0.286 	0.106 	0.065 	0.162 
015881 	0.285 	0.109 	0.066 	0.158 
015882 	0.285 	0.110 	0.066 	0.158 
015883 	0.285 	0.112 	0.067 	0.156 
015884 	0.286 	0.111 	0.067 	0.160 
015885 	0.286 	0.110 	0.066 	0.161 
015886 	0.286 	0.109 	0.065 	0.160 
015887 	0.286 	0.109 	0.065 	0.159 
015888 	0.287 	0.109 	0.064 	0.163 
015889 	0.287 	0.108 	0.065 	0.167 
015890 	0.287 	0.108 	0.065 	0.167 
015891 	0.288 	0.109 	0.064 	0.166 
