Text:  LEARNED NOT TO CRUSH ON GUYS THREE TIMES MY AGE I ASKED HER WHAT THAT MEANT AND SHE SAID MISS IT'S KIND OF A LONG STORY AND I SAID CHARLOTTE IT SOUNDS PRETTY INTERESTING TO ME AND SO SHE WROTE HER FIRST POEM A LOVE POEM UNLIKE ANY I HAD EVER HEARD BEFORE AND THE POEM BEGAN ANDERSON COOPER IS A GORGEOUS MAN 
Conf:  4
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
016183 	0.235 	0.145 	0.174 	0.420 
016184 	0.234 	0.149 	0.174 	0.427 
016185 	0.235 	0.149 	0.173 	0.437 
016186 	0.234 	0.150 	0.173 	0.439 
016187 	0.225 	0.138 	0.176 	0.453 
016188 	0.224 	0.139 	0.176 	0.451 
016189 	0.224 	0.140 	0.175 	0.447 
016190 	0.224 	0.140 	0.175 	0.447 
016191 	0.221 	0.137 	0.176 	0.449 
016192 	0.221 	0.139 	0.174 	0.443 
016193 	0.218 	0.141 	0.175 	0.442 
016194 	0.225 	0.153 	0.175 	0.428 
016195 	0.226 	0.151 	0.175 	0.427 
016196 	0.221 	0.143 	0.174 	0.444 
016197 	0.224 	0.145 	0.170 	0.463 
016198 	0.224 	0.146 	0.173 	0.456 
016199 	0.232 	0.153 	0.175 	0.428 
016200 	0.231 	0.143 	0.173 	0.424 
016201 	0.228 	0.138 	0.173 	0.432 
016202 	0.225 	0.145 	0.172 	0.429 
016203 	0.223 	0.149 	0.169 	0.424 
016204 	0.220 	0.151 	0.168 	0.431 
016205 	0.219 	0.149 	0.167 	0.437 
016206 	0.215 	0.145 	0.167 	0.452 
016207 	0.214 	0.148 	0.169 	0.442 
016208 	0.212 	0.153 	0.168 	0.420 
016209 	0.209 	0.141 	0.170 	0.423 
016210 	0.207 	0.137 	0.171 	0.425 
016211 	0.205 	0.133 	0.172 	0.438 
016212 	0.204 	0.134 	0.172 	0.435 
016213 	0.204 	0.132 	0.170 	0.434 
016214 	0.204 	0.134 	0.169 	0.440 
016215 	0.204 	0.134 	0.169 	0.440 
016216 	0.202 	0.137 	0.169 	0.458 
016217 	0.203 	0.135 	0.167 	0.470 
016218 	0.203 	0.135 	0.168 	0.464 
016219 	0.202 	0.134 	0.169 	0.446 
016220 	0.199 	0.140 	0.172 	0.427 
016221 	0.197 	0.137 	0.172 	0.423 
016222 	0.199 	0.134 	0.170 	0.423 
016223 	0.200 	0.134 	0.171 	0.422 
016224 	0.201 	0.135 	0.172 	0.420 
016225 	0.204 	0.138 	0.171 	0.419 
016226 	0.206 	0.147 	0.172 	0.417 
016227 	0.207 	0.148 	0.171 	0.436 
016228 	0.211 	0.157 	0.172 	0.427 
016229 	0.211 	0.149 	0.175 	0.428 
016230 	0.214 	0.137 	0.173 	0.448 
016231 	0.217 	0.125 	0.172 	0.466 
016232 	0.220 	0.124 	0.172 	0.461 
016233 	0.222 	0.125 	0.176 	0.444 
016234 	0.230 	0.137 	0.179 	0.425 
016235 	0.231 	0.144 	0.176 	0.420 
016236 	0.237 	0.156 	0.173 	0.420 
016237 	0.243 	0.163 	0.171 	0.421 
016238 	0.248 	0.167 	0.170 	0.433 
016239 	0.253 	0.170 	0.169 	0.444 
016240 	0.253 	0.170 	0.169 	0.444 
016241 	0.252 	0.157 	0.170 	0.462 
016242 	0.256 	0.153 	0.170 	0.456 
016243 	0.257 	0.146 	0.171 	0.463 
016244 	0.261 	0.148 	0.173 	0.451 
016245 	0.264 	0.153 	0.172 	0.451 
016246 	0.267 	0.156 	0.173 	0.451 
016247 	0.273 	0.167 	0.174 	0.438 
016248 	0.278 	0.170 	0.173 	0.436 
016249 	0.284 	0.168 	0.171 	0.438 
016250 	0.289 	0.167 	0.171 	0.437 
016251 	0.293 	0.166 	0.170 	0.434 
016252 	0.296 	0.166 	0.171 	0.435 
016253 	0.302 	0.164 	0.171 	0.435 
016254 	0.306 	0.168 	0.170 	0.431 
016255 	0.310 	0.170 	0.172 	0.431 
016256 	0.313 	0.175 	0.173 	0.430 
016257 	0.318 	0.179 	0.172 	0.426 
016258 	0.320 	0.184 	0.174 	0.420 
016259 	0.321 	0.183 	0.174 	0.422 
016260 	0.323 	0.181 	0.173 	0.424 
016261 	0.325 	0.179 	0.174 	0.428 
016262 	0.326 	0.180 	0.175 	0.426 
016263 	0.328 	0.182 	0.175 	0.426 
016264 	0.330 	0.184 	0.174 	0.425 
016265 	0.330 	0.184 	0.174 	0.425 
016266 	0.331 	0.185 	0.174 	0.422 
016267 	0.334 	0.186 	0.173 	0.421 
016268 	0.336 	0.187 	0.174 	0.421 
016269 	0.341 	0.189 	0.172 	0.412 
016270 	0.342 	0.195 	0.169 	0.398 
