Text:  KNOW THAT THE NUMBER ONE RULE TO BEING COOL IS TO SEEM UNFAZED TO NEVER ADMIT THAT ANYTHING SCARES YOU OR IMPRESSES YOU 
Conf:  2
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
017274 	0.281 	0.257 	0.060 	0.118 
017275 	0.285 	0.254 	0.060 	0.119 
017276 	0.286 	0.250 	0.061 	0.118 
017277 	0.286 	0.249 	0.061 	0.121 
017278 	0.287 	0.249 	0.064 	0.122 
017279 	0.290 	0.248 	0.063 	0.125 
017280 	0.292 	0.254 	0.061 	0.114 
017281 	0.293 	0.251 	0.062 	0.115 
017282 	0.291 	0.253 	0.063 	0.114 
017283 	0.288 	0.250 	0.063 	0.118 
017284 	0.284 	0.252 	0.064 	0.122 
017285 	0.282 	0.254 	0.062 	0.123 
017286 	0.280 	0.254 	0.061 	0.128 
017287 	0.277 	0.252 	0.062 	0.127 
017288 	0.273 	0.250 	0.066 	0.127 
017289 	0.271 	0.250 	0.065 	0.127 
017290 	0.271 	0.250 	0.065 	0.127 
017291 	0.268 	0.244 	0.066 	0.132 
017292 	0.266 	0.238 	0.065 	0.134 
017293 	0.263 	0.233 	0.065 	0.135 
017294 	0.261 	0.227 	0.065 	0.134 
017295 	0.260 	0.225 	0.065 	0.129 
017296 	0.262 	0.220 	0.063 	0.135 
017297 	0.258 	0.217 	0.068 	0.136 
017298 	0.257 	0.214 	0.069 	0.136 
017299 	0.253 	0.219 	0.070 	0.137 
017300 	0.249 	0.217 	0.074 	0.137 
017301 	0.247 	0.215 	0.071 	0.131 
017302 	0.244 	0.212 	0.070 	0.131 
017303 	0.240 	0.214 	0.072 	0.127 
017304 	0.235 	0.213 	0.074 	0.129 
017305 	0.229 	0.210 	0.078 	0.129 
017306 	0.224 	0.209 	0.082 	0.136 
017307 	0.220 	0.212 	0.080 	0.141 
017308 	0.220 	0.219 	0.077 	0.144 
017309 	0.217 	0.219 	0.078 	0.142 
017310 	0.214 	0.220 	0.078 	0.137 
017311 	0.211 	0.223 	0.079 	0.130 
017312 	0.209 	0.222 	0.078 	0.129 
017313 	0.207 	0.222 	0.078 	0.133 
017314 	0.203 	0.222 	0.081 	0.137 
017315 	0.203 	0.222 	0.081 	0.137 
017316 	0.202 	0.223 	0.082 	0.143 
017317 	0.200 	0.227 	0.083 	0.146 
017318 	0.200 	0.231 	0.084 	0.146 
017319 	0.199 	0.235 	0.087 	0.143 
017320 	0.204 	0.237 	0.084 	0.139 
017321 	0.208 	0.241 	0.081 	0.136 
017322 	0.212 	0.239 	0.079 	0.136 
017323 	0.213 	0.233 	0.081 	0.142 
017324 	0.218 	0.231 	0.079 	0.139 
017325 	0.218 	0.229 	0.082 	0.142 
017326 	0.221 	0.225 	0.084 	0.147 
017327 	0.224 	0.225 	0.086 	0.151 
017328 	0.222 	0.233 	0.087 	0.143 
017329 	0.226 	0.239 	0.084 	0.139 
017330 	0.226 	0.236 	0.086 	0.144 
017331 	0.230 	0.238 	0.085 	0.146 
017332 	0.234 	0.240 	0.083 	0.150 
017333 	0.235 	0.238 	0.087 	0.158 
017334 	0.245 	0.236 	0.085 	0.158 
017335 	0.254 	0.238 	0.082 	0.160 
017336 	0.265 	0.242 	0.077 	0.155 
017337 	0.274 	0.237 	0.079 	0.164 
017338 	0.283 	0.236 	0.080 	0.159 
017339 	0.294 	0.234 	0.075 	0.162 
017340 	0.294 	0.234 	0.075 	0.162 
017341 	0.303 	0.238 	0.075 	0.161 
017342 	0.314 	0.240 	0.071 	0.166 
017343 	0.321 	0.242 	0.073 	0.170 
017344 	0.328 	0.237 	0.071 	0.169 
017345 	0.329 	0.233 	0.070 	0.166 
017346 	0.331 	0.230 	0.067 	0.165 
017347 	0.329 	0.229 	0.069 	0.164 
017348 	0.330 	0.229 	0.068 	0.167 
017349 	0.329 	0.229 	0.069 	0.172 
017350 	0.329 	0.230 	0.070 	0.176 
017351 	0.329 	0.228 	0.071 	0.181 
017352 	0.330 	0.227 	0.071 	0.182 
017353 	0.330 	0.225 	0.073 	0.186 
017354 	0.331 	0.226 	0.072 	0.187 
017355 	0.331 	0.226 	0.072 	0.188 
017356 	0.331 	0.226 	0.071 	0.188 
017357 	0.331 	0.223 	0.071 	0.182 
017358 	0.328 	0.211 	0.075 	0.183 
017359 	0.325 	0.205 	0.078 	0.182 
017360 	0.325 	0.205 	0.078 	0.177 
017361 	0.323 	0.202 	0.081 	0.179 
017362 	0.321 	0.197 	0.085 	0.183 
017363 	0.320 	0.191 	0.086 	0.185 
017364 	0.319 	0.188 	0.087 	0.181 
017365 	0.319 	0.188 	0.087 	0.181 
017366 	0.320 	0.186 	0.084 	0.178 
017367 	0.319 	0.181 	0.084 	0.174 
017368 	0.317 	0.177 	0.080 	0.178 
017369 	0.310 	0.180 	0.082 	0.191 
017370 	0.301 	0.171 	0.087 	0.190 
017371 	0.303 	0.170 	0.082 	0.173 
017372 	0.304 	0.169 	0.085 	0.167 
017373 	0.306 	0.161 	0.087 	0.185 
017374 	0.315 	0.165 	0.082 	0.187 
017375 	0.321 	0.166 	0.086 	0.180 
017376 	0.329 	0.169 	0.087 	0.182 
017377 	0.336 	0.169 	0.086 	0.171 
017378 	0.344 	0.164 	0.088 	0.183 
017379 	0.352 	0.163 	0.088 	0.188 
017380 	0.350 	0.156 	0.098 	0.201 
017381 	0.364 	0.163 	0.084 	0.200 
017382 	0.365 	0.170 	0.085 	0.203 
017383 	0.366 	0.173 	0.085 	0.207 
017384 	0.366 	0.170 	0.086 	0.210 
017385 	0.364 	0.175 	0.085 	0.208 
017386 	0.362 	0.182 	0.087 	0.210 
017387 	0.363 	0.187 	0.086 	0.210 
017388 	0.356 	0.183 	0.092 	0.227 
017389 	0.357 	0.183 	0.091 	0.229 
017390 	0.357 	0.183 	0.091 	0.229 
017391 	0.357 	0.186 	0.092 	0.224 
017392 	0.359 	0.186 	0.092 	0.224 
017393 	0.366 	0.195 	0.084 	0.209 
017394 	0.366 	0.195 	0.085 	0.208 
017395 	0.366 	0.195 	0.086 	0.205 
017396 	0.368 	0.195 	0.084 	0.208 
017397 	0.364 	0.188 	0.092 	0.228 
017398 	0.366 	0.187 	0.091 	0.231 
017399 	0.371 	0.198 	0.087 	0.212 
017400 	0.373 	0.199 	0.087 	0.213 
017401 	0.374 	0.200 	0.086 	0.205 
017402 	0.372 	0.198 	0.089 	0.207 
017403 	0.376 	0.197 	0.088 	0.207 
017404 	0.372 	0.198 	0.097 	0.202 
017405 	0.376 	0.200 	0.090 	0.195 
017406 	0.380 	0.200 	0.088 	0.197 
017407 	0.392 	0.200 	0.081 	0.200 
017408 	0.393 	0.200 	0.080 	0.200 
017409 	0.396 	0.209 	0.079 	0.193 
017410 	0.400 	0.214 	0.077 	0.189 
017411 	0.402 	0.220 	0.074 	0.184 
017412 	0.402 	0.220 	0.072 	0.184 
017413 	0.404 	0.224 	0.069 	0.187 
017414 	0.400 	0.222 	0.073 	0.186 
017415 	0.400 	0.222 	0.073 	0.186 
017416 	0.401 	0.224 	0.073 	0.184 
017417 	0.398 	0.223 	0.072 	0.184 
017418 	0.397 	0.229 	0.069 	0.177 
017419 	0.398 	0.233 	0.062 	0.178 
017420 	0.381 	0.229 	0.073 	0.197 
017421 	0.378 	0.225 	0.071 	0.207 
017422 	0.370 	0.227 	0.071 	0.195 
017423 	0.356 	0.221 	0.081 	0.183 
017424 	0.354 	0.219 	0.080 	0.190 
017425 	0.350 	0.217 	0.082 	0.203 
017426 	0.351 	0.216 	0.083 	0.209 
017427 	0.351 	0.218 	0.081 	0.204 
017428 	0.349 	0.216 	0.084 	0.200 
017429 	0.352 	0.214 	0.082 	0.187 
017430 	0.367 	0.217 	0.074 	0.175 
017431 	0.368 	0.220 	0.075 	0.184 
017432 	0.373 	0.224 	0.075 	0.171 
017433 	0.380 	0.227 	0.076 	0.179 
017434 	0.379 	0.222 	0.076 	0.189 
017435 	0.376 	0.217 	0.080 	0.181 
017436 	0.375 	0.211 	0.084 	0.182 
017437 	0.377 	0.208 	0.084 	0.185 
017438 	0.378 	0.205 	0.085 	0.192 
017439 	0.379 	0.203 	0.085 	0.199 
017440 	0.379 	0.203 	0.085 	0.199 
017441 	0.378 	0.203 	0.085 	0.201 
017442 	0.379 	0.203 	0.083 	0.205 
017443 	0.379 	0.203 	0.082 	0.197 
017444 	0.377 	0.200 	0.082 	0.192 
017445 	0.376 	0.198 	0.081 	0.188 
017446 	0.373 	0.196 	0.084 	0.187 
017447 	0.373 	0.198 	0.082 	0.184 
017448 	0.372 	0.202 	0.082 	0.183 
017449 	0.371 	0.197 	0.082 	0.193 
017450 	0.369 	0.199 	0.083 	0.193 
017451 	0.367 	0.200 	0.082 	0.191 
017452 	0.366 	0.199 	0.081 	0.197 
017453 	0.365 	0.200 	0.083 	0.197 
017454 	0.364 	0.198 	0.083 	0.201 
017455 	0.364 	0.197 	0.082 	0.199 
017456 	0.364 	0.196 	0.080 	0.198 
017457 	0.362 	0.190 	0.081 	0.192 
017458 	0.355 	0.182 	0.086 	0.187 
017459 	0.362 	0.183 	0.081 	0.183 
017460 	0.365 	0.175 	0.084 	0.190 
017461 	0.370 	0.176 	0.086 	0.188 
017462 	0.378 	0.178 	0.084 	0.189 
017463 	0.383 	0.180 	0.084 	0.188 
017464 	0.395 	0.180 	0.078 	0.195 
017465 	0.395 	0.180 	0.078 	0.195 
017466 	0.399 	0.179 	0.074 	0.199 
017467 	0.402 	0.182 	0.073 	0.195 
017468 	0.401 	0.179 	0.073 	0.197 
017469 	0.401 	0.178 	0.073 	0.198 
017470 	0.401 	0.178 	0.073 	0.198 
017471 	0.400 	0.176 	0.074 	0.203 
017472 	0.397 	0.173 	0.075 	0.201 
017473 	0.393 	0.168 	0.075 	0.198 
017474 	0.380 	0.167 	0.084 	0.195 
017475 	0.378 	0.168 	0.083 	0.197 
017476 	0.374 	0.171 	0.081 	0.195 
017477 	0.369 	0.166 	0.081 	0.193 
017478 	0.362 	0.165 	0.083 	0.186 
017479 	0.352 	0.161 	0.088 	0.185 
017480 	0.347 	0.155 	0.084 	0.184 
017481 	0.340 	0.150 	0.084 	0.180 
017482 	0.336 	0.151 	0.086 	0.179 
017483 	0.334 	0.147 	0.085 	0.165 
017484 	0.334 	0.147 	0.083 	0.170 
017485 	0.337 	0.148 	0.084 	0.192 
017486 	0.336 	0.145 	0.083 	0.187 
017487 	0.334 	0.143 	0.083 	0.177 
017488 	0.335 	0.143 	0.083 	0.180 
017489 	0.334 	0.144 	0.082 	0.178 
017490 	0.334 	0.144 	0.082 	0.178 
017491 	0.330 	0.138 	0.085 	0.187 
017492 	0.327 	0.139 	0.085 	0.184 
017493 	0.324 	0.137 	0.086 	0.186 
017494 	0.319 	0.133 	0.088 	0.185 
017495 	0.313 	0.133 	0.087 	0.184 
017496 	0.300 	0.130 	0.096 	0.198 
017497 	0.297 	0.126 	0.097 	0.199 
017498 	0.293 	0.128 	0.089 	0.190 
017499 	0.289 	0.125 	0.088 	0.191 
017500 	0.286 	0.127 	0.085 	0.187 

WORD START END ASDSCORE
KNOW 0.09 0.52 5.8
THAT 0.52 0.71 5.5
THE 0.71 0.79 4.6
NUMBER 0.79 1.35 4.9
ONE 1.35 1.65 4.1
RULE 1.65 2.14 1.0
TO 2.21 2.34 0.6
BEING 2.34 2.67 3.6
COOL 2.67 3.15 4.6
IS 3.40 3.56 8.4
TO 3.56 3.66 9.8
SEEM 3.66 4.06 8.9
UNFAZED 4.06 4.74 8.2
TO 5.19 5.30 3.0
NEVER 5.30 5.84 4.1
ADMIT 6.20 6.60 5.5
THAT 6.63 6.78 7.3
ANYTHING 6.78 7.17 6.6
SCARES 7.17 7.69 8.3
YOU 7.69 7.97 3.6
OR 7.97 8.16 4.5
IMPRESSES 8.16 8.68 6.1
YOU 8.68 8.94 5.3
