Text:  TO WALK THROUGH LIFE LIKE THIS AND YES THAT MEANS CATCHING ALL OF THOSE MISERIES AND HURT BUT IT ALSO MEANS THAT WHEN BEAUTIFUL AMAZING THINGS JUST FALL OUT OF THE SKY I'M READY TO CATCH THEM 
Conf:  4
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
017751 	0.191 	0.082 	0.059 	0.154 
017752 	0.192 	0.079 	0.062 	0.159 
017753 	0.195 	0.080 	0.061 	0.156 
017754 	0.197 	0.084 	0.064 	0.150 
017755 	0.199 	0.079 	0.064 	0.154 
017756 	0.199 	0.073 	0.067 	0.163 
017757 	0.201 	0.073 	0.067 	0.165 
017758 	0.203 	0.074 	0.066 	0.167 
017759 	0.204 	0.076 	0.066 	0.164 
017760 	0.205 	0.076 	0.067 	0.164 
017761 	0.205 	0.077 	0.066 	0.159 
017762 	0.207 	0.077 	0.067 	0.157 
017763 	0.208 	0.085 	0.066 	0.147 
017764 	0.210 	0.090 	0.065 	0.143 
017765 	0.210 	0.090 	0.065 	0.143 
017766 	0.211 	0.094 	0.066 	0.146 
017767 	0.211 	0.094 	0.065 	0.146 
017768 	0.210 	0.092 	0.067 	0.151 
017769 	0.209 	0.092 	0.068 	0.153 
017770 	0.210 	0.092 	0.067 	0.152 
017771 	0.210 	0.094 	0.068 	0.151 
017772 	0.210 	0.095 	0.068 	0.147 
017773 	0.210 	0.092 	0.068 	0.149 
017774 	0.209 	0.087 	0.069 	0.154 
017775 	0.206 	0.084 	0.069 	0.155 
017776 	0.204 	0.076 	0.067 	0.161 
017777 	0.200 	0.075 	0.070 	0.159 
017778 	0.198 	0.073 	0.069 	0.160 
017779 	0.195 	0.070 	0.069 	0.161 
017780 	0.194 	0.066 	0.069 	0.168 
017781 	0.193 	0.066 	0.069 	0.165 
017782 	0.192 	0.067 	0.068 	0.162 
017783 	0.191 	0.065 	0.069 	0.162 
017784 	0.191 	0.066 	0.068 	0.161 
017785 	0.190 	0.067 	0.068 	0.160 
017786 	0.190 	0.066 	0.068 	0.160 
017787 	0.190 	0.065 	0.069 	0.159 
017788 	0.189 	0.066 	0.070 	0.158 
017789 	0.189 	0.065 	0.069 	0.160 
017790 	0.189 	0.065 	0.069 	0.160 
017791 	0.189 	0.067 	0.068 	0.161 
017792 	0.189 	0.067 	0.069 	0.163 
017793 	0.188 	0.070 	0.070 	0.161 
017794 	0.187 	0.069 	0.071 	0.161 
017795 	0.187 	0.069 	0.071 	0.160 
017796 	0.188 	0.068 	0.070 	0.160 
017797 	0.188 	0.069 	0.072 	0.160 
017798 	0.190 	0.071 	0.070 	0.159 
017799 	0.192 	0.072 	0.071 	0.156 
017800 	0.194 	0.071 	0.072 	0.159 
017801 	0.196 	0.071 	0.070 	0.163 
017802 	0.197 	0.073 	0.069 	0.157 
017803 	0.198 	0.070 	0.067 	0.153 
017804 	0.199 	0.070 	0.066 	0.149 
017805 	0.198 	0.068 	0.066 	0.151 
017806 	0.198 	0.068 	0.066 	0.151 
017807 	0.198 	0.068 	0.066 	0.151 
017808 	0.197 	0.068 	0.064 	0.149 
017809 	0.196 	0.068 	0.066 	0.152 
017810 	0.197 	0.070 	0.064 	0.152 
017811 	0.195 	0.071 	0.064 	0.153 
017812 	0.193 	0.069 	0.064 	0.154 
017813 	0.192 	0.070 	0.063 	0.151 
017814 	0.190 	0.069 	0.062 	0.148 
017815 	0.190 	0.069 	0.062 	0.148 
017816 	0.189 	0.067 	0.061 	0.151 
017817 	0.188 	0.067 	0.060 	0.153 
017818 	0.189 	0.066 	0.058 	0.157 
017819 	0.187 	0.067 	0.059 	0.157 
017820 	0.186 	0.070 	0.058 	0.153 
017821 	0.187 	0.074 	0.054 	0.145 
017822 	0.185 	0.076 	0.056 	0.146 
017823 	0.186 	0.078 	0.056 	0.146 
017824 	0.189 	0.078 	0.052 	0.151 
017825 	0.190 	0.077 	0.052 	0.151 
017826 	0.191 	0.077 	0.052 	0.151 
017827 	0.189 	0.075 	0.056 	0.153 
017828 	0.192 	0.078 	0.055 	0.151 
017829 	0.194 	0.076 	0.055 	0.149 
017830 	0.194 	0.073 	0.058 	0.150 
017831 	0.197 	0.077 	0.058 	0.144 
017832 	0.199 	0.077 	0.060 	0.144 
017833 	0.200 	0.078 	0.061 	0.146 
017834 	0.201 	0.078 	0.063 	0.148 
017835 	0.204 	0.079 	0.064 	0.149 
017836 	0.205 	0.076 	0.067 	0.155 
017837 	0.209 	0.076 	0.069 	0.152 
017838 	0.215 	0.075 	0.071 	0.152 
017839 	0.219 	0.074 	0.073 	0.152 
017840 	0.219 	0.074 	0.073 	0.152 
017841 	0.226 	0.072 	0.072 	0.156 
017842 	0.235 	0.074 	0.072 	0.150 
017843 	0.243 	0.069 	0.072 	0.154 
017844 	0.250 	0.069 	0.071 	0.155 
017845 	0.262 	0.068 	0.070 	0.156 
017846 	0.271 	0.067 	0.069 	0.156 
017847 	0.279 	0.071 	0.070 	0.152 
017848 	0.291 	0.073 	0.065 	0.154 
017849 	0.300 	0.072 	0.064 	0.158 
017850 	0.306 	0.075 	0.064 	0.154 
017851 	0.311 	0.074 	0.065 	0.157 
017852 	0.313 	0.074 	0.066 	0.159 
017853 	0.319 	0.074 	0.062 	0.152 
017854 	0.322 	0.073 	0.065 	0.149 
017855 	0.323 	0.071 	0.067 	0.149 
017856 	0.321 	0.067 	0.069 	0.153 
017857 	0.320 	0.064 	0.070 	0.155 
017858 	0.318 	0.066 	0.069 	0.154 
017859 	0.317 	0.066 	0.068 	0.154 
017860 	0.315 	0.069 	0.068 	0.153 
017861 	0.312 	0.067 	0.068 	0.155 
017862 	0.310 	0.067 	0.066 	0.156 
017863 	0.307 	0.066 	0.067 	0.157 
017864 	0.303 	0.064 	0.067 	0.158 
017865 	0.303 	0.064 	0.067 	0.158 
017866 	0.301 	0.065 	0.066 	0.160 
017867 	0.297 	0.065 	0.068 	0.162 
017868 	0.296 	0.067 	0.066 	0.162 
017869 	0.294 	0.069 	0.065 	0.160 
017870 	0.291 	0.071 	0.066 	0.156 
017871 	0.289 	0.073 	0.065 	0.155 
017872 	0.288 	0.070 	0.065 	0.157 
017873 	0.288 	0.066 	0.064 	0.162 
017874 	0.287 	0.066 	0.065 	0.163 
017875 	0.287 	0.067 	0.064 	0.162 
017876 	0.288 	0.069 	0.065 	0.160 
017877 	0.289 	0.071 	0.064 	0.156 
017878 	0.287 	0.075 	0.067 	0.153 
017879 	0.289 	0.075 	0.067 	0.155 
017880 	0.291 	0.075 	0.066 	0.156 
017881 	0.293 	0.076 	0.066 	0.158 
017882 	0.295 	0.075 	0.064 	0.158 
017883 	0.297 	0.077 	0.065 	0.154 
017884 	0.297 	0.079 	0.065 	0.153 
017885 	0.300 	0.083 	0.064 	0.150 
017886 	0.300 	0.084 	0.064 	0.148 
017887 	0.299 	0.081 	0.065 	0.150 
017888 	0.299 	0.079 	0.065 	0.150 
017889 	0.300 	0.080 	0.065 	0.150 
017890 	0.300 	0.080 	0.065 	0.150 
017891 	0.299 	0.077 	0.065 	0.152 
017892 	0.299 	0.077 	0.065 	0.152 
017893 	0.299 	0.075 	0.065 	0.156 
017894 	0.298 	0.075 	0.066 	0.156 
017895 	0.299 	0.075 	0.066 	0.156 
017896 	0.299 	0.073 	0.067 	0.157 
017897 	0.299 	0.073 	0.066 	0.155 
017898 	0.299 	0.073 	0.065 	0.153 
017899 	0.300 	0.071 	0.066 	0.156 
017900 	0.300 	0.072 	0.066 	0.157 
017901 	0.301 	0.071 	0.067 	0.160 
017902 	0.302 	0.071 	0.066 	0.162 
017903 	0.302 	0.069 	0.067 	0.164 
017904 	0.302 	0.067 	0.067 	0.163 
017905 	0.303 	0.068 	0.067 	0.160 
017906 	0.304 	0.068 	0.067 	0.160 
017907 	0.303 	0.066 	0.068 	0.164 
017908 	0.305 	0.066 	0.066 	0.161 
017909 	0.305 	0.065 	0.065 	0.162 
017910 	0.305 	0.064 	0.066 	0.161 
017911 	0.304 	0.062 	0.067 	0.157 
017912 	0.304 	0.062 	0.068 	0.156 
017913 	0.303 	0.062 	0.066 	0.154 
017914 	0.301 	0.060 	0.068 	0.157 
017915 	0.301 	0.060 	0.068 	0.157 
017916 	0.299 	0.062 	0.069 	0.154 
017917 	0.298 	0.058 	0.069 	0.159 
017918 	0.295 	0.060 	0.067 	0.157 
017919 	0.292 	0.062 	0.068 	0.152 
017920 	0.292 	0.061 	0.067 	0.150 
017921 	0.291 	0.060 	0.066 	0.152 
017922 	0.290 	0.060 	0.066 	0.150 
017923 	0.289 	0.058 	0.066 	0.153 
017924 	0.288 	0.056 	0.066 	0.156 
017925 	0.288 	0.055 	0.064 	0.162 
017926 	0.287 	0.055 	0.063 	0.163 
017927 	0.286 	0.054 	0.063 	0.160 
017928 	0.286 	0.056 	0.062 	0.155 
017929 	0.284 	0.052 	0.064 	0.163 
017930 	0.283 	0.051 	0.064 	0.165 
017931 	0.283 	0.053 	0.064 	0.160 
017932 	0.281 	0.055 	0.066 	0.154 
017933 	0.278 	0.055 	0.068 	0.153 
017934 	0.277 	0.055 	0.069 	0.152 
017935 	0.277 	0.055 	0.069 	0.153 
017936 	0.275 	0.056 	0.069 	0.152 
017937 	0.272 	0.055 	0.069 	0.155 
017938 	0.271 	0.057 	0.068 	0.152 
017939 	0.270 	0.053 	0.066 	0.157 
017940 	0.270 	0.053 	0.066 	0.157 
017941 	0.268 	0.053 	0.065 	0.161 
017942 	0.265 	0.056 	0.066 	0.162 
017943 	0.262 	0.060 	0.067 	0.157 
017944 	0.260 	0.060 	0.067 	0.157 
017945 	0.259 	0.059 	0.067 	0.160 
017946 	0.259 	0.060 	0.065 	0.158 
017947 	0.257 	0.062 	0.065 	0.157 
017948 	0.256 	0.062 	0.066 	0.157 
017949 	0.256 	0.065 	0.066 	0.158 
017950 	0.257 	0.065 	0.066 	0.161 
017951 	0.257 	0.068 	0.067 	0.157 
017952 	0.258 	0.069 	0.068 	0.155 
017953 	0.260 	0.070 	0.066 	0.158 
017954 	0.260 	0.069 	0.066 	0.159 
017955 	0.261 	0.072 	0.068 	0.156 
017956 	0.262 	0.071 	0.068 	0.157 
017957 	0.262 	0.071 	0.070 	0.161 
017958 	0.263 	0.069 	0.069 	0.163 
