Text:  SPOKEN WORD TO HELP MY STUDENTS REDISCOVER WONDER TO FIGHT THEIR INSTINCTS TO BE COOL AND UNFAZED AND INSTEAD ACTIVELY PURSUE BEING ENGAGED WITH WHAT GOES ON AROUND THEM SO THAT THEY CAN REINTERPRET AND CREATE SOMETHING FROM IT IT'S NOT THAT I THINK THAT 
Conf:  2
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
018043 	0.272 	0.130 	0.177 	0.431 
018044 	0.267 	0.130 	0.179 	0.432 
018045 	0.260 	0.135 	0.180 	0.438 
018046 	0.260 	0.140 	0.177 	0.461 
018047 	0.258 	0.140 	0.173 	0.474 
018048 	0.255 	0.140 	0.170 	0.464 
018049 	0.254 	0.137 	0.171 	0.466 
018050 	0.254 	0.148 	0.168 	0.446 
018051 	0.254 	0.151 	0.165 	0.445 
018052 	0.253 	0.154 	0.164 	0.442 
018053 	0.259 	0.151 	0.164 	0.449 
018054 	0.257 	0.141 	0.171 	0.464 
018055 	0.266 	0.135 	0.171 	0.469 
018056 	0.271 	0.137 	0.174 	0.457 
018057 	0.280 	0.137 	0.171 	0.445 
018058 	0.289 	0.139 	0.168 	0.444 
018059 	0.302 	0.136 	0.168 	0.450 
018060 	0.313 	0.137 	0.170 	0.453 
018061 	0.320 	0.139 	0.173 	0.451 
018062 	0.336 	0.150 	0.170 	0.431 
018063 	0.345 	0.153 	0.172 	0.425 
018064 	0.355 	0.142 	0.180 	0.444 
018065 	0.355 	0.142 	0.180 	0.444 
018066 	0.368 	0.140 	0.180 	0.444 
018067 	0.380 	0.142 	0.177 	0.433 
018068 	0.397 	0.142 	0.174 	0.443 
018069 	0.409 	0.149 	0.174 	0.440 
018070 	0.419 	0.145 	0.173 	0.449 
018071 	0.429 	0.141 	0.172 	0.450 
018072 	0.433 	0.139 	0.175 	0.447 
018073 	0.440 	0.135 	0.174 	0.450 
018074 	0.450 	0.146 	0.172 	0.448 
018075 	0.456 	0.134 	0.172 	0.474 
018076 	0.463 	0.134 	0.171 	0.467 
018077 	0.475 	0.142 	0.169 	0.438 
018078 	0.480 	0.141 	0.174 	0.420 
018079 	0.480 	0.126 	0.179 	0.433 
018080 	0.494 	0.131 	0.176 	0.419 
018081 	0.499 	0.114 	0.169 	0.428 
018082 	0.509 	0.136 	0.164 	0.409 
018083 	0.521 	0.140 	0.158 	0.422 
018084 	0.527 	0.146 	0.159 	0.419 
018085 	0.532 	0.148 	0.153 	0.420 
018086 	0.532 	0.151 	0.153 	0.420 
018087 	0.531 	0.155 	0.151 	0.413 
018088 	0.529 	0.155 	0.151 	0.411 
018089 	0.525 	0.153 	0.151 	0.416 
018090 	0.525 	0.153 	0.151 	0.416 
018091 	0.522 	0.154 	0.151 	0.413 
018092 	0.520 	0.152 	0.151 	0.411 
018093 	0.517 	0.149 	0.153 	0.408 
018094 	0.516 	0.149 	0.151 	0.409 
018095 	0.513 	0.145 	0.152 	0.411 
018096 	0.512 	0.145 	0.149 	0.408 
018097 	0.510 	0.149 	0.149 	0.407 
018098 	0.505 	0.147 	0.150 	0.408 
018099 	0.496 	0.146 	0.156 	0.415 
018100 	0.491 	0.151 	0.154 	0.403 
018101 	0.479 	0.158 	0.156 	0.402 
018102 	0.462 	0.159 	0.162 	0.398 
018103 	0.446 	0.149 	0.172 	0.409 
018104 	0.432 	0.148 	0.175 	0.412 
018105 	0.422 	0.136 	0.176 	0.421 
018106 	0.411 	0.120 	0.177 	0.430 
018107 	0.406 	0.112 	0.175 	0.427 
018108 	0.400 	0.093 	0.179 	0.440 
018109 	0.393 	0.084 	0.179 	0.435 
018110 	0.384 	0.078 	0.180 	0.432 
018111 	0.377 	0.077 	0.178 	0.446 
018112 	0.371 	0.090 	0.177 	0.455 
018113 	0.360 	0.092 	0.173 	0.471 
018114 	0.357 	0.113 	0.172 	0.455 
018115 	0.357 	0.113 	0.172 	0.455 
018116 	0.345 	0.123 	0.176 	0.435 
018117 	0.337 	0.119 	0.177 	0.437 
018118 	0.328 	0.111 	0.179 	0.452 
018119 	0.328 	0.112 	0.173 	0.451 
018120 	0.326 	0.112 	0.172 	0.451 
018121 	0.324 	0.112 	0.172 	0.451 
018122 	0.321 	0.112 	0.172 	0.448 
018123 	0.316 	0.115 	0.174 	0.448 
018124 	0.311 	0.118 	0.171 	0.450 
018125 	0.301 	0.125 	0.172 	0.447 
018126 	0.293 	0.122 	0.173 	0.444 
018127 	0.283 	0.110 	0.176 	0.451 
018128 	0.278 	0.103 	0.177 	0.454 
018129 	0.274 	0.098 	0.178 	0.456 
018130 	0.274 	0.103 	0.179 	0.453 
018131 	0.274 	0.107 	0.177 	0.453 
018132 	0.276 	0.113 	0.176 	0.453 
018133 	0.280 	0.122 	0.174 	0.449 
018134 	0.283 	0.129 	0.173 	0.450 
018135 	0.285 	0.135 	0.173 	0.448 
018136 	0.285 	0.138 	0.174 	0.446 
018137 	0.289 	0.145 	0.173 	0.430 
018138 	0.290 	0.153 	0.173 	0.426 
018139 	0.293 	0.158 	0.173 	0.422 
018140 	0.293 	0.158 	0.173 	0.422 
018141 	0.300 	0.166 	0.172 	0.413 
018142 	0.307 	0.165 	0.174 	0.411 
018143 	0.318 	0.168 	0.171 	0.412 
018144 	0.327 	0.178 	0.172 	0.420 
