Text:  POETRY IS THE IDEAL ART FORM I'M ALWAYS TRYING TO FIND THE BEST WAY TO TELL EACH STORY I WRITE MUSICALS I MAKE SHORT FILMS ALONGSIDE MY POEMS BUT I TEACH SPOKEN WORD POETRY BECAUSE IT'S ACCESSIBLE NOT EVERYONE 
Conf:  4
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
018412 	0.267 	0.118 	0.166 	0.408 
018413 	0.277 	0.103 	0.179 	0.442 
018414 	0.290 	0.101 	0.182 	0.436 
018415 	0.290 	0.101 	0.182 	0.436 
018416 	0.299 	0.112 	0.181 	0.429 
018417 	0.317 	0.124 	0.172 	0.430 
018418 	0.323 	0.127 	0.175 	0.427 
018419 	0.334 	0.130 	0.176 	0.426 
018420 	0.342 	0.125 	0.177 	0.423 
018421 	0.355 	0.116 	0.174 	0.436 
018422 	0.363 	0.116 	0.172 	0.437 
018423 	0.367 	0.115 	0.170 	0.432 
018424 	0.368 	0.117 	0.171 	0.424 
018425 	0.366 	0.116 	0.172 	0.422 
018426 	0.364 	0.115 	0.171 	0.423 
018427 	0.361 	0.117 	0.171 	0.422 
018428 	0.358 	0.116 	0.169 	0.430 
018429 	0.351 	0.119 	0.171 	0.433 
018430 	0.341 	0.124 	0.173 	0.434 
018431 	0.337 	0.120 	0.173 	0.436 
018432 	0.327 	0.111 	0.174 	0.442 
018433 	0.312 	0.103 	0.178 	0.438 
018434 	0.305 	0.100 	0.178 	0.432 
018435 	0.291 	0.094 	0.181 	0.435 
018436 	0.282 	0.088 	0.181 	0.441 
018437 	0.278 	0.083 	0.181 	0.459 
018438 	0.273 	0.085 	0.184 	0.454 
018439 	0.277 	0.096 	0.181 	0.438 
018440 	0.277 	0.096 	0.181 	0.438 
018441 	0.286 	0.101 	0.183 	0.423 
018442 	0.300 	0.102 	0.183 	0.415 
018443 	0.308 	0.100 	0.180 	0.420 
018444 	0.313 	0.095 	0.179 	0.426 
018445 	0.311 	0.097 	0.181 	0.422 
018446 	0.310 	0.094 	0.181 	0.420 
018447 	0.315 	0.102 	0.179 	0.408 
018448 	0.325 	0.102 	0.179 	0.410 
018449 	0.339 	0.108 	0.172 	0.414 
018450 	0.355 	0.116 	0.169 	0.426 
018451 	0.372 	0.121 	0.164 	0.436 
018452 	0.380 	0.131 	0.164 	0.428 
018453 	0.394 	0.140 	0.163 	0.427 
018454 	0.403 	0.161 	0.161 	0.412 
018455 	0.417 	0.176 	0.155 	0.394 
018456 	0.423 	0.179 	0.156 	0.407 
018457 	0.425 	0.187 	0.157 	0.408 
018458 	0.426 	0.200 	0.156 	0.405 
018459 	0.425 	0.205 	0.158 	0.414 
018460 	0.427 	0.206 	0.155 	0.418 
018461 	0.426 	0.205 	0.156 	0.413 
018462 	0.425 	0.209 	0.155 	0.414 
018463 	0.421 	0.211 	0.157 	0.413 
018464 	0.416 	0.216 	0.156 	0.406 
018465 	0.416 	0.216 	0.156 	0.406 
018466 	0.412 	0.214 	0.155 	0.407 
018467 	0.406 	0.209 	0.158 	0.421 
018468 	0.400 	0.210 	0.159 	0.417 
018469 	0.396 	0.203 	0.160 	0.428 
018470 	0.392 	0.201 	0.161 	0.431 
018471 	0.390 	0.202 	0.158 	0.434 
018472 	0.386 	0.199 	0.159 	0.430 
018473 	0.386 	0.208 	0.155 	0.417 
018474 	0.380 	0.204 	0.153 	0.429 
018475 	0.374 	0.197 	0.158 	0.438 
018476 	0.374 	0.197 	0.155 	0.433 
018477 	0.376 	0.193 	0.156 	0.429 
018478 	0.374 	0.188 	0.159 	0.447 
018479 	0.376 	0.185 	0.159 	0.446 
018480 	0.380 	0.185 	0.160 	0.438 
018481 	0.387 	0.189 	0.163 	0.426 
018482 	0.397 	0.198 	0.165 	0.422 
018483 	0.410 	0.208 	0.157 	0.421 
018484 	0.421 	0.217 	0.152 	0.429 
018485 	0.431 	0.214 	0.151 	0.437 
018486 	0.437 	0.220 	0.154 	0.435 
018487 	0.448 	0.221 	0.155 	0.433 
018488 	0.459 	0.234 	0.156 	0.411 
018489 	0.468 	0.243 	0.151 	0.406 
018490 	0.468 	0.243 	0.151 	0.406 
018491 	0.470 	0.248 	0.154 	0.402 
018492 	0.471 	0.248 	0.155 	0.404 
018493 	0.465 	0.241 	0.157 	0.417 
018494 	0.463 	0.240 	0.158 	0.406 
018495 	0.456 	0.228 	0.164 	0.415 
018496 	0.452 	0.214 	0.167 	0.421 
018497 	0.450 	0.205 	0.168 	0.434 
018498 	0.449 	0.200 	0.172 	0.420 
018499 	0.448 	0.196 	0.171 	0.412 
018500 	0.448 	0.193 	0.172 	0.411 
018501 	0.445 	0.189 	0.173 	0.409 
018502 	0.444 	0.186 	0.175 	0.417 
018503 	0.443 	0.183 	0.174 	0.426 
018504 	0.440 	0.180 	0.174 	0.425 
018505 	0.435 	0.179 	0.173 	0.417 
018506 	0.426 	0.178 	0.176 	0.417 
018507 	0.419 	0.171 	0.171 	0.424 
018508 	0.406 	0.165 	0.173 	0.436 
018509 	0.393 	0.159 	0.175 	0.443 
018510 	0.390 	0.152 	0.170 	0.449 
018511 	0.385 	0.149 	0.174 	0.443 
018512 	0.383 	0.142 	0.176 	0.430 
018513 	0.383 	0.133 	0.175 	0.437 
018514 	0.384 	0.130 	0.172 	0.432 
018515 	0.384 	0.130 	0.172 	0.432 
018516 	0.386 	0.128 	0.172 	0.437 
018517 	0.390 	0.125 	0.170 	0.445 
018518 	0.397 	0.126 	0.169 	0.455 
018519 	0.405 	0.127 	0.169 	0.450 
018520 	0.409 	0.128 	0.171 	0.438 
018521 	0.414 	0.126 	0.173 	0.437 
018522 	0.418 	0.125 	0.172 	0.439 
018523 	0.419 	0.120 	0.173 	0.441 
018524 	0.417 	0.119 	0.173 	0.434 
018525 	0.418 	0.108 	0.173 	0.452 
