Text:  OR OWNS A CAMERA BUT EVERYONE CAN COMMUNICATE IN SOME WAY AND EVERYONE HAS STORIES THAT THE REST OF US CAN LEARN FROM PLUS SPOKEN WORD POETRY ALLOWS 
Conf:  5
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
018782 	0.269 	0.072 	0.069 	0.159 
018783 	0.271 	0.069 	0.070 	0.162 
018784 	0.272 	0.069 	0.070 	0.160 
018785 	0.274 	0.070 	0.069 	0.158 
018786 	0.276 	0.071 	0.068 	0.157 
018787 	0.277 	0.071 	0.068 	0.157 
018788 	0.278 	0.068 	0.069 	0.161 
018789 	0.280 	0.067 	0.069 	0.162 
018790 	0.280 	0.067 	0.069 	0.162 
018791 	0.281 	0.069 	0.069 	0.160 
018792 	0.281 	0.068 	0.068 	0.162 
018793 	0.281 	0.066 	0.069 	0.164 
018794 	0.282 	0.065 	0.068 	0.166 
018795 	0.284 	0.066 	0.068 	0.158 
018796 	0.286 	0.069 	0.068 	0.149 
018797 	0.291 	0.069 	0.069 	0.147 
018798 	0.295 	0.068 	0.068 	0.146 
018799 	0.297 	0.066 	0.068 	0.149 
018800 	0.299 	0.065 	0.066 	0.149 
018801 	0.300 	0.063 	0.067 	0.151 
018802 	0.302 	0.063 	0.067 	0.150 
018803 	0.305 	0.065 	0.064 	0.152 
018804 	0.306 	0.065 	0.061 	0.153 
018805 	0.307 	0.066 	0.061 	0.151 
018806 	0.309 	0.065 	0.060 	0.148 
018807 	0.311 	0.068 	0.060 	0.139 
018808 	0.312 	0.066 	0.061 	0.140 
018809 	0.313 	0.069 	0.061 	0.138 
018810 	0.315 	0.070 	0.060 	0.143 
018811 	0.315 	0.071 	0.063 	0.150 
018812 	0.318 	0.076 	0.059 	0.145 
018813 	0.320 	0.078 	0.058 	0.146 
018814 	0.323 	0.078 	0.058 	0.147 
018815 	0.323 	0.078 	0.058 	0.147 
018816 	0.323 	0.079 	0.059 	0.144 
018817 	0.325 	0.081 	0.058 	0.142 
018818 	0.326 	0.079 	0.058 	0.144 
018819 	0.327 	0.079 	0.059 	0.146 
018820 	0.328 	0.079 	0.059 	0.147 
018821 	0.327 	0.080 	0.060 	0.148 
018822 	0.326 	0.078 	0.061 	0.152 
018823 	0.325 	0.078 	0.063 	0.151 
018824 	0.325 	0.078 	0.063 	0.150 
018825 	0.325 	0.077 	0.064 	0.149 
018826 	0.324 	0.077 	0.065 	0.150 
018827 	0.325 	0.074 	0.065 	0.153 
018828 	0.325 	0.075 	0.065 	0.153 
018829 	0.324 	0.075 	0.066 	0.151 
018830 	0.325 	0.075 	0.065 	0.153 
018831 	0.324 	0.074 	0.066 	0.155 
018832 	0.324 	0.074 	0.066 	0.157 
018833 	0.325 	0.075 	0.065 	0.156 
018834 	0.324 	0.074 	0.066 	0.156 
018835 	0.324 	0.078 	0.065 	0.150 
018836 	0.325 	0.081 	0.063 	0.149 
018837 	0.324 	0.086 	0.062 	0.146 
018838 	0.324 	0.089 	0.059 	0.144 
018839 	0.321 	0.096 	0.060 	0.142 
018840 	0.321 	0.096 	0.060 	0.142 
018841 	0.319 	0.101 	0.063 	0.141 
018842 	0.315 	0.103 	0.065 	0.143 
018843 	0.311 	0.102 	0.065 	0.145 
018844 	0.305 	0.103 	0.066 	0.144 
018845 	0.300 	0.100 	0.068 	0.146 
018846 	0.296 	0.099 	0.067 	0.146 
018847 	0.289 	0.097 	0.070 	0.151 
018848 	0.286 	0.094 	0.067 	0.151 
018849 	0.284 	0.093 	0.067 	0.150 
018850 	0.280 	0.095 	0.066 	0.149 
018851 	0.279 	0.098 	0.065 	0.150 
018852 	0.278 	0.098 	0.063 	0.153 
018853 	0.277 	0.095 	0.063 	0.156 
018854 	0.276 	0.091 	0.063 	0.155 
018855 	0.276 	0.090 	0.061 	0.157 
018856 	0.276 	0.086 	0.063 	0.165 
018857 	0.277 	0.085 	0.064 	0.166 
018858 	0.277 	0.084 	0.064 	0.163 
018859 	0.278 	0.084 	0.064 	0.162 
018860 	0.278 	0.083 	0.064 	0.162 
018861 	0.278 	0.083 	0.064 	0.159 
018862 	0.278 	0.084 	0.064 	0.159 
018863 	0.279 	0.084 	0.065 	0.158 
018864 	0.279 	0.085 	0.063 	0.156 
018865 	0.279 	0.085 	0.063 	0.156 
018866 	0.279 	0.086 	0.064 	0.155 
018867 	0.279 	0.088 	0.062 	0.152 
018868 	0.279 	0.094 	0.062 	0.152 
018869 	0.281 	0.105 	0.060 	0.144 
018870 	0.281 	0.111 	0.061 	0.145 
018871 	0.281 	0.112 	0.059 	0.147 
018872 	0.280 	0.109 	0.060 	0.142 
018873 	0.278 	0.099 	0.061 	0.148 
018874 	0.278 	0.090 	0.059 	0.155 
018875 	0.278 	0.086 	0.060 	0.161 
018876 	0.278 	0.084 	0.062 	0.165 
018877 	0.278 	0.084 	0.062 	0.168 
018878 	0.279 	0.084 	0.062 	0.168 
018879 	0.278 	0.084 	0.063 	0.170 
018880 	0.279 	0.084 	0.063 	0.168 
018881 	0.278 	0.082 	0.063 	0.169 
018882 	0.279 	0.082 	0.062 	0.167 
018883 	0.281 	0.083 	0.061 	0.167 
018884 	0.280 	0.083 	0.063 	0.172 
018885 	0.281 	0.089 	0.062 	0.165 
018886 	0.282 	0.095 	0.061 	0.152 
018887 	0.282 	0.098 	0.061 	0.149 
018888 	0.281 	0.093 	0.060 	0.153 
018889 	0.280 	0.089 	0.060 	0.154 
018890 	0.280 	0.089 	0.060 	0.154 
018891 	0.281 	0.085 	0.058 	0.151 
018892 	0.280 	0.081 	0.060 	0.157 
018893 	0.280 	0.079 	0.061 	0.162 
018894 	0.279 	0.078 	0.062 	0.164 
018895 	0.279 	0.082 	0.063 	0.168 
018896 	0.277 	0.086 	0.064 	0.168 
018897 	0.276 	0.085 	0.063 	0.171 
018898 	0.275 	0.085 	0.062 	0.162 
018899 	0.274 	0.081 	0.060 	0.154 
018900 	0.271 	0.083 	0.064 	0.148 
018901 	0.271 	0.079 	0.064 	0.150 
018902 	0.273 	0.083 	0.063 	0.147 
018903 	0.272 	0.086 	0.066 	0.147 
018904 	0.273 	0.089 	0.064 	0.149 
018905 	0.272 	0.091 	0.065 	0.156 
018906 	0.273 	0.091 	0.064 	0.158 
018907 	0.272 	0.089 	0.065 	0.161 
018908 	0.271 	0.087 	0.066 	0.161 
018909 	0.271 	0.085 	0.065 	0.160 
018910 	0.271 	0.086 	0.063 	0.160 
018911 	0.271 	0.085 	0.063 	0.160 
018912 	0.270 	0.085 	0.064 	0.157 
018913 	0.270 	0.087 	0.064 	0.152 
018914 	0.269 	0.085 	0.066 	0.157 
018915 	0.269 	0.085 	0.066 	0.157 
018916 	0.270 	0.084 	0.064 	0.157 
018917 	0.271 	0.083 	0.066 	0.162 
018918 	0.272 	0.084 	0.066 	0.158 
018919 	0.273 	0.085 	0.067 	0.157 
018920 	0.275 	0.090 	0.066 	0.151 
018921 	0.275 	0.096 	0.066 	0.151 
018922 	0.279 	0.099 	0.067 	0.157 
018923 	0.280 	0.099 	0.068 	0.156 
018924 	0.283 	0.095 	0.066 	0.152 
018925 	0.283 	0.089 	0.067 	0.156 
018926 	0.284 	0.089 	0.068 	0.156 
018927 	0.284 	0.090 	0.066 	0.155 
018928 	0.284 	0.092 	0.065 	0.155 
018929 	0.284 	0.097 	0.065 	0.151 
018930 	0.283 	0.098 	0.066 	0.153 
018931 	0.284 	0.103 	0.063 	0.149 
018932 	0.285 	0.102 	0.062 	0.148 
018933 	0.285 	0.101 	0.061 	0.148 
018934 	0.287 	0.103 	0.060 	0.147 
018935 	0.289 	0.101 	0.059 	0.147 
018936 	0.290 	0.099 	0.058 	0.152 
018937 	0.292 	0.099 	0.057 	0.149 
018938 	0.292 	0.096 	0.057 	0.152 
018939 	0.291 	0.096 	0.059 	0.149 
018940 	0.291 	0.096 	0.059 	0.149 
018941 	0.293 	0.095 	0.058 	0.149 
018942 	0.293 	0.096 	0.059 	0.147 
018943 	0.295 	0.095 	0.057 	0.147 
018944 	0.296 	0.093 	0.057 	0.151 
018945 	0.297 	0.093 	0.058 	0.151 
018946 	0.298 	0.096 	0.058 	0.149 
018947 	0.299 	0.098 	0.057 	0.146 
018948 	0.299 	0.093 	0.058 	0.151 
018949 	0.299 	0.091 	0.058 	0.152 
018950 	0.299 	0.089 	0.058 	0.153 
018951 	0.300 	0.088 	0.056 	0.149 
018952 	0.300 	0.086 	0.056 	0.151 
018953 	0.300 	0.085 	0.056 	0.151 
018954 	0.300 	0.082 	0.058 	0.155 
018955 	0.301 	0.080 	0.057 	0.154 
018956 	0.301 	0.079 	0.058 	0.158 
018957 	0.301 	0.079 	0.057 	0.159 
018958 	0.302 	0.079 	0.058 	0.157 
018959 	0.302 	0.080 	0.057 	0.155 
018960 	0.303 	0.080 	0.058 	0.155 
018961 	0.303 	0.082 	0.058 	0.150 
018962 	0.304 	0.081 	0.059 	0.152 
018963 	0.304 	0.086 	0.060 	0.145 
018964 	0.305 	0.078 	0.058 	0.159 
018965 	0.305 	0.078 	0.058 	0.159 
018966 	0.306 	0.079 	0.057 	0.157 
018967 	0.306 	0.079 	0.058 	0.157 
018968 	0.307 	0.079 	0.059 	0.157 
018969 	0.307 	0.079 	0.059 	0.156 
018970 	0.307 	0.081 	0.058 	0.153 
018971 	0.307 	0.086 	0.057 	0.143 
018972 	0.307 	0.082 	0.060 	0.152 
018973 	0.308 	0.083 	0.058 	0.148 
018974 	0.310 	0.082 	0.059 	0.153 
018975 	0.309 	0.084 	0.064 	0.151 
018976 	0.310 	0.084 	0.064 	0.149 
018977 	0.312 	0.083 	0.065 	0.154 
018978 	0.313 	0.081 	0.065 	0.156 
018979 	0.313 	0.078 	0.067 	0.155 
018980 	0.313 	0.077 	0.066 	0.153 
018981 	0.312 	0.075 	0.068 	0.155 
