Text:  CONNECTION IT'S NOT UNCOMMON TO FEEL LIKE YOU'RE ALONE OR THAT NOBODY UNDERSTANDS YOU BUT SPOKEN WORD TEACHES THAT IF YOU HAVE THE 
Conf:  4
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
019035 	0.267 	0.008 	0.170 	0.336 
019036 	0.262 	0.010 	0.166 	0.342 
019037 	0.265 	0.017 	0.160 	0.343 
019038 	0.269 	0.030 	0.156 	0.355 
019039 	0.267 	0.031 	0.160 	0.376 
019040 	0.267 	0.031 	0.160 	0.376 
019041 	0.271 	0.041 	0.160 	0.370 
019042 	0.274 	0.054 	0.159 	0.355 
019043 	0.279 	0.057 	0.158 	0.353 
019044 	0.283 	0.061 	0.157 	0.355 
019045 	0.280 	0.064 	0.161 	0.362 
019046 	0.280 	0.062 	0.164 	0.366 
019047 	0.280 	0.064 	0.166 	0.367 
019048 	0.281 	0.070 	0.164 	0.370 
019049 	0.282 	0.082 	0.167 	0.362 
019050 	0.282 	0.084 	0.167 	0.372 
019051 	0.285 	0.090 	0.165 	0.373 
019052 	0.287 	0.097 	0.166 	0.369 
019053 	0.288 	0.101 	0.165 	0.375 
019054 	0.289 	0.108 	0.168 	0.380 
019055 	0.294 	0.110 	0.165 	0.372 
019056 	0.289 	0.117 	0.166 	0.352 
019057 	0.281 	0.116 	0.166 	0.335 
019058 	0.270 	0.107 	0.170 	0.333 
019059 	0.268 	0.096 	0.165 	0.340 
019060 	0.269 	0.102 	0.162 	0.329 
019061 	0.263 	0.103 	0.167 	0.321 
019062 	0.261 	0.108 	0.164 	0.326 
019063 	0.256 	0.107 	0.164 	0.301 
019064 	0.254 	0.108 	0.165 	0.309 
019065 	0.254 	0.108 	0.165 	0.309 
019066 	0.254 	0.106 	0.165 	0.319 
019067 	0.255 	0.110 	0.165 	0.319 
019068 	0.258 	0.123 	0.164 	0.314 
019069 	0.257 	0.134 	0.158 	0.319 
019070 	0.256 	0.134 	0.158 	0.323 
019071 	0.258 	0.131 	0.154 	0.334 
019072 	0.263 	0.133 	0.152 	0.330 
019073 	0.269 	0.134 	0.153 	0.327 
019074 	0.275 	0.139 	0.152 	0.315 
019075 	0.282 	0.142 	0.151 	0.301 
019076 	0.289 	0.142 	0.153 	0.301 
019077 	0.295 	0.145 	0.152 	0.302 
019078 	0.301 	0.150 	0.150 	0.295 
019079 	0.312 	0.155 	0.148 	0.290 
019080 	0.320 	0.154 	0.147 	0.299 
019081 	0.326 	0.152 	0.146 	0.310 
019082 	0.331 	0.151 	0.147 	0.317 
019083 	0.335 	0.150 	0.146 	0.324 
019084 	0.339 	0.153 	0.148 	0.325 
019085 	0.346 	0.159 	0.147 	0.322 
019086 	0.353 	0.163 	0.147 	0.322 
019087 	0.356 	0.167 	0.146 	0.319 
019088 	0.350 	0.166 	0.158 	0.323 
019089 	0.354 	0.179 	0.156 	0.319 
019090 	0.354 	0.179 	0.156 	0.319 
019091 	0.360 	0.184 	0.155 	0.325 
019092 	0.364 	0.191 	0.154 	0.325 
019093 	0.366 	0.195 	0.152 	0.324 
019094 	0.369 	0.204 	0.149 	0.315 
019095 	0.369 	0.209 	0.143 	0.313 
019096 	0.373 	0.214 	0.140 	0.310 
019097 	0.371 	0.217 	0.141 	0.308 
019098 	0.367 	0.216 	0.142 	0.323 
019099 	0.365 	0.220 	0.141 	0.318 
019100 	0.367 	0.223 	0.138 	0.325 
019101 	0.368 	0.226 	0.134 	0.316 
019102 	0.366 	0.222 	0.132 	0.320 
019103 	0.373 	0.225 	0.125 	0.281 
019104 	0.371 	0.222 	0.125 	0.275 
019105 	0.367 	0.214 	0.125 	0.284 
019106 	0.366 	0.214 	0.123 	0.277 
019107 	0.366 	0.213 	0.122 	0.273 
019108 	0.368 	0.212 	0.119 	0.266 
019109 	0.368 	0.203 	0.116 	0.265 
019110 	0.363 	0.197 	0.117 	0.266 
019111 	0.356 	0.193 	0.119 	0.269 
019112 	0.350 	0.193 	0.119 	0.267 
019113 	0.347 	0.194 	0.118 	0.269 
019114 	0.345 	0.193 	0.119 	0.269 
019115 	0.345 	0.193 	0.119 	0.269 
019116 	0.345 	0.196 	0.117 	0.272 
019117 	0.343 	0.199 	0.115 	0.264 
019118 	0.344 	0.201 	0.109 	0.258 
019119 	0.342 	0.202 	0.107 	0.251 
019120 	0.339 	0.201 	0.111 	0.241 
019121 	0.341 	0.199 	0.112 	0.232 
019122 	0.341 	0.192 	0.116 	0.233 
019123 	0.347 	0.185 	0.113 	0.251 
019124 	0.349 	0.178 	0.114 	0.260 
019125 	0.352 	0.174 	0.112 	0.256 
019126 	0.357 	0.170 	0.109 	0.257 
019127 	0.358 	0.169 	0.109 	0.256 
019128 	0.357 	0.165 	0.110 	0.259 
019129 	0.357 	0.161 	0.109 	0.257 
019130 	0.355 	0.157 	0.111 	0.262 
019131 	0.351 	0.152 	0.113 	0.272 
019132 	0.349 	0.151 	0.116 	0.283 
019133 	0.349 	0.151 	0.114 	0.278 
019134 	0.349 	0.150 	0.112 	0.275 
019135 	0.346 	0.151 	0.113 	0.267 
019136 	0.343 	0.146 	0.112 	0.267 
019137 	0.340 	0.140 	0.111 	0.270 
019138 	0.338 	0.134 	0.114 	0.273 
019139 	0.338 	0.131 	0.113 	0.265 
019140 	0.338 	0.131 	0.113 	0.265 
019141 	0.339 	0.126 	0.114 	0.267 
019142 	0.340 	0.118 	0.114 	0.277 
019143 	0.338 	0.115 	0.118 	0.281 
019144 	0.338 	0.116 	0.117 	0.280 
019145 	0.338 	0.115 	0.117 	0.277 
019146 	0.337 	0.114 	0.117 	0.279 
019147 	0.335 	0.116 	0.116 	0.275 
019148 	0.333 	0.115 	0.116 	0.267 
019149 	0.333 	0.114 	0.115 	0.263 
019150 	0.330 	0.115 	0.116 	0.261 
019151 	0.332 	0.122 	0.115 	0.252 
019152 	0.336 	0.125 	0.112 	0.248 
019153 	0.331 	0.121 	0.120 	0.260 
019154 	0.332 	0.117 	0.120 	0.265 
019155 	0.335 	0.119 	0.121 	0.279 
019156 	0.338 	0.124 	0.123 	0.285 
019157 	0.343 	0.125 	0.119 	0.282 
019158 	0.346 	0.126 	0.120 	0.273 
019159 	0.348 	0.126 	0.119 	0.267 
019160 	0.354 	0.126 	0.114 	0.267 
019161 	0.356 	0.127 	0.114 	0.265 
019162 	0.359 	0.126 	0.112 	0.267 
019163 	0.362 	0.123 	0.110 	0.267 
019164 	0.361 	0.122 	0.109 	0.263 
019165 	0.361 	0.122 	0.109 	0.263 
019166 	0.359 	0.120 	0.108 	0.261 
019167 	0.359 	0.118 	0.103 	0.256 
