Text:  AND THE COURAGE TO PRESENT THOSE STORIES AND OPINIONS YOU COULD BE REWARDED WITH A ROOM FULL OF 
Conf:  5
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
019251 	0.279 	0.156 	0.096 	0.257 
019252 	0.278 	0.150 	0.099 	0.248 
019253 	0.275 	0.147 	0.100 	0.241 
019254 	0.265 	0.144 	0.102 	0.239 
019255 	0.264 	0.143 	0.104 	0.237 
019256 	0.262 	0.141 	0.105 	0.238 
019257 	0.263 	0.145 	0.103 	0.237 
019258 	0.265 	0.155 	0.102 	0.236 
019259 	0.273 	0.159 	0.099 	0.243 
019260 	0.272 	0.162 	0.103 	0.256 
019261 	0.274 	0.160 	0.105 	0.263 
019262 	0.275 	0.164 	0.104 	0.259 
019263 	0.276 	0.162 	0.104 	0.244 
019264 	0.273 	0.149 	0.106 	0.247 
019265 	0.273 	0.149 	0.106 	0.247 
019266 	0.271 	0.144 	0.105 	0.247 
019267 	0.263 	0.136 	0.111 	0.253 
019268 	0.260 	0.137 	0.110 	0.250 
019269 	0.257 	0.139 	0.110 	0.247 
019270 	0.255 	0.136 	0.111 	0.253 
019271 	0.256 	0.138 	0.108 	0.256 
019272 	0.257 	0.140 	0.108 	0.254 
019273 	0.258 	0.139 	0.106 	0.257 
019274 	0.259 	0.138 	0.106 	0.266 
019275 	0.263 	0.143 	0.103 	0.262 
019276 	0.263 	0.150 	0.104 	0.253 
019277 	0.269 	0.154 	0.102 	0.259 
019278 	0.274 	0.157 	0.101 	0.268 
019279 	0.276 	0.167 	0.101 	0.269 
019280 	0.279 	0.176 	0.100 	0.265 
019281 	0.281 	0.176 	0.098 	0.270 
019282 	0.282 	0.176 	0.098 	0.266 
019283 	0.282 	0.174 	0.097 	0.265 
019284 	0.281 	0.170 	0.099 	0.272 
019285 	0.279 	0.167 	0.097 	0.273 
019286 	0.278 	0.159 	0.098 	0.274 
019287 	0.276 	0.154 	0.098 	0.279 
019288 	0.271 	0.143 	0.101 	0.268 
019289 	0.265 	0.132 	0.106 	0.246 
019290 	0.265 	0.132 	0.106 	0.246 
019291 	0.261 	0.124 	0.107 	0.234 
019292 	0.258 	0.115 	0.111 	0.237 
019293 	0.258 	0.111 	0.111 	0.236 
019294 	0.261 	0.109 	0.111 	0.234 
019295 	0.266 	0.112 	0.112 	0.229 
019296 	0.271 	0.116 	0.111 	0.222 
019297 	0.275 	0.116 	0.112 	0.217 
019298 	0.282 	0.112 	0.111 	0.224 
019299 	0.287 	0.114 	0.113 	0.221 
019300 	0.292 	0.119 	0.108 	0.221 
019301 	0.297 	0.124 	0.108 	0.232 
019302 	0.298 	0.132 	0.108 	0.236 
019303 	0.293 	0.139 	0.111 	0.226 
019304 	0.284 	0.143 	0.115 	0.225 
019305 	0.266 	0.146 	0.122 	0.220 
019306 	0.253 	0.152 	0.120 	0.211 
019307 	0.234 	0.160 	0.122 	0.211 
019308 	0.218 	0.158 	0.122 	0.223 
019309 	0.210 	0.158 	0.120 	0.222 
019310 	0.199 	0.160 	0.115 	0.226 
019311 	0.197 	0.156 	0.112 	0.236 
019312 	0.197 	0.156 	0.113 	0.244 
019313 	0.204 	0.158 	0.108 	0.244 
019314 	0.210 	0.162 	0.110 	0.242 
019315 	0.210 	0.162 	0.110 	0.242 
019316 	0.221 	0.165 	0.107 	0.231 
019317 	0.230 	0.164 	0.108 	0.226 
019318 	0.240 	0.166 	0.105 	0.222 
019319 	0.246 	0.161 	0.104 	0.229 
019320 	0.253 	0.156 	0.104 	0.235 
019321 	0.258 	0.154 	0.104 	0.236 
019322 	0.260 	0.155 	0.106 	0.230 
019323 	0.261 	0.158 	0.113 	0.220 
019324 	0.270 	0.159 	0.114 	0.215 
019325 	0.280 	0.161 	0.109 	0.219 
019326 	0.291 	0.164 	0.107 	0.213 
019327 	0.299 	0.162 	0.111 	0.213 
019328 	0.309 	0.152 	0.113 	0.219 
019329 	0.313 	0.159 	0.117 	0.208 
019330 	0.314 	0.157 	0.120 	0.205 
019331 	0.320 	0.154 	0.119 	0.211 
019332 	0.323 	0.151 	0.119 	0.210 
019333 	0.323 	0.148 	0.118 	0.211 
019334 	0.322 	0.134 	0.112 	0.232 
019335 	0.322 	0.134 	0.113 	0.235 
019336 	0.323 	0.132 	0.112 	0.231 
019337 	0.324 	0.134 	0.114 	0.232 
019338 	0.326 	0.133 	0.114 	0.235 
019339 	0.330 	0.131 	0.114 	0.246 
019340 	0.330 	0.131 	0.114 	0.246 
019341 	0.335 	0.127 	0.115 	0.258 
019342 	0.339 	0.125 	0.118 	0.270 
019343 	0.342 	0.127 	0.119 	0.272 
019344 	0.350 	0.121 	0.116 	0.273 
019345 	0.353 	0.114 	0.115 	0.277 
019346 	0.355 	0.110 	0.112 	0.266 
019347 	0.355 	0.105 	0.113 	0.261 
019348 	0.354 	0.103 	0.115 	0.258 
019349 	0.354 	0.101 	0.115 	0.257 
019350 	0.351 	0.099 	0.116 	0.259 
019351 	0.351 	0.095 	0.114 	0.261 
019352 	0.350 	0.093 	0.114 	0.259 
019353 	0.349 	0.093 	0.111 	0.255 
019354 	0.349 	0.091 	0.111 	0.256 
019355 	0.351 	0.095 	0.112 	0.253 
019356 	0.356 	0.102 	0.109 	0.251 
019357 	0.357 	0.106 	0.107 	0.254 
019358 	0.360 	0.109 	0.103 	0.256 
019359 	0.360 	0.113 	0.102 	0.259 
019360 	0.357 	0.118 	0.104 	0.253 
019361 	0.356 	0.119 	0.101 	0.252 
019362 	0.351 	0.123 	0.102 	0.242 
019363 	0.345 	0.127 	0.100 	0.235 
019364 	0.339 	0.128 	0.099 	0.249 
019365 	0.339 	0.128 	0.099 	0.249 
019366 	0.335 	0.132 	0.098 	0.248 
019367 	0.331 	0.126 	0.098 	0.250 
019368 	0.326 	0.127 	0.101 	0.244 
019369 	0.325 	0.124 	0.102 	0.241 
