Text:  OR YOUR COMMUNITY WHO WILL LISTEN AND MAYBE EVEN A GIANT GIRL IN A HOODIE WHO WILL CONNECT WITH WHAT YOU'VE SHARED AND THAT IS AN 
Conf:  1
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
019406 	0.587 	0.140 	0.116 	0.280 
019407 	0.588 	0.124 	0.124 	0.284 
019408 	0.586 	0.123 	0.119 	0.294 
019409 	0.585 	0.130 	0.122 	0.295 
019410 	0.581 	0.136 	0.125 	0.295 
019411 	0.573 	0.142 	0.129 	0.293 
019412 	0.563 	0.139 	0.134 	0.293 
019413 	0.549 	0.137 	0.136 	0.290 
019414 	0.533 	0.130 	0.138 	0.291 
019415 	0.533 	0.130 	0.138 	0.291 
019416 	0.521 	0.128 	0.146 	0.286 
019417 	0.512 	0.134 	0.132 	0.276 
019418 	0.492 	0.153 	0.133 	0.282 
019419 	0.476 	0.167 	0.133 	0.275 
019420 	0.463 	0.139 	0.140 	0.302 
019421 	0.462 	0.135 	0.129 	0.309 
019422 	0.452 	0.138 	0.130 	0.298 
019423 	0.445 	0.127 	0.133 	0.306 
019424 	0.443 	0.118 	0.134 	0.314 
019425 	0.444 	0.113 	0.135 	0.311 
019426 	0.444 	0.115 	0.136 	0.309 
019427 	0.447 	0.117 	0.137 	0.311 
019428 	0.449 	0.119 	0.139 	0.326 
019429 	0.450 	0.123 	0.140 	0.334 
019430 	0.447 	0.123 	0.143 	0.340 
019431 	0.444 	0.125 	0.144 	0.341 
019432 	0.439 	0.125 	0.148 	0.351 
019433 	0.432 	0.120 	0.150 	0.358 
019434 	0.424 	0.117 	0.152 	0.355 
019435 	0.419 	0.115 	0.151 	0.351 
019436 	0.414 	0.110 	0.153 	0.354 
019437 	0.410 	0.102 	0.154 	0.361 
019438 	0.407 	0.093 	0.155 	0.367 
019439 	0.406 	0.082 	0.154 	0.374 
019440 	0.406 	0.082 	0.154 	0.374 
019441 	0.404 	0.072 	0.155 	0.368 
019442 	0.404 	0.065 	0.153 	0.361 
019443 	0.406 	0.059 	0.150 	0.333 
019444 	0.406 	0.051 	0.147 	0.333 
019445 	0.402 	0.042 	0.157 	0.320 
019446 	0.399 	0.039 	0.160 	0.316 
019447 	0.400 	0.039 	0.162 	0.310 
019448 	0.401 	0.040 	0.158 	0.310 
019449 	0.402 	0.036 	0.159 	0.324 
019450 	0.403 	0.034 	0.160 	0.341 
019451 	0.401 	0.033 	0.165 	0.351 
019452 	0.396 	0.030 	0.167 	0.373 
019453 	0.391 	0.034 	0.171 	0.370 
019454 	0.383 	0.029 	0.171 	0.376 
019455 	0.378 	0.033 	0.168 	0.372 
019456 	0.367 	0.042 	0.171 	0.374 
019457 	0.357 	0.054 	0.170 	0.386 
019458 	0.344 	0.064 	0.173 	0.382 
019459 	0.332 	0.074 	0.177 	0.383 
019460 	0.313 	0.073 	0.194 	0.392 
019461 	0.316 	0.079 	0.178 	0.381 
019462 	0.307 	0.072 	0.176 	0.383 
019463 	0.288 	0.045 	0.187 	0.412 
019464 	0.285 	0.035 	0.188 	0.415 
019465 	0.285 	0.035 	0.188 	0.415 
019466 	0.288 	0.027 	0.186 	0.418 
019467 	0.293 	0.019 	0.183 	0.430 
019468 	0.313 	0.029 	0.166 	0.417 
019469 	0.321 	0.027 	0.166 	0.417 
019470 	0.324 	0.028 	0.175 	0.402 
019471 	0.325 	0.028 	0.182 	0.384 
019472 	0.331 	0.035 	0.182 	0.385 
019473 	0.338 	0.044 	0.173 	0.403 
019474 	0.340 	0.052 	0.169 	0.425 
019475 	0.337 	0.076 	0.177 	0.417 
019476 	0.327 	0.091 	0.179 	0.408 
019477 	0.309 	0.096 	0.183 	0.392 
019478 	0.297 	0.097 	0.182 	0.383 
019479 	0.288 	0.104 	0.178 	0.374 
019480 	0.292 	0.119 	0.173 	0.393 
019481 	0.285 	0.118 	0.178 	0.430 
019482 	0.274 	0.137 	0.179 	0.420 
019483 	0.260 	0.144 	0.186 	0.426 
019484 	0.255 	0.153 	0.178 	0.396 
019485 	0.239 	0.155 	0.181 	0.382 
019486 	0.219 	0.158 	0.189 	0.375 
019487 	0.218 	0.164 	0.183 	0.383 
019488 	0.215 	0.177 	0.179 	0.398 
019489 	0.221 	0.192 	0.176 	0.412 
019490 	0.221 	0.192 	0.176 	0.412 
019491 	0.212 	0.215 	0.196 	0.413 
019492 	0.246 	0.213 	0.178 	0.416 
019493 	0.261 	0.201 	0.178 	0.405 
019494 	0.273 	0.186 	0.182 	0.393 
019495 	0.282 	0.177 	0.180 	0.387 
019496 	0.293 	0.178 	0.172 	0.409 
019497 	0.298 	0.180 	0.181 	0.433 
019498 	0.312 	0.181 	0.183 	0.439 
019499 	0.318 	0.181 	0.187 	0.433 
019500 	0.333 	0.197 	0.179 	0.418 
019501 	0.349 	0.208 	0.172 	0.413 
019502 	0.353 	0.221 	0.171 	0.406 
