Text:  WRITING THE SAME POEM OR KEEP TELLING THE SAME STORY OVER AND OVER ONCE YOU'VE FIGURED OUT THAT IT WILL GAIN YOU APPLAUSE IT'S NOT ENOUGH TO JUST TEACH THAT YOU CAN EXPRESS YOURSELF YOU HAVE TO 
Conf:  2
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
020173 	0.287 	0.081 	0.067 	0.152 
020174 	0.290 	0.085 	0.069 	0.148 
020175 	0.296 	0.084 	0.067 	0.159 
020176 	0.301 	0.085 	0.066 	0.156 
020177 	0.304 	0.087 	0.067 	0.150 
020178 	0.306 	0.086 	0.068 	0.152 
020179 	0.309 	0.087 	0.067 	0.150 
020180 	0.312 	0.090 	0.066 	0.150 
020181 	0.315 	0.097 	0.067 	0.146 
020182 	0.318 	0.100 	0.067 	0.146 
020183 	0.322 	0.104 	0.064 	0.146 
020184 	0.325 	0.107 	0.065 	0.145 
020185 	0.329 	0.114 	0.063 	0.144 
020186 	0.330 	0.117 	0.066 	0.147 
020187 	0.332 	0.117 	0.065 	0.148 
020188 	0.333 	0.116 	0.067 	0.148 
020189 	0.335 	0.115 	0.065 	0.146 
020190 	0.335 	0.115 	0.065 	0.146 
020191 	0.335 	0.112 	0.068 	0.149 
020192 	0.336 	0.113 	0.068 	0.152 
020193 	0.337 	0.113 	0.068 	0.155 
020194 	0.338 	0.114 	0.066 	0.155 
020195 	0.338 	0.113 	0.066 	0.154 
020196 	0.339 	0.113 	0.066 	0.154 
020197 	0.339 	0.112 	0.066 	0.154 
020198 	0.339 	0.112 	0.067 	0.154 
020199 	0.339 	0.113 	0.066 	0.154 
020200 	0.339 	0.112 	0.067 	0.152 
020201 	0.339 	0.113 	0.067 	0.151 
020202 	0.340 	0.112 	0.066 	0.155 
020203 	0.339 	0.111 	0.066 	0.158 
020204 	0.339 	0.110 	0.065 	0.161 
020205 	0.340 	0.110 	0.065 	0.159 
020206 	0.340 	0.111 	0.064 	0.155 
020207 	0.339 	0.108 	0.066 	0.156 
020208 	0.338 	0.108 	0.067 	0.153 
020209 	0.338 	0.106 	0.065 	0.151 
020210 	0.337 	0.103 	0.066 	0.157 
020211 	0.337 	0.101 	0.066 	0.160 
020212 	0.338 	0.101 	0.066 	0.153 
020213 	0.339 	0.101 	0.066 	0.152 
020214 	0.337 	0.103 	0.066 	0.151 
020215 	0.337 	0.103 	0.066 	0.151 
020216 	0.336 	0.100 	0.068 	0.159 
020217 	0.337 	0.098 	0.065 	0.158 
020218 	0.338 	0.097 	0.066 	0.158 
020219 	0.339 	0.099 	0.067 	0.159 
020220 	0.340 	0.102 	0.066 	0.158 
020221 	0.339 	0.101 	0.065 	0.150 
020222 	0.338 	0.099 	0.065 	0.151 
020223 	0.338 	0.098 	0.065 	0.151 
020224 	0.342 	0.099 	0.062 	0.153 
