Text:  AND EXPLORE AND TAKE RISKS AND CHALLENGE YOURSELF AND THAT IS STEP THREE INFUSING THE WORK YOU'RE DOING WITH THE SPECIFIC THINGS THAT MAKE YOU YOU EVEN WHILE THOSE THINGS ARE ALWAYS CHANGING BECAUSE STEP THREE 
Conf:  4
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
020420 	0.315 	0.138 	0.169 	0.423 
020421 	0.305 	0.135 	0.173 	0.433 
020422 	0.301 	0.139 	0.172 	0.426 
020423 	0.298 	0.140 	0.174 	0.421 
020424 	0.298 	0.142 	0.175 	0.418 
020425 	0.301 	0.150 	0.175 	0.414 
020426 	0.309 	0.155 	0.177 	0.412 
020427 	0.316 	0.165 	0.177 	0.411 
020428 	0.323 	0.166 	0.172 	0.417 
020429 	0.328 	0.164 	0.173 	0.430 
020430 	0.331 	0.163 	0.174 	0.431 
020431 	0.333 	0.162 	0.174 	0.428 
020432 	0.333 	0.159 	0.174 	0.433 
020433 	0.327 	0.146 	0.174 	0.444 
020434 	0.325 	0.140 	0.171 	0.448 
020435 	0.323 	0.135 	0.170 	0.443 
020436 	0.316 	0.136 	0.174 	0.425 
020437 	0.307 	0.135 	0.173 	0.414 
020438 	0.298 	0.133 	0.174 	0.409 
020439 	0.290 	0.134 	0.176 	0.410 
020440 	0.290 	0.134 	0.176 	0.410 
020441 	0.287 	0.121 	0.174 	0.426 
020442 	0.286 	0.119 	0.173 	0.433 
020443 	0.288 	0.124 	0.175 	0.429 
020444 	0.291 	0.127 	0.175 	0.428 
020445 	0.296 	0.151 	0.176 	0.401 
020446 	0.303 	0.163 	0.174 	0.404 
020447 	0.311 	0.182 	0.175 	0.401 
020448 	0.319 	0.186 	0.175 	0.429 
020449 	0.325 	0.204 	0.177 	0.423 
020450 	0.332 	0.212 	0.176 	0.414 
020451 	0.335 	0.211 	0.174 	0.419 
020452 	0.334 	0.212 	0.176 	0.417 
020453 	0.334 	0.211 	0.177 	0.414 
020454 	0.333 	0.206 	0.177 	0.419 
020455 	0.333 	0.201 	0.177 	0.417 
020456 	0.332 	0.194 	0.179 	0.419 
020457 	0.330 	0.188 	0.178 	0.424 
020458 	0.327 	0.180 	0.177 	0.434 
020459 	0.323 	0.163 	0.172 	0.447 
020460 	0.321 	0.155 	0.173 	0.453 
020461 	0.318 	0.155 	0.173 	0.450 
020462 	0.318 	0.153 	0.169 	0.457 
020463 	0.318 	0.154 	0.169 	0.457 
020464 	0.320 	0.153 	0.169 	0.454 
020465 	0.320 	0.153 	0.169 	0.454 
020466 	0.322 	0.168 	0.170 	0.422 
020467 	0.327 	0.163 	0.167 	0.420 
020468 	0.332 	0.152 	0.164 	0.434 
020469 	0.341 	0.148 	0.159 	0.442 
020470 	0.347 	0.140 	0.158 	0.441 
020471 	0.352 	0.135 	0.152 	0.458 
020472 	0.356 	0.130 	0.150 	0.437 
020473 	0.360 	0.128 	0.153 	0.424 
020474 	0.365 	0.126 	0.148 	0.415 
020475 	0.370 	0.124 	0.145 	0.407 
020476 	0.371 	0.123 	0.146 	0.412 
