Text:  WORK SHE'S DOING SHE CAN CREATE POEMS THAT ONLY CHARLOTTE CAN WRITE ABOUT EYEBALLS AND ELEVATORS AND DORA THE EXPLORER AND I'M TRYING TO TELL STORIES ONLY I CAN TELL LIKE THIS STORY I SPENT A LOT OF TIME THINKING ABOUT THE BEST WAY TO TELL THIS STORY AND I WONDERED IF THE BEST WAY WAS GOING TO BE A POWERPOINT A SHORT FILM AND WHERE EXACTLY WAS THE BEGINNING THE MIDDLE OR THE END I WONDERED WHETHER I'D GET TO THE END OF THIS TALK AND FINALLY HAVE FIGURED IT ALL OUT OR NOT AND I ALWAYS THOUGHT THAT MY BEGINNING WAS AT THE BOWERY POETRY CLUB BUT IT'S POSSIBLE THAT IT WAS MUCH EARLIER IN PREPARING FOR TED I DISCOVERED THIS 
Conf:  4
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
021254 	0.473 	0.224 	0.148 	0.393 
021255 	0.485 	0.199 	0.147 	0.407 
021256 	0.493 	0.184 	0.151 	0.418 
021257 	0.504 	0.177 	0.154 	0.421 
021258 	0.520 	0.182 	0.149 	0.408 
021259 	0.534 	0.178 	0.145 	0.395 
021260 	0.546 	0.172 	0.144 	0.409 
021261 	0.556 	0.167 	0.147 	0.408 
021262 	0.571 	0.166 	0.145 	0.412 
021263 	0.582 	0.168 	0.143 	0.406 
021264 	0.589 	0.169 	0.144 	0.400 
021265 	0.589 	0.169 	0.144 	0.400 
021266 	0.600 	0.166 	0.147 	0.404 
021267 	0.612 	0.164 	0.145 	0.403 
021268 	0.618 	0.159 	0.147 	0.403 
021269 	0.627 	0.162 	0.146 	0.401 
021270 	0.635 	0.158 	0.144 	0.403 
021271 	0.638 	0.149 	0.143 	0.426 
021272 	0.640 	0.147 	0.142 	0.434 
021273 	0.642 	0.147 	0.141 	0.428 
021274 	0.643 	0.146 	0.140 	0.432 
021275 	0.641 	0.143 	0.139 	0.431 
021276 	0.640 	0.142 	0.138 	0.425 
021277 	0.641 	0.142 	0.133 	0.427 
021278 	0.636 	0.139 	0.137 	0.425 
021279 	0.635 	0.140 	0.134 	0.422 
021280 	0.633 	0.145 	0.131 	0.401 
021281 	0.624 	0.147 	0.134 	0.397 
021282 	0.616 	0.148 	0.133 	0.394 
021283 	0.606 	0.146 	0.131 	0.390 
021284 	0.593 	0.148 	0.131 	0.380 
021285 	0.587 	0.144 	0.128 	0.391 
021286 	0.582 	0.135 	0.127 	0.393 
021287 	0.573 	0.139 	0.128 	0.386 
021288 	0.566 	0.141 	0.133 	0.386 
021289 	0.554 	0.138 	0.129 	0.395 
021290 	0.554 	0.138 	0.129 	0.395 
021291 	0.547 	0.141 	0.127 	0.395 
021292 	0.546 	0.138 	0.125 	0.406 
021293 	0.548 	0.137 	0.123 	0.410 
021294 	0.548 	0.142 	0.124 	0.411 
021295 	0.549 	0.151 	0.126 	0.408 
021296 	0.548 	0.161 	0.127 	0.393 
021297 	0.544 	0.155 	0.126 	0.403 
021298 	0.542 	0.152 	0.126 	0.407 
021299 	0.538 	0.142 	0.127 	0.404 
021300 	0.534 	0.139 	0.133 	0.407 
021301 	0.531 	0.137 	0.136 	0.410 
021302 	0.528 	0.139 	0.135 	0.422 
021303 	0.524 	0.135 	0.138 	0.435 
021304 	0.521 	0.130 	0.139 	0.446 
021305 	0.515 	0.131 	0.141 	0.427 
021306 	0.509 	0.129 	0.141 	0.427 
021307 	0.502 	0.131 	0.144 	0.417 
021308 	0.491 	0.126 	0.146 	0.414 
021309 	0.485 	0.127 	0.145 	0.410 
021310 	0.478 	0.127 	0.147 	0.397 
021311 	0.474 	0.119 	0.148 	0.405 
021312 	0.467 	0.114 	0.155 	0.414 
021313 	0.465 	0.110 	0.158 	0.420 
021314 	0.465 	0.106 	0.157 	0.422 
021315 	0.465 	0.106 	0.157 	0.422 
021316 	0.465 	0.096 	0.157 	0.438 
021317 	0.467 	0.085 	0.158 	0.445 
021318 	0.471 	0.084 	0.154 	0.451 
021319 	0.474 	0.081 	0.153 	0.441 
021320 	0.476 	0.089 	0.153 	0.421 
021321 	0.478 	0.090 	0.154 	0.417 
021322 	0.475 	0.093 	0.157 	0.398 
021323 	0.479 	0.095 	0.153 	0.402 
021324 	0.482 	0.098 	0.152 	0.411 
021325 	0.487 	0.105 	0.152 	0.416 
021326 	0.490 	0.109 	0.149 	0.423 
021327 	0.491 	0.107 	0.150 	0.424 
021328 	0.492 	0.111 	0.151 	0.423 
021329 	0.489 	0.125 	0.155 	0.421 
021330 	0.486 	0.128 	0.158 	0.440 
021331 	0.482 	0.132 	0.160 	0.443 
021332 	0.480 	0.133 	0.163 	0.435 
021333 	0.478 	0.133 	0.168 	0.432 
021334 	0.478 	0.138 	0.169 	0.427 
021335 	0.478 	0.141 	0.171 	0.422 
021336 	0.479 	0.150 	0.170 	0.421 
021337 	0.481 	0.160 	0.169 	0.416 
021338 	0.482 	0.165 	0.166 	0.412 
021339 	0.481 	0.166 	0.169 	0.422 
021340 	0.481 	0.166 	0.169 	0.422 
021341 	0.477 	0.167 	0.169 	0.428 
021342 	0.473 	0.166 	0.173 	0.436 
021343 	0.466 	0.158 	0.171 	0.463 
021344 	0.467 	0.162 	0.170 	0.467 
021345 	0.466 	0.163 	0.171 	0.464 
021346 	0.466 	0.166 	0.171 	0.455 
021347 	0.464 	0.164 	0.172 	0.453 
021348 	0.462 	0.159 	0.173 	0.459 
021349 	0.462 	0.157 	0.171 	0.460 
021350 	0.461 	0.159 	0.172 	0.460 
021351 	0.460 	0.159 	0.171 	0.462 
021352 	0.462 	0.158 	0.171 	0.466 
021353 	0.461 	0.152 	0.169 	0.474 
021354 	0.459 	0.151 	0.172 	0.476 
021355 	0.455 	0.153 	0.176 	0.454 
021356 	0.457 	0.163 	0.176 	0.430 
021357 	0.455 	0.156 	0.176 	0.432 
021358 	0.453 	0.147 	0.176 	0.434 
021359 	0.451 	0.139 	0.175 	0.441 
021360 	0.444 	0.119 	0.178 	0.470 
021361 	0.442 	0.120 	0.176 	0.476 
021362 	0.442 	0.129 	0.178 	0.467 
021363 	0.442 	0.139 	0.176 	0.463 
021364 	0.451 	0.173 	0.167 	0.441 
021365 	0.451 	0.173 	0.167 	0.441 
021366 	0.457 	0.196 	0.164 	0.424 
021367 	0.460 	0.206 	0.157 	0.423 
021368 	0.461 	0.221 	0.151 	0.424 
021369 	0.454 	0.221 	0.152 	0.433 
021370 	0.444 	0.225 	0.150 	0.421 
021371 	0.434 	0.227 	0.150 	0.423 
021372 	0.426 	0.231 	0.148 	0.405 
021373 	0.415 	0.229 	0.148 	0.395 
021374 	0.401 	0.216 	0.152 	0.403 
021375 	0.392 	0.207 	0.152 	0.405 
021376 	0.387 	0.196 	0.145 	0.414 
021377 	0.388 	0.186 	0.138 	0.411 
021378 	0.391 	0.183 	0.136 	0.408 
021379 	0.394 	0.182 	0.131 	0.406 
021380 	0.396 	0.183 	0.127 	0.394 
021381 	0.401 	0.194 	0.120 	0.392 
021382 	0.401 	0.193 	0.116 	0.388 
021383 	0.393 	0.197 	0.115 	0.389 
021384 	0.392 	0.192 	0.113 	0.409 
021385 	0.387 	0.195 	0.113 	0.404 
021386 	0.383 	0.193 	0.114 	0.418 
021387 	0.377 	0.203 	0.114 	0.417 
021388 	0.374 	0.201 	0.115 	0.422 
021389 	0.365 	0.212 	0.119 	0.404 
021390 	0.365 	0.212 	0.119 	0.404 
021391 	0.357 	0.210 	0.120 	0.410 
021392 	0.346 	0.211 	0.119 	0.410 
021393 	0.330 	0.207 	0.122 	0.408 
021394 	0.319 	0.214 	0.126 	0.411 
021395 	0.310 	0.204 	0.132 	0.395 
021396 	0.292 	0.206 	0.138 	0.394 
021397 	0.280 	0.210 	0.130 	0.394 
021398 	0.267 	0.202 	0.134 	0.413 
