Text:  TURNED TO ASH AND WHAT WAS LEFT OF THE CITY SOON FOLLOWED THE LONG LASTING DAMAGE OF NUCLEAR 
Conf:  4
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
023084 	0.304 	0.175 	0.110 	0.209 
023085 	0.305 	0.175 	0.109 	0.207 
023086 	0.305 	0.173 	0.103 	0.217 
023087 	0.302 	0.172 	0.104 	0.217 
023088 	0.300 	0.175 	0.110 	0.210 
023089 	0.301 	0.172 	0.102 	0.215 
023090 	0.301 	0.172 	0.102 	0.215 
023091 	0.297 	0.175 	0.100 	0.218 
023092 	0.297 	0.174 	0.100 	0.233 
023093 	0.295 	0.175 	0.102 	0.241 
023094 	0.293 	0.174 	0.101 	0.243 
023095 	0.293 	0.170 	0.101 	0.248 
023096 	0.293 	0.171 	0.102 	0.246 
023097 	0.293 	0.172 	0.103 	0.240 
023098 	0.291 	0.172 	0.102 	0.231 
023099 	0.290 	0.171 	0.103 	0.232 
023100 	0.288 	0.169 	0.104 	0.231 
023101 	0.287 	0.169 	0.105 	0.230 
023102 	0.286 	0.170 	0.105 	0.233 
023103 	0.285 	0.168 	0.106 	0.234 
023104 	0.284 	0.167 	0.107 	0.235 
023105 	0.284 	0.166 	0.105 	0.237 
023106 	0.283 	0.165 	0.106 	0.239 
023107 	0.283 	0.163 	0.106 	0.239 
023108 	0.284 	0.162 	0.106 	0.236 
023109 	0.284 	0.158 	0.107 	0.238 
023110 	0.284 	0.158 	0.107 	0.240 
023111 	0.284 	0.155 	0.106 	0.249 
023112 	0.283 	0.154 	0.108 	0.257 
023113 	0.285 	0.155 	0.108 	0.256 
023114 	0.286 	0.159 	0.107 	0.261 
023115 	0.286 	0.159 	0.107 	0.261 
023116 	0.287 	0.156 	0.107 	0.265 
023117 	0.289 	0.153 	0.105 	0.251 
023118 	0.291 	0.142 	0.114 	0.252 
023119 	0.290 	0.144 	0.119 	0.238 
023120 	0.294 	0.129 	0.122 	0.276 
023121 	0.293 	0.135 	0.116 	0.273 
023122 	0.292 	0.129 	0.115 	0.279 
023123 	0.297 	0.128 	0.109 	0.296 
023124 	0.307 	0.137 	0.107 	0.284 
023125 	0.306 	0.130 	0.105 	0.248 
023126 	0.307 	0.130 	0.103 	0.247 
023127 	0.306 	0.126 	0.104 	0.252 
023128 	0.308 	0.127 	0.104 	0.264 
023129 	0.313 	0.123 	0.102 	0.261 
023130 	0.313 	0.121 	0.103 	0.265 
023131 	0.313 	0.119 	0.104 	0.259 
023132 	0.312 	0.116 	0.105 	0.260 
023133 	0.311 	0.111 	0.107 	0.253 
023134 	0.308 	0.108 	0.108 	0.261 
023135 	0.303 	0.108 	0.108 	0.266 
023136 	0.301 	0.111 	0.106 	0.259 
023137 	0.301 	0.109 	0.104 	0.262 
023138 	0.299 	0.107 	0.105 	0.266 
023139 	0.295 	0.103 	0.109 	0.275 
023140 	0.295 	0.103 	0.109 	0.275 
023141 	0.298 	0.099 	0.107 	0.264 
023142 	0.299 	0.104 	0.103 	0.231 
023143 	0.297 	0.104 	0.102 	0.225 
023144 	0.291 	0.104 	0.110 	0.203 
023145 	0.291 	0.102 	0.109 	0.199 
023146 	0.288 	0.097 	0.106 	0.231 
023147 	0.273 	0.092 	0.110 	0.243 
023148 	0.265 	0.101 	0.124 	0.230 
023149 	0.284 	0.100 	0.106 	0.246 
023150 	0.284 	0.100 	0.110 	0.249 
023151 	0.283 	0.102 	0.111 	0.246 
023152 	0.281 	0.099 	0.113 	0.237 
023153 	0.280 	0.098 	0.111 	0.233 
023154 	0.284 	0.099 	0.110 	0.229 
023155 	0.284 	0.098 	0.109 	0.238 
023156 	0.285 	0.101 	0.110 	0.252 
023157 	0.285 	0.107 	0.111 	0.254 
023158 	0.287 	0.118 	0.111 	0.253 
023159 	0.287 	0.121 	0.112 	0.260 
023160 	0.288 	0.125 	0.114 	0.256 
023161 	0.288 	0.127 	0.117 	0.253 
023162 	0.289 	0.128 	0.117 	0.253 
023163 	0.292 	0.127 	0.117 	0.258 
023164 	0.294 	0.125 	0.118 	0.263 
023165 	0.294 	0.125 	0.118 	0.263 
023166 	0.298 	0.126 	0.117 	0.265 
023167 	0.301 	0.126 	0.115 	0.268 
023168 	0.302 	0.128 	0.117 	0.271 
023169 	0.307 	0.130 	0.113 	0.259 
023170 	0.309 	0.130 	0.112 	0.251 
023171 	0.312 	0.124 	0.110 	0.253 
023172 	0.312 	0.122 	0.110 	0.248 
023173 	0.316 	0.116 	0.106 	0.240 
023174 	0.320 	0.106 	0.105 	0.245 
023175 	0.323 	0.104 	0.109 	0.252 
023176 	0.325 	0.097 	0.109 	0.250 
023177 	0.325 	0.091 	0.111 	0.247 
023178 	0.325 	0.081 	0.111 	0.249 
023179 	0.327 	0.079 	0.109 	0.251 
023180 	0.329 	0.076 	0.109 	0.264 
023181 	0.330 	0.072 	0.110 	0.284 
023182 	0.330 	0.075 	0.110 	0.280 
023183 	0.329 	0.082 	0.111 	0.269 
023184 	0.331 	0.087 	0.109 	0.267 
023185 	0.329 	0.089 	0.108 	0.271 
023186 	0.327 	0.092 	0.110 	0.267 
023187 	0.325 	0.090 	0.109 	0.275 
023188 	0.324 	0.091 	0.109 	0.276 
023189 	0.323 	0.091 	0.110 	0.281 
023190 	0.323 	0.091 	0.110 	0.281 
023191 	0.322 	0.097 	0.109 	0.281 
023192 	0.320 	0.098 	0.111 	0.282 
023193 	0.321 	0.099 	0.111 	0.278 
023194 	0.322 	0.101 	0.109 	0.273 
023195 	0.329 	0.109 	0.107 	0.264 
023196 	0.338 	0.139 	0.096 	0.236 
023197 	0.342 	0.163 	0.093 	0.235 
023198 	0.339 	0.168 	0.099 	0.254 
023199 	0.340 	0.177 	0.100 	0.250 
023200 	0.340 	0.178 	0.101 	0.259 
023201 	0.339 	0.179 	0.101 	0.256 
023202 	0.342 	0.181 	0.098 	0.245 
023203 	0.342 	0.180 	0.097 	0.237 
023204 	0.340 	0.179 	0.095 	0.225 
023205 	0.342 	0.188 	0.087 	0.192 
023206 	0.329 	0.191 	0.099 	0.203 
023207 	0.327 	0.195 	0.091 	0.187 
023208 	0.325 	0.199 	0.091 	0.181 
023209 	0.337 	0.209 	0.082 	0.193 
023210 	0.331 	0.217 	0.082 	0.183 
023211 	0.324 	0.225 	0.081 	0.173 
023212 	0.341 	0.230 	0.077 	0.184 
023213 	0.346 	0.244 	0.072 	0.182 
023214 	0.346 	0.249 	0.073 	0.186 
023215 	0.346 	0.249 	0.073 	0.186 

WORD START END ASDSCORE
TURNED 0.06 0.32 3.1
TO 0.32 0.41 5.1
ASH 0.41 0.84 10.6
AND 1.20 1.32 6.6
WHAT 1.32 1.42 7.5
WAS 1.42 1.55 7.5
LEFT 1.55 1.84 1.7
OF 1.84 1.92 0.2
THE 1.92 1.98 0.3
CITY 1.98 2.36 0.3
SOON 2.47 2.81 -0.1
FOLLOWED 2.81 3.28 3.7
THE 3.50 3.59 3.3
LONG 3.59 3.83 5.5
LASTING 3.83 4.29 9.2
DAMAGE 4.29 4.64 4.7
OF 4.64 4.72 0.8
NUCLEAR 4.72 5.15 -0.9
