Text:  I HAVE OLD EYES WHEN MY GRANDPA GENJI DIED I WAS ONLY FIVE YEARS OLD BUT I TOOK MY MOM BY THE HAND AND TOLD 
Conf:  3
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
023555 	0.332 	0.099 	0.063 	0.176 
023556 	0.332 	0.096 	0.061 	0.183 
023557 	0.333 	0.103 	0.060 	0.177 
023558 	0.334 	0.108 	0.059 	0.170 
023559 	0.334 	0.116 	0.060 	0.162 
023560 	0.336 	0.121 	0.058 	0.158 
023561 	0.336 	0.123 	0.058 	0.160 
023562 	0.336 	0.125 	0.058 	0.160 
023563 	0.335 	0.130 	0.059 	0.156 
023564 	0.335 	0.129 	0.059 	0.156 
023565 	0.335 	0.129 	0.059 	0.156 
023566 	0.333 	0.133 	0.059 	0.152 
023567 	0.333 	0.134 	0.059 	0.154 
023568 	0.332 	0.136 	0.059 	0.152 
023569 	0.331 	0.139 	0.058 	0.152 
023570 	0.330 	0.135 	0.057 	0.165 
023571 	0.330 	0.138 	0.055 	0.162 
023572 	0.331 	0.140 	0.053 	0.161 
023573 	0.329 	0.141 	0.055 	0.165 
023574 	0.328 	0.146 	0.054 	0.158 
023575 	0.327 	0.147 	0.053 	0.157 
023576 	0.326 	0.149 	0.052 	0.152 
023577 	0.325 	0.153 	0.053 	0.150 
023578 	0.323 	0.153 	0.055 	0.150 
023579 	0.322 	0.152 	0.054 	0.154 
023580 	0.322 	0.159 	0.053 	0.144 
023581 	0.322 	0.156 	0.053 	0.149 
023582 	0.320 	0.156 	0.054 	0.148 
023583 	0.320 	0.157 	0.055 	0.149 
023584 	0.318 	0.155 	0.057 	0.153 
023585 	0.319 	0.156 	0.055 	0.151 
023586 	0.319 	0.157 	0.056 	0.156 
023587 	0.317 	0.157 	0.058 	0.155 
023588 	0.319 	0.156 	0.056 	0.156 
023589 	0.318 	0.155 	0.056 	0.158 
023590 	0.318 	0.155 	0.056 	0.158 
023591 	0.318 	0.154 	0.055 	0.158 
023592 	0.319 	0.154 	0.053 	0.157 
023593 	0.313 	0.149 	0.058 	0.154 
023594 	0.309 	0.136 	0.059 	0.163 
023595 	0.303 	0.130 	0.062 	0.170 
023596 	0.296 	0.124 	0.066 	0.178 
023597 	0.291 	0.123 	0.068 	0.175 
023598 	0.286 	0.121 	0.068 	0.172 
023599 	0.284 	0.115 	0.070 	0.180 
023600 	0.283 	0.111 	0.068 	0.174 
023601 	0.282 	0.107 	0.068 	0.176 
023602 	0.281 	0.104 	0.065 	0.180 
023603 	0.281 	0.105 	0.066 	0.178 
023604 	0.280 	0.104 	0.066 	0.179 
023605 	0.282 	0.104 	0.065 	0.180 
023606 	0.283 	0.106 	0.066 	0.180 
023607 	0.283 	0.107 	0.066 	0.180 
023608 	0.286 	0.110 	0.064 	0.176 
023609 	0.287 	0.112 	0.064 	0.172 
023610 	0.287 	0.112 	0.066 	0.174 
023611 	0.288 	0.113 	0.065 	0.168 
023612 	0.289 	0.112 	0.064 	0.167 
023613 	0.289 	0.112 	0.066 	0.168 
023614 	0.290 	0.112 	0.066 	0.164 
023615 	0.290 	0.112 	0.066 	0.164 
023616 	0.291 	0.107 	0.065 	0.170 
023617 	0.293 	0.105 	0.067 	0.170 
023618 	0.294 	0.105 	0.068 	0.167 
023619 	0.298 	0.104 	0.066 	0.170 
023620 	0.301 	0.105 	0.064 	0.171 
023621 	0.305 	0.102 	0.063 	0.175 
023622 	0.308 	0.100 	0.063 	0.175 
023623 	0.310 	0.100 	0.062 	0.177 
023624 	0.312 	0.100 	0.061 	0.179 
023625 	0.314 	0.100 	0.062 	0.182 
023626 	0.317 	0.099 	0.064 	0.179 
023627 	0.320 	0.101 	0.064 	0.183 
023628 	0.322 	0.102 	0.065 	0.178 
023629 	0.325 	0.105 	0.066 	0.165 
