Text:  SOMEONE WHO'S APPARENTLY DONE THIS ALREADY I STILL HAVEN'T FIGURED ANYTHING 
Conf:  2
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
023801 	0.384 	0.231 	0.056 	0.132 
023802 	0.384 	0.229 	0.058 	0.134 
023803 	0.385 	0.228 	0.056 	0.136 
023804 	0.387 	0.225 	0.058 	0.135 
023805 	0.387 	0.218 	0.057 	0.133 
023806 	0.388 	0.213 	0.057 	0.133 
023807 	0.387 	0.208 	0.057 	0.137 
023808 	0.386 	0.208 	0.056 	0.134 
023809 	0.385 	0.204 	0.056 	0.135 
023810 	0.384 	0.202 	0.056 	0.132 
023811 	0.382 	0.199 	0.057 	0.128 
023812 	0.380 	0.198 	0.058 	0.128 
023813 	0.376 	0.191 	0.061 	0.137 
023814 	0.375 	0.189 	0.061 	0.138 
023815 	0.375 	0.189 	0.061 	0.138 
023816 	0.373 	0.188 	0.060 	0.137 
023817 	0.368 	0.182 	0.063 	0.140 
023818 	0.370 	0.179 	0.059 	0.150 
023819 	0.369 	0.182 	0.057 	0.143 
023820 	0.366 	0.179 	0.056 	0.139 
023821 	0.365 	0.180 	0.056 	0.134 
023822 	0.362 	0.178 	0.057 	0.134 
023823 	0.363 	0.178 	0.057 	0.134 
023824 	0.359 	0.179 	0.059 	0.128 
023825 	0.356 	0.176 	0.059 	0.129 
023826 	0.354 	0.179 	0.057 	0.125 
023827 	0.351 	0.180 	0.058 	0.124 
023828 	0.350 	0.180 	0.060 	0.127 
023829 	0.346 	0.184 	0.061 	0.125 
023830 	0.345 	0.190 	0.060 	0.125 
023831 	0.342 	0.189 	0.063 	0.131 
023832 	0.341 	0.191 	0.064 	0.132 
023833 	0.345 	0.194 	0.059 	0.125 
023834 	0.345 	0.192 	0.059 	0.126 
023835 	0.344 	0.190 	0.059 	0.122 
023836 	0.344 	0.186 	0.058 	0.124 
023837 	0.342 	0.183 	0.059 	0.127 
023838 	0.342 	0.180 	0.059 	0.134 
023839 	0.343 	0.180 	0.059 	0.132 
023840 	0.343 	0.180 	0.059 	0.132 
023841 	0.342 	0.178 	0.062 	0.131 
023842 	0.340 	0.177 	0.064 	0.133 
023843 	0.343 	0.177 	0.064 	0.136 
023844 	0.346 	0.182 	0.062 	0.135 
023845 	0.348 	0.184 	0.060 	0.137 
023846 	0.348 	0.188 	0.062 	0.139 
023847 	0.348 	0.187 	0.063 	0.141 
023848 	0.348 	0.185 	0.063 	0.140 
023849 	0.347 	0.184 	0.064 	0.138 
023850 	0.346 	0.181 	0.063 	0.139 
023851 	0.345 	0.180 	0.062 	0.140 
023852 	0.345 	0.178 	0.062 	0.142 
023853 	0.342 	0.178 	0.062 	0.147 
023854 	0.344 	0.176 	0.061 	0.150 
023855 	0.343 	0.179 	0.061 	0.145 
023856 	0.341 	0.177 	0.062 	0.145 
023857 	0.341 	0.180 	0.061 	0.146 
023858 	0.340 	0.183 	0.062 	0.144 
023859 	0.340 	0.184 	0.062 	0.152 
023860 	0.341 	0.187 	0.061 	0.154 
023861 	0.339 	0.187 	0.063 	0.156 
023862 	0.338 	0.186 	0.063 	0.156 
023863 	0.339 	0.183 	0.063 	0.158 
023864 	0.339 	0.186 	0.063 	0.154 
023865 	0.339 	0.186 	0.063 	0.154 
023866 	0.343 	0.185 	0.062 	0.151 
023867 	0.343 	0.185 	0.062 	0.148 
023868 	0.343 	0.181 	0.064 	0.155 
023869 	0.342 	0.182 	0.064 	0.157 
023870 	0.340 	0.182 	0.065 	0.156 
023871 	0.343 	0.181 	0.060 	0.154 
023872 	0.340 	0.176 	0.060 	0.161 
023873 	0.334 	0.176 	0.063 	0.157 
023874 	0.331 	0.180 	0.062 	0.142 
023875 	0.323 	0.180 	0.067 	0.135 
023876 	0.318 	0.182 	0.065 	0.133 
023877 	0.317 	0.182 	0.065 	0.134 
023878 	0.317 	0.183 	0.062 	0.131 
023879 	0.317 	0.190 	0.061 	0.128 
023880 	0.314 	0.191 	0.061 	0.129 
023881 	0.312 	0.192 	0.060 	0.128 
023882 	0.311 	0.194 	0.060 	0.130 
023883 	0.308 	0.193 	0.061 	0.140 
023884 	0.306 	0.197 	0.060 	0.137 
023885 	0.304 	0.197 	0.061 	0.137 
023886 	0.302 	0.197 	0.062 	0.137 
023887 	0.302 	0.198 	0.061 	0.134 
023888 	0.301 	0.198 	0.062 	0.137 
023889 	0.300 	0.193 	0.061 	0.143 
023890 	0.300 	0.193 	0.061 	0.143 
023891 	0.298 	0.192 	0.063 	0.144 
023892 	0.297 	0.190 	0.063 	0.141 
023893 	0.296 	0.185 	0.064 	0.147 
023894 	0.295 	0.185 	0.062 	0.148 
023895 	0.294 	0.185 	0.063 	0.145 
023896 	0.294 	0.184 	0.061 	0.146 
023897 	0.294 	0.180 	0.062 	0.148 
023898 	0.293 	0.178 	0.063 	0.149 
023899 	0.293 	0.175 	0.065 	0.152 
023900 	0.292 	0.170 	0.069 	0.165 
023901 	0.291 	0.170 	0.069 	0.170 
023902 	0.292 	0.169 	0.069 	0.171 
023903 	0.294 	0.170 	0.069 	0.160 
023904 	0.297 	0.167 	0.069 	0.161 
023905 	0.298 	0.164 	0.070 	0.159 
023906 	0.298 	0.161 	0.072 	0.161 
023907 	0.297 	0.157 	0.073 	0.164 
023908 	0.299 	0.155 	0.072 	0.166 
023909 	0.298 	0.152 	0.072 	0.170 
023910 	0.299 	0.152 	0.072 	0.168 
023911 	0.298 	0.150 	0.073 	0.172 
023912 	0.300 	0.150 	0.074 	0.175 
023913 	0.299 	0.147 	0.076 	0.189 
023914 	0.300 	0.147 	0.075 	0.190 
023915 	0.300 	0.147 	0.075 	0.190 
023916 	0.300 	0.145 	0.076 	0.199 
023917 	0.301 	0.145 	0.074 	0.192 

WORD START END ASDSCORE
SOMEONE 0.06 0.44 2.8
WHO'S 0.44 0.63 3.7
APPARENTLY 0.63 1.30 4.4
DONE 1.47 1.80 6.0
THIS 1.80 2.10 8.5
ALREADY 2.10 2.73 9.2
I 2.92 3.07 7.6
STILL 3.07 3.36 6.0
HAVEN'T 3.36 3.66 5.5
FIGURED 3.66 4.10 6.3
ANYTHING 4.10 4.55 8.9
