Text:  IN MY MOUTH BUT IN HIROSHIMA SOME PEOPLE WERE WIPED CLEAN AWAY LEAVING ONLY A WRISTWATCH OR A DIARY PAGE SO NO MATTER THAT I HAVE INHIBITIONS TO FILL ALL MY POCKETS I KEEP TRYING HOPING THAT ONE DAY I'LL WRITE POEM I CAN BE PROUD TO LET SIT IN A MUSEUM EXHIBIT AS THE ONLY PROOF I 
Conf:  4
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
024164 	0.189 	0.083 	0.174 	0.361 
024165 	0.189 	0.083 	0.174 	0.361 
024166 	0.194 	0.087 	0.171 	0.359 
024167 	0.202 	0.086 	0.170 	0.350 
024168 	0.207 	0.083 	0.172 	0.357 
024169 	0.211 	0.076 	0.170 	0.375 
024170 	0.211 	0.069 	0.169 	0.379 
024171 	0.210 	0.061 	0.168 	0.372 
024172 	0.205 	0.054 	0.167 	0.372 
024173 	0.199 	0.048 	0.167 	0.373 
024174 	0.200 	0.041 	0.161 	0.376 
024175 	0.197 	0.032 	0.161 	0.378 
024176 	0.193 	0.026 	0.160 	0.375 
024177 	0.189 	0.024 	0.161 	0.370 
024178 	0.187 	0.023 	0.162 	0.368 
024179 	0.186 	0.022 	0.161 	0.364 
024180 	0.182 	0.027 	0.164 	0.355 
024181 	0.181 	0.028 	0.162 	0.357 
024182 	0.182 	0.031 	0.161 	0.354 
024183 	0.183 	0.024 	0.159 	0.369 
024184 	0.181 	0.024 	0.159 	0.370 
024185 	0.179 	0.028 	0.160 	0.360 
024186 	0.180 	0.029 	0.161 	0.360 
024187 	0.181 	0.033 	0.160 	0.360 
024188 	0.185 	0.033 	0.157 	0.366 
024189 	0.187 	0.030 	0.157 	0.373 
024190 	0.187 	0.030 	0.157 	0.373 
024191 	0.189 	0.019 	0.157 	0.376 
024192 	0.190 	0.019 	0.158 	0.375 
024193 	0.192 	0.018 	0.158 	0.377 
024194 	0.196 	0.022 	0.157 	0.369 
024195 	0.201 	0.028 	0.155 	0.366 
024196 	0.205 	0.031 	0.158 	0.364 
024197 	0.209 	0.031 	0.157 	0.366 
024198 	0.217 	0.030 	0.155 	0.367 
024199 	0.221 	0.032 	0.155 	0.357 
024200 	0.224 	0.023 	0.153 	0.364 
024201 	0.226 	0.017 	0.153 	0.361 
024202 	0.225 	0.009 	0.153 	0.359 
024203 	0.224 	0.001 	0.153 	0.361 
024204 	0.221 	-0.004 	0.153 	0.364 
024205 	0.217 	-0.013 	0.158 	0.371 
024206 	0.213 	-0.019 	0.159 	0.373 
024207 	0.210 	-0.024 	0.162 	0.373 
024208 	0.211 	-0.025 	0.162 	0.382 
