Text:  LAUGHED BECAUSE THE FIRST SARAH SHE DIDN'T KNOW WHAT TO DO WITH IMPOSSIBLE AND ME WELL NEITHER DO I 
Conf:  3
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
024837 	0.363 	0.221 	0.168 	0.426 
024838 	0.361 	0.248 	0.165 	0.427 
024839 	0.363 	0.271 	0.161 	0.417 
024840 	0.363 	0.271 	0.161 	0.417 
024841 	0.358 	0.288 	0.163 	0.415 
024842 	0.359 	0.300 	0.163 	0.414 
024843 	0.357 	0.308 	0.164 	0.395 
024844 	0.355 	0.311 	0.165 	0.379 
024845 	0.350 	0.319 	0.168 	0.373 
024846 	0.349 	0.323 	0.169 	0.368 
024847 	0.346 	0.318 	0.169 	0.366 
024848 	0.339 	0.310 	0.173 	0.372 
024849 	0.337 	0.296 	0.168 	0.379 
024850 	0.332 	0.276 	0.167 	0.386 
024851 	0.322 	0.270 	0.167 	0.390 
024852 	0.311 	0.264 	0.173 	0.392 
024853 	0.304 	0.250 	0.169 	0.396 
024854 	0.293 	0.240 	0.170 	0.395 
024855 	0.286 	0.218 	0.170 	0.403 
024856 	0.276 	0.200 	0.171 	0.408 
024857 	0.265 	0.188 	0.171 	0.409 
024858 	0.255 	0.171 	0.173 	0.422 
024859 	0.246 	0.162 	0.173 	0.425 
024860 	0.239 	0.156 	0.174 	0.419 
024861 	0.230 	0.152 	0.178 	0.415 
024862 	0.227 	0.150 	0.176 	0.418 
024863 	0.224 	0.145 	0.173 	0.424 
024864 	0.223 	0.147 	0.173 	0.422 
024865 	0.223 	0.147 	0.173 	0.422 
024866 	0.223 	0.149 	0.168 	0.421 
024867 	0.214 	0.151 	0.169 	0.423 
024868 	0.208 	0.151 	0.170 	0.428 
024869 	0.203 	0.155 	0.171 	0.421 
024870 	0.204 	0.159 	0.170 	0.424 
024871 	0.209 	0.154 	0.170 	0.432 
024872 	0.216 	0.156 	0.168 	0.426 
024873 	0.224 	0.169 	0.171 	0.418 
024874 	0.230 	0.179 	0.168 	0.418 
024875 	0.233 	0.185 	0.170 	0.419 
024876 	0.234 	0.196 	0.171 	0.418 
024877 	0.234 	0.196 	0.171 	0.425 
024878 	0.233 	0.195 	0.172 	0.426 
024879 	0.228 	0.186 	0.172 	0.426 
024880 	0.220 	0.179 	0.169 	0.428 
024881 	0.209 	0.168 	0.169 	0.434 
024882 	0.200 	0.163 	0.167 	0.434 
024883 	0.184 	0.155 	0.173 	0.432 
024884 	0.177 	0.144 	0.174 	0.439 
024885 	0.169 	0.133 	0.175 	0.442 
024886 	0.167 	0.125 	0.174 	0.445 
024887 	0.167 	0.122 	0.174 	0.449 
024888 	0.171 	0.123 	0.172 	0.452 
024889 	0.176 	0.124 	0.172 	0.455 
024890 	0.176 	0.124 	0.172 	0.455 
024891 	0.184 	0.126 	0.170 	0.455 
024892 	0.194 	0.126 	0.171 	0.454 
024893 	0.206 	0.123 	0.171 	0.456 
024894 	0.219 	0.127 	0.170 	0.441 
024895 	0.230 	0.133 	0.171 	0.418 
024896 	0.247 	0.131 	0.177 	0.408 
024897 	0.267 	0.129 	0.177 	0.405 
024898 	0.286 	0.129 	0.174 	0.410 
024899 	0.302 	0.130 	0.164 	0.422 
024900 	0.303 	0.133 	0.168 	0.429 
024901 	0.303 	0.131 	0.171 	0.432 
024902 	0.300 	0.137 	0.174 	0.426 
024903 	0.305 	0.136 	0.172 	0.431 
024904 	0.308 	0.149 	0.171 	0.428 
024905 	0.307 	0.163 	0.174 	0.431 
024906 	0.314 	0.169 	0.171 	0.446 
024907 	0.322 	0.184 	0.173 	0.433 
024908 	0.333 	0.201 	0.173 	0.420 
024909 	0.344 	0.222 	0.176 	0.408 
024910 	0.365 	0.243 	0.171 	0.420 
024911 	0.377 	0.258 	0.170 	0.424 
024912 	0.377 	0.256 	0.173 	0.441 
024913 	0.381 	0.266 	0.171 	0.439 
024914 	0.390 	0.278 	0.167 	0.430 
024915 	0.390 	0.278 	0.167 	0.430 
024916 	0.378 	0.269 	0.173 	0.434 
024917 	0.384 	0.267 	0.168 	0.423 
024918 	0.379 	0.260 	0.170 	0.422 
024919 	0.376 	0.233 	0.168 	0.435 
024920 	0.375 	0.220 	0.167 	0.429 
024921 	0.374 	0.210 	0.169 	0.430 
024922 	0.375 	0.207 	0.172 	0.420 
024923 	0.375 	0.198 	0.172 	0.419 
024924 	0.374 	0.189 	0.174 	0.419 
024925 	0.373 	0.184 	0.172 	0.429 
024926 	0.367 	0.175 	0.173 	0.451 
024927 	0.366 	0.184 	0.175 	0.429 
024928 	0.361 	0.182 	0.173 	0.427 
024929 	0.355 	0.176 	0.173 	0.428 
024930 	0.351 	0.177 	0.169 	0.423 
024931 	0.343 	0.175 	0.170 	0.428 
024932 	0.340 	0.168 	0.170 	0.441 
024933 	0.333 	0.157 	0.168 	0.450 
024934 	0.327 	0.153 	0.168 	0.444 
024935 	0.322 	0.142 	0.167 	0.451 
024936 	0.321 	0.138 	0.168 	0.456 
024937 	0.323 	0.135 	0.166 	0.457 
024938 	0.322 	0.134 	0.167 	0.457 
024939 	0.322 	0.131 	0.167 	0.458 
024940 	0.322 	0.131 	0.167 	0.458 
024941 	0.321 	0.133 	0.172 	0.450 
024942 	0.322 	0.134 	0.172 	0.449 
024943 	0.326 	0.133 	0.172 	0.450 
024944 	0.336 	0.147 	0.173 	0.429 
024945 	0.345 	0.135 	0.177 	0.457 
024946 	0.348 	0.135 	0.175 	0.470 
024947 	0.350 	0.149 	0.176 	0.448 
024948 	0.350 	0.172 	0.178 	0.416 
