Text:  THE IMPOSSIBLE EVERY DAY IMPOSSIBLE IS TRYING TO CONNECT IN THIS WORLD TRYING TO HOLD ONTO OTHERS WHILE THINGS ARE BLOWING UP AROUND YOU KNOWING THAT WHILE YOU'RE SPEAKING THEY AREN'T JUST WAITING FOR THEIR TURN TO 
Conf:  1
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
025046 	0.338 	0.100 	0.064 	0.165 
025047 	0.340 	0.102 	0.064 	0.166 
025048 	0.341 	0.101 	0.064 	0.172 
025049 	0.341 	0.106 	0.065 	0.171 
025050 	0.342 	0.111 	0.065 	0.170 
025051 	0.340 	0.111 	0.068 	0.170 
025052 	0.341 	0.113 	0.066 	0.169 
025053 	0.339 	0.112 	0.066 	0.178 
025054 	0.338 	0.113 	0.068 	0.180 
025055 	0.337 	0.110 	0.069 	0.180 
025056 	0.336 	0.114 	0.068 	0.172 
025057 	0.335 	0.113 	0.067 	0.173 
025058 	0.333 	0.113 	0.068 	0.173 
025059 	0.333 	0.112 	0.068 	0.173 
025060 	0.333 	0.110 	0.068 	0.172 
025061 	0.331 	0.109 	0.067 	0.170 
025062 	0.330 	0.108 	0.067 	0.172 
025063 	0.327 	0.108 	0.066 	0.175 
025064 	0.325 	0.109 	0.067 	0.175 
025065 	0.325 	0.109 	0.067 	0.175 
025066 	0.322 	0.107 	0.068 	0.174 
025067 	0.322 	0.107 	0.068 	0.174 
025068 	0.321 	0.103 	0.069 	0.173 
025069 	0.321 	0.103 	0.069 	0.171 
025070 	0.323 	0.103 	0.067 	0.173 
025071 	0.323 	0.102 	0.067 	0.173 
025072 	0.324 	0.101 	0.066 	0.176 
025073 	0.324 	0.101 	0.066 	0.180 
025074 	0.323 	0.103 	0.067 	0.183 
025075 	0.324 	0.109 	0.066 	0.180 
025076 	0.324 	0.117 	0.065 	0.176 
025077 	0.323 	0.120 	0.065 	0.174 
025078 	0.321 	0.126 	0.066 	0.166 
025079 	0.320 	0.127 	0.065 	0.164 
025080 	0.319 	0.126 	0.065 	0.167 
025081 	0.319 	0.128 	0.065 	0.165 
025082 	0.317 	0.126 	0.065 	0.167 
025083 	0.317 	0.127 	0.064 	0.165 
025084 	0.315 	0.125 	0.065 	0.166 
025085 	0.314 	0.124 	0.064 	0.176 
025086 	0.313 	0.123 	0.065 	0.177 
025087 	0.313 	0.123 	0.065 	0.178 
025088 	0.312 	0.120 	0.067 	0.177 
025089 	0.315 	0.119 	0.063 	0.168 
025090 	0.315 	0.119 	0.063 	0.168 
025091 	0.316 	0.119 	0.062 	0.160 
025092 	0.317 	0.112 	0.062 	0.164 
025093 	0.316 	0.102 	0.064 	0.174 
025094 	0.316 	0.101 	0.064 	0.172 
025095 	0.317 	0.100 	0.064 	0.167 
025096 	0.316 	0.101 	0.066 	0.161 
025097 	0.315 	0.098 	0.067 	0.163 
025098 	0.316 	0.100 	0.067 	0.162 
025099 	0.316 	0.100 	0.067 	0.163 
025100 	0.316 	0.100 	0.067 	0.163 
025101 	0.316 	0.099 	0.067 	0.163 
025102 	0.316 	0.097 	0.067 	0.168 
025103 	0.317 	0.098 	0.068 	0.168 
025104 	0.318 	0.098 	0.067 	0.166 
025105 	0.318 	0.096 	0.067 	0.168 
025106 	0.320 	0.098 	0.064 	0.167 
025107 	0.320 	0.098 	0.065 	0.167 
025108 	0.321 	0.097 	0.067 	0.167 
025109 	0.321 	0.098 	0.066 	0.165 
025110 	0.322 	0.097 	0.067 	0.164 
025111 	0.323 	0.095 	0.067 	0.165 
025112 	0.323 	0.095 	0.067 	0.166 
025113 	0.324 	0.095 	0.066 	0.165 
025114 	0.325 	0.096 	0.065 	0.167 
025115 	0.325 	0.096 	0.065 	0.167 
025116 	0.325 	0.096 	0.065 	0.169 
025117 	0.326 	0.094 	0.065 	0.171 
025118 	0.326 	0.093 	0.066 	0.171 
025119 	0.327 	0.093 	0.064 	0.170 
025120 	0.327 	0.092 	0.065 	0.170 
025121 	0.328 	0.091 	0.065 	0.172 
025122 	0.328 	0.093 	0.067 	0.172 
025123 	0.329 	0.095 	0.066 	0.172 
025124 	0.330 	0.095 	0.066 	0.172 
025125 	0.330 	0.096 	0.066 	0.173 
025126 	0.329 	0.096 	0.066 	0.175 
025127 	0.329 	0.096 	0.066 	0.176 
025128 	0.329 	0.094 	0.066 	0.175 
025129 	0.328 	0.094 	0.067 	0.171 
025130 	0.327 	0.093 	0.067 	0.167 
