Text:  HEAR YOU THEY FEEL EXACTLY WHAT YOU FEEL AT THE SAME TIME THAT YOU FEEL IT IT'S WHAT I STRIVE FOR EVERY TIME I OPEN MY MOUTH THAT 
Conf:  3
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
025336 	0.356 	0.171 	0.163 	0.418 
025337 	0.351 	0.153 	0.165 	0.431 
025338 	0.347 	0.145 	0.165 	0.427 
025339 	0.343 	0.134 	0.169 	0.435 
025340 	0.343 	0.134 	0.169 	0.435 
025341 	0.336 	0.129 	0.174 	0.436 
025342 	0.332 	0.131 	0.173 	0.431 
025343 	0.328 	0.127 	0.174 	0.434 
025344 	0.327 	0.124 	0.174 	0.436 
025345 	0.328 	0.122 	0.173 	0.438 
025346 	0.326 	0.123 	0.174 	0.437 
025347 	0.325 	0.121 	0.173 	0.441 
025348 	0.326 	0.119 	0.173 	0.446 
025349 	0.327 	0.119 	0.170 	0.450 
025350 	0.328 	0.121 	0.170 	0.448 
025351 	0.328 	0.128 	0.168 	0.427 
025352 	0.329 	0.132 	0.169 	0.418 
025353 	0.334 	0.134 	0.166 	0.421 
025354 	0.334 	0.136 	0.168 	0.423 
025355 	0.339 	0.135 	0.165 	0.418 
025356 	0.340 	0.137 	0.165 	0.417 
025357 	0.339 	0.137 	0.165 	0.416 
025358 	0.342 	0.138 	0.162 	0.419 
025359 	0.338 	0.131 	0.165 	0.422 
025360 	0.338 	0.131 	0.164 	0.418 
025361 	0.336 	0.134 	0.164 	0.416 
025362 	0.336 	0.138 	0.161 	0.414 
025363 	0.336 	0.142 	0.161 	0.409 
025364 	0.335 	0.147 	0.161 	0.407 
025365 	0.335 	0.147 	0.161 	0.407 
025366 	0.335 	0.156 	0.159 	0.407 
025367 	0.336 	0.157 	0.157 	0.419 
025368 	0.336 	0.153 	0.158 	0.444 
025369 	0.336 	0.155 	0.158 	0.449 
025370 	0.333 	0.160 	0.158 	0.431 
025371 	0.329 	0.159 	0.160 	0.425 
025372 	0.327 	0.164 	0.158 	0.419 
025373 	0.321 	0.160 	0.158 	0.417 
025374 	0.315 	0.153 	0.161 	0.421 
025375 	0.307 	0.152 	0.162 	0.419 
025376 	0.303 	0.150 	0.160 	0.417 
025377 	0.296 	0.150 	0.163 	0.412 
025378 	0.290 	0.145 	0.166 	0.422 
025379 	0.287 	0.146 	0.163 	0.420 
025380 	0.280 	0.152 	0.162 	0.416 
025381 	0.274 	0.157 	0.160 	0.421 
025382 	0.270 	0.153 	0.163 	0.437 
025383 	0.271 	0.166 	0.163 	0.432 
025384 	0.267 	0.178 	0.167 	0.420 
025385 	0.268 	0.192 	0.169 	0.411 
025386 	0.268 	0.201 	0.171 	0.409 
025387 	0.267 	0.206 	0.172 	0.403 
025388 	0.266 	0.204 	0.175 	0.412 
025389 	0.267 	0.204 	0.172 	0.411 
025390 	0.267 	0.204 	0.172 	0.411 
025391 	0.266 	0.201 	0.173 	0.416 
025392 	0.265 	0.196 	0.171 	0.413 
