Text:  SHADOW OF POSITIVE LIGHT AFTER THE A BOMB SPECIALISTS SAID IT WOULD TAKE 75 YEARS FOR THE RADIATION DAMAGED SOIL OF HIROSHIMA CITY TO EVER GROW ANYTHING AGAIN BUT THAT SPRING THERE WERE NEW BUDS POPPING UP FROM THE EARTH WHEN I MEET YOU IN THAT MOMENT I'M NO LONGER PART OF YOUR FUTURE I START QUICKLY BECOMING PART OF YOUR PAST BUT IN THAT INSTANT I GET TO SHARE YOUR PRESENT AND YOU 
Conf:  4
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
025853 	0.425 	0.101 	0.162 	0.415 
025854 	0.428 	0.101 	0.161 	0.407 
025855 	0.429 	0.091 	0.161 	0.429 
025856 	0.431 	0.085 	0.163 	0.449 
025857 	0.433 	0.092 	0.169 	0.435 
025858 	0.441 	0.103 	0.163 	0.428 
025859 	0.447 	0.111 	0.167 	0.424 
025860 	0.449 	0.117 	0.170 	0.421 
025861 	0.451 	0.115 	0.173 	0.422 
025862 	0.454 	0.111 	0.171 	0.429 
025863 	0.452 	0.108 	0.171 	0.448 
025864 	0.451 	0.108 	0.171 	0.455 
025865 	0.451 	0.108 	0.171 	0.455 
025866 	0.448 	0.107 	0.171 	0.458 
025867 	0.444 	0.099 	0.171 	0.472 
025868 	0.439 	0.091 	0.171 	0.486 
025869 	0.435 	0.101 	0.173 	0.468 
025870 	0.437 	0.107 	0.170 	0.434 
025871 	0.433 	0.109 	0.173 	0.414 
025872 	0.430 	0.108 	0.173 	0.406 
025873 	0.429 	0.114 	0.174 	0.403 
025874 	0.431 	0.117 	0.171 	0.412 
025875 	0.434 	0.109 	0.170 	0.443 
025876 	0.431 	0.115 	0.173 	0.466 
025877 	0.434 	0.126 	0.173 	0.465 
025878 	0.437 	0.141 	0.174 	0.458 
025879 	0.442 	0.170 	0.176 	0.432 
025880 	0.440 	0.188 	0.175 	0.420 
025881 	0.435 	0.203 	0.176 	0.409 
025882 	0.429 	0.209 	0.173 	0.410 
025883 	0.420 	0.215 	0.175 	0.408 
025884 	0.409 	0.213 	0.175 	0.408 
025885 	0.398 	0.209 	0.174 	0.404 
025886 	0.385 	0.195 	0.178 	0.418 
025887 	0.377 	0.210 	0.176 	0.401 
025888 	0.365 	0.212 	0.175 	0.404 
025889 	0.352 	0.210 	0.174 	0.414 
025890 	0.352 	0.210 	0.174 	0.414 
025891 	0.344 	0.204 	0.169 	0.430 
025892 	0.337 	0.209 	0.170 	0.420 
025893 	0.330 	0.206 	0.170 	0.416 
025894 	0.321 	0.206 	0.170 	0.412 
025895 	0.315 	0.204 	0.173 	0.409 
025896 	0.314 	0.204 	0.170 	0.405 
025897 	0.310 	0.202 	0.171 	0.406 
025898 	0.308 	0.203 	0.172 	0.407 
025899 	0.306 	0.199 	0.170 	0.409 
025900 	0.304 	0.197 	0.171 	0.414 
025901 	0.302 	0.196 	0.170 	0.411 
025902 	0.301 	0.194 	0.172 	0.415 
025903 	0.298 	0.197 	0.169 	0.421 
025904 	0.292 	0.178 	0.170 	0.448 
025905 	0.285 	0.173 	0.168 	0.459 
025906 	0.284 	0.173 	0.169 	0.459 
025907 	0.272 	0.150 	0.170 	0.475 
025908 	0.264 	0.141 	0.171 	0.475 
025909 	0.255 	0.126 	0.174 	0.468 
025910 	0.248 	0.135 	0.173 	0.417 
025911 	0.241 	0.123 	0.172 	0.426 
025912 	0.236 	0.119 	0.171 	0.427 
025913 	0.231 	0.121 	0.174 	0.424 
025914 	0.228 	0.123 	0.175 	0.422 
025915 	0.228 	0.123 	0.175 	0.422 
025916 	0.228 	0.127 	0.175 	0.427 
025917 	0.227 	0.134 	0.176 	0.431 
025918 	0.221 	0.119 	0.173 	0.464 
025919 	0.224 	0.121 	0.173 	0.464 
025920 	0.223 	0.121 	0.175 	0.461 
025921 	0.220 	0.120 	0.178 	0.454 
025922 	0.219 	0.119 	0.179 	0.452 
025923 	0.218 	0.121 	0.178 	0.449 
025924 	0.219 	0.119 	0.176 	0.456 
025925 	0.220 	0.121 	0.175 	0.462 
025926 	0.220 	0.125 	0.173 	0.461 
025927 	0.218 	0.127 	0.175 	0.455 
025928 	0.218 	0.129 	0.176 	0.449 
025929 	0.218 	0.131 	0.177 	0.445 
025930 	0.222 	0.131 	0.173 	0.452 
025931 	0.221 	0.132 	0.175 	0.451 
025932 	0.219 	0.134 	0.179 	0.439 
