Text:  THAT IS THE GREATEST PRESENT OF ALL SO IF YOU TELL ME I CAN DO THE IMPOSSIBLE I'LL PROBABLY LAUGH AT YOU I DON'T KNOW IF I CAN CHANGE THE WORLD YET BECAUSE I DON'T KNOW THAT MUCH ABOUT IT AND I DON'T KNOW THAT MUCH ABOUT REINCARNATION EITHER BUT IF YOU MAKE ME LAUGH HARD ENOUGH SOMETIMES I FORGET WHAT CENTURY I'M IN 
Conf:  4
Ref:   0snNB1yS3IE

FRAME 	X 	Y 	W 	H 
026458 	0.469 	0.090 	0.175 	0.455 
026459 	0.468 	0.083 	0.174 	0.475 
026460 	0.464 	0.071 	0.174 	0.487 
026461 	0.461 	0.067 	0.177 	0.478 
026462 	0.458 	0.063 	0.176 	0.471 
026463 	0.461 	0.063 	0.172 	0.464 
026464 	0.465 	0.076 	0.173 	0.450 
026465 	0.465 	0.076 	0.173 	0.450 
026466 	0.466 	0.071 	0.171 	0.453 
026467 	0.463 	0.068 	0.171 	0.448 
026468 	0.456 	0.072 	0.172 	0.431 
026469 	0.442 	0.079 	0.181 	0.411 
026470 	0.428 	0.076 	0.182 	0.407 
026471 	0.418 	0.056 	0.181 	0.434 
026472 	0.405 	0.058 	0.181 	0.429 
026473 	0.396 	0.051 	0.175 	0.438 
026474 	0.389 	0.048 	0.176 	0.442 
026475 	0.386 	0.042 	0.173 	0.444 
026476 	0.381 	0.045 	0.176 	0.434 
026477 	0.374 	0.048 	0.179 	0.428 
026478 	0.368 	0.048 	0.182 	0.428 
026479 	0.362 	0.049 	0.181 	0.444 
026480 	0.363 	0.053 	0.180 	0.452 
026481 	0.373 	0.062 	0.182 	0.447 
026482 	0.389 	0.075 	0.184 	0.435 
026483 	0.400 	0.087 	0.183 	0.440 
026484 	0.409 	0.098 	0.183 	0.450 
026485 	0.418 	0.109 	0.180 	0.443 
026486 	0.423 	0.125 	0.178 	0.435 
026487 	0.426 	0.142 	0.178 	0.435 
026488 	0.431 	0.173 	0.176 	0.405 
026489 	0.432 	0.179 	0.174 	0.420 
026490 	0.432 	0.179 	0.174 	0.420 
026491 	0.430 	0.196 	0.176 	0.420 
026492 	0.423 	0.202 	0.179 	0.411 
026493 	0.414 	0.195 	0.180 	0.424 
026494 	0.402 	0.190 	0.182 	0.423 
026495 	0.394 	0.186 	0.179 	0.428 
026496 	0.386 	0.181 	0.180 	0.428 
026497 	0.383 	0.178 	0.181 	0.425 
026498 	0.379 	0.165 	0.181 	0.424 
026499 	0.375 	0.153 	0.180 	0.437 
026500 	0.372 	0.139 	0.178 	0.461 
026501 	0.370 	0.128 	0.177 	0.457 
026502 	0.369 	0.119 	0.175 	0.458 
026503 	0.367 	0.113 	0.176 	0.453 
026504 	0.359 	0.113 	0.178 	0.445 
026505 	0.355 	0.115 	0.173 	0.445 
026506 	0.341 	0.127 	0.176 	0.436 
026507 	0.331 	0.133 	0.178 	0.423 
026508 	0.314 	0.138 	0.180 	0.436 
026509 	0.299 	0.145 	0.182 	0.435 
026510 	0.284 	0.139 	0.182 	0.424 
026511 	0.278 	0.121 	0.179 	0.430 
026512 	0.271 	0.092 	0.181 	0.450 
026513 	0.264 	0.086 	0.180 	0.454 
026514 	0.252 	0.087 	0.184 	0.455 
026515 	0.252 	0.087 	0.184 	0.455 
026516 	0.241 	0.079 	0.183 	0.463 
026517 	0.230 	0.072 	0.183 	0.466 
026518 	0.221 	0.069 	0.182 	0.461 
026519 	0.211 	0.072 	0.181 	0.463 
026520 	0.201 	0.080 	0.181 	0.454 
026521 	0.184 	0.082 	0.186 	0.452 
026522 	0.173 	0.089 	0.187 	0.444 
026523 	0.162 	0.085 	0.186 	0.453 
026524 	0.164 	0.078 	0.181 	0.459 
026525 	0.170 	0.070 	0.174 	0.467 
026526 	0.169 	0.061 	0.170 	0.481 
026527 	0.169 	0.071 	0.166 	0.468 
026528 	0.167 	0.098 	0.156 	0.438 
026529 	0.158 	0.123 	0.156 	0.416 
026530 	0.153 	0.134 	0.153 	0.406 
026531 	0.154 	0.125 	0.148 	0.414 
026532 	0.162 	0.115 	0.139 	0.410 
026533 	0.167 	0.098 	0.139 	0.400 
026534 	0.173 	0.085 	0.138 	0.413 
026535 	0.179 	0.092 	0.136 	0.419 
026536 	0.188 	0.104 	0.135 	0.408 
026537 	0.203 	0.099 	0.139 	0.408 
026538 	0.215 	0.096 	0.136 	0.395 
026539 	0.223 	0.071 	0.143 	0.418 
026540 	0.223 	0.071 	0.143 	0.418 
026541 	0.238 	0.074 	0.142 	0.407 
026542 	0.253 	0.073 	0.142 	0.418 
026543 	0.253 	0.080 	0.146 	0.422 
026544 	0.237 	0.083 	0.165 	0.430 
026545 	0.231 	0.049 	0.176 	0.471 
026546 	0.233 	0.035 	0.172 	0.499 
026547 	0.234 	0.027 	0.174 	0.493 
026548 	0.241 	0.029 	0.173 	0.467 
026549 	0.245 	0.034 	0.177 	0.456 
026550 	0.249 	0.054 	0.178 	0.446 
026551 	0.252 	0.064 	0.178 	0.446 
026552 	0.253 	0.061 	0.181 	0.444 
026553 	0.255 	0.057 	0.181 	0.445 
026554 	0.256 	0.057 	0.180 	0.448 
026555 	0.260 	0.071 	0.179 	0.446 
026556 	0.264 	0.088 	0.180 	0.447 
026557 	0.266 	0.094 	0.180 	0.446 
026558 	0.269 	0.091 	0.181 	0.454 
026559 	0.268 	0.078 	0.179 	0.457 
026560 	0.263 	0.059 	0.177 	0.457 
026561 	0.253 	0.047 	0.179 	0.458 
026562 	0.249 	0.039 	0.177 	0.467 
026563 	0.245 	0.050 	0.180 	0.475 
026564 	0.243 	0.072 	0.183 	0.479 
026565 	0.243 	0.072 	0.183 	0.479 
026566 	0.246 	0.097 	0.176 	0.464 
026567 	0.248 	0.099 	0.174 	0.466 
026568 	0.243 	0.086 	0.178 	0.474 
026569 	0.241 	0.058 	0.177 	0.493 
026570 	0.233 	0.044 	0.177 	0.494 
026571 	0.225 	0.038 	0.178 	0.491 
026572 	0.222 	0.043 	0.176 	0.495 
026573 	0.218 	0.071 	0.178 	0.478 
026574 	0.215 	0.090 	0.174 	0.476 
026575 	0.212 	0.090 	0.175 	0.476 
026576 	0.204 	0.068 	0.177 	0.497 
026577 	0.202 	0.054 	0.178 	0.500 
026578 	0.200 	0.049 	0.178 	0.501 
026579 	0.202 	0.064 	0.178 	0.488 
026580 	0.208 	0.080 	0.176 	0.486 
026581 	0.211 	0.088 	0.178 	0.476 
026582 	0.211 	0.079 	0.181 	0.458 
026583 	0.205 	0.070 	0.183 	0.447 
026584 	0.202 	0.065 	0.183 	0.456 
026585 	0.196 	0.072 	0.185 	0.455 
026586 	0.200 	0.085 	0.182 	0.460 
026587 	0.202 	0.088 	0.176 	0.479 
026588 	0.200 	0.089 	0.183 	0.462 
026589 	0.199 	0.087 	0.185 	0.454 
026590 	0.199 	0.087 	0.185 	0.454 
026591 	0.201 	0.092 	0.184 	0.451 
026592 	0.203 	0.093 	0.187 	0.454 
026593 	0.207 	0.101 	0.186 	0.447 
026594 	0.213 	0.107 	0.183 	0.447 
026595 	0.216 	0.109 	0.184 	0.453 
026596 	0.217 	0.115 	0.184 	0.450 
026597 	0.216 	0.119 	0.182 	0.448 
026598 	0.221 	0.118 	0.175 	0.464 
026599 	0.223 	0.124 	0.170 	0.471 
026600 	0.225 	0.132 	0.172 	0.468 
026601 	0.222 	0.135 	0.177 	0.464 
026602 	0.221 	0.139 	0.181 	0.454 
026603 	0.222 	0.140 	0.181 	0.452 
026604 	0.236 	0.142 	0.178 	0.458 
026605 	0.242 	0.143 	0.177 	0.465 
026606 	0.246 	0.150 	0.175 	0.463 
026607 	0.249 	0.158 	0.176 	0.463 
026608 	0.249 	0.161 	0.177 	0.462 
026609 	0.250 	0.161 	0.177 	0.461 
026610 	0.251 	0.158 	0.176 	0.460 
026611 	0.251 	0.158 	0.178 	0.461 
026612 	0.261 	0.168 	0.169 	0.442 
026613 	0.254 	0.150 	0.173 	0.471 
026614 	0.255 	0.138 	0.174 	0.477 
026615 	0.255 	0.138 	0.174 	0.477 
026616 	0.259 	0.129 	0.172 	0.476 
026617 	0.264 	0.117 	0.173 	0.484 
026618 	0.273 	0.114 	0.170 	0.481 
026619 	0.280 	0.113 	0.169 	0.473 
026620 	0.286 	0.112 	0.169 	0.476 
026621 	0.290 	0.100 	0.170 	0.478 
026622 	0.293 	0.086 	0.170 	0.487 
026623 	0.297 	0.078 	0.171 	0.479 
026624 	0.295 	0.087 	0.174 	0.452 
026625 	0.294 	0.074 	0.174 	0.457 
026626 	0.291 	0.069 	0.175 	0.448 
026627 	0.290 	0.068 	0.174 	0.442 
026628 	0.293 	0.066 	0.176 	0.446 
026629 	0.295 	0.063 	0.179 	0.454 
026630 	0.301 	0.059 	0.179 	0.466 
026631 	0.300 	0.060 	0.180 	0.456 
026632 	0.305 	0.064 	0.180 	0.454 
026633 	0.308 	0.070 	0.179 	0.452 
026634 	0.314 	0.076 	0.178 	0.455 
026635 	0.314 	0.087 	0.177 	0.456 
026636 	0.316 	0.111 	0.169 	0.446 
026637 	0.319 	0.112 	0.166 	0.469 
026638 	0.319 	0.116 	0.167 	0.470 
026639 	0.320 	0.124 	0.167 	0.464 
026640 	0.320 	0.124 	0.167 	0.464 
026641 	0.319 	0.131 	0.168 	0.456 
026642 	0.319 	0.134 	0.167 	0.457 
026643 	0.320 	0.137 	0.171 	0.450 
026644 	0.320 	0.135 	0.172 	0.457 
026645 	0.322 	0.129 	0.171 	0.466 
026646 	0.322 	0.122 	0.171 	0.466 
026647 	0.322 	0.121 	0.172 	0.454 
026648 	0.321 	0.114 	0.175 	0.455 
026649 	0.320 	0.109 	0.176 	0.457 
026650 	0.318 	0.105 	0.174 	0.455 
026651 	0.316 	0.101 	0.176 	0.453 
026652 	0.315 	0.097 	0.178 	0.455 
026653 	0.314 	0.094 	0.178 	0.455 
026654 	0.315 	0.090 	0.180 	0.459 
026655 	0.318 	0.085 	0.179 	0.460 
026656 	0.320 	0.083 	0.178 	0.460 
026657 	0.322 	0.081 	0.177 	0.461 
026658 	0.325 	0.080 	0.176 	0.463 
026659 	0.325 	0.079 	0.178 	0.465 
026660 	0.327 	0.078 	0.178 	0.465 
026661 	0.327 	0.077 	0.180 	0.468 
026662 	0.326 	0.078 	0.182 	0.467 
026663 	0.324 	0.079 	0.184 	0.464 
026664 	0.324 	0.081 	0.180 	0.457 
026665 	0.324 	0.081 	0.180 	0.457 
026666 	0.318 	0.086 	0.184 	0.457 
026667 	0.318 	0.097 	0.183 	0.455 
026668 	0.324 	0.104 	0.182 	0.456 
026669 	0.325 	0.114 	0.184 	0.447 
026670 	0.330 	0.116 	0.184 	0.449 
026671 	0.341 	0.110 	0.178 	0.460 
026672 	0.348 	0.103 	0.173 	0.481 
026673 	0.349 	0.100 	0.175 	0.483 
026674 	0.354 	0.100 	0.181 	0.465 
026675 	0.362 	0.098 	0.182 	0.459 
026676 	0.370 	0.098 	0.182 	0.456 
026677 	0.379 	0.097 	0.181 	0.455 
026678 	0.384 	0.096 	0.179 	0.458 
026679 	0.393 	0.099 	0.179 	0.454 
026680 	0.402 	0.103 	0.181 	0.449 
026681 	0.409 	0.099 	0.181 	0.458 
026682 	0.417 	0.108 	0.176 	0.453 
026683 	0.416 	0.116 	0.177 	0.447 
026684 	0.415 	0.119 	0.176 	0.445 
026685 	0.413 	0.110 	0.176 	0.456 
026686 	0.415 	0.099 	0.172 	0.463 
026687 	0.413 	0.093 	0.173 	0.463 
026688 	0.414 	0.091 	0.173 	0.463 
026689 	0.414 	0.093 	0.174 	0.459 
026690 	0.414 	0.093 	0.174 	0.459 
026691 	0.413 	0.095 	0.179 	0.461 
026692 	0.420 	0.096 	0.174 	0.451 
026693 	0.425 	0.100 	0.177 	0.449 
026694 	0.431 	0.103 	0.180 	0.445 
026695 	0.445 	0.108 	0.174 	0.439 
026696 	0.452 	0.109 	0.168 	0.441 
026697 	0.465 	0.104 	0.162 	0.433 
026698 	0.474 	0.106 	0.155 	0.423 
026699 	0.477 	0.098 	0.152 	0.435 
026700 	0.481 	0.097 	0.146 	0.433 
026701 	0.482 	0.093 	0.146 	0.437 
026702 	0.484 	0.089 	0.143 	0.441 
026703 	0.482 	0.092 	0.141 	0.434 
026704 	0.478 	0.094 	0.142 	0.436 
026705 	0.478 	0.094 	0.140 	0.433 
026706 	0.474 	0.083 	0.141 	0.456 
